start,length,group_id
0,3691,1
465,3362,1
1906,626,1
3571,647,1
4009,3039,1
4031,6253,1
4346,2412,1
4393,986,1
4684,25,1
5705,1105,1
5872,23087,1
5999,1609,1
6063,245,1
6765,8908,1
6796,300,1
6955,48,1
7071,23,1
7219,23,1
7307,441,1
7334,24,1
7444,122,1
7452,54,1
7464,13,1
7519,1936,1
7623,3945,1
7633,33,1
7721,35,1
7804,33,1
7935,26,1
8017,564,1
8113,46,1
8130,185,1
8308,97,1
8489,26,1
8619,25,1
8631,17,1
8653,17,1
8675,2815,1
8690,2797,1
8725,40,1
8856,39,1
8980,45,1
9104,35,1
9406,254,1
9488,49,1
9721,79,1
9811,28,1
9830,28,1
10227,6450,1
10257,27,1
10368,27,1
10402,138,1
10408,4514,1
10438,65,1
10448,302,1
10536,1002,1
10745,49,1
10800,52,1
10857,24,1
11008,8871,1
11290,34,1
11317,1453,1
11505,12,1
11527,13,1
11545,626,1
11559,612,1
11991,8264,1
12155,59,1
12228,500,1
12391,8641,1
12606,30,1
12624,19,1
12634,89,1
12651,15,1
12675,1945,1
12692,2192,1
12729,163,1
12793,130,1
12892,188,1
13080,226,1
13175,887,1
13297,5143,1
13306,186,1
13322,5092,1
13331,647,1
13345,58,1
13659,1358,1
13705,273,1
13777,154,1
14044,15,1
14258,674,1
14358,699,1
14369,65,1
14405,7952,1
14500,456,1
14717,1061,1
14751,18,1
14763,694,1
14774,15,1
14797,115,1
15013,24,1
15046,38,1
15183,327,1
15203,302,1
15210,8047,1
15218,1856,1
15289,98,1
15457,1054,1
15533,35,1
15575,21,1
15604,250,1
15697,205,1
15705,7906,1
16123,49,1
16163,18,1
16178,2529,1
16207,3892,1
16511,28,1
16539,230,1
17064,5106,1
17099,73,1
17365,414,1
17432,2628,1
17616,364,1
18298,1235,1
18597,22,1
18664,113,1
18864,34,1
18918,25,1
19128,9104,1
19186,3938,1
19354,49,1
19395,2211,1
19533,41,1
19746,25,1
19813,129,1
19875,12513,1
20141,35,1
20380,26,1
20500,46,1
20774,31,1
20907,59,1
21561,968,1
21590,68,1
21725,478,1
22007,713,1
22262,31,1
22374,1370,1
22467,77,1
22478,67,1
22623,49,1
22799,1427,1
22848,10,1
22868,25,1
22949,1023,1
23020,49,1
23181,8460,1
23290,72,1
23603,131,1
23793,61,1
23804,114,1
23811,24,1
23919,297,1
24009,28,1
24021,123,1
24127,7500,1
24261,25,1
24266,1015,1
24281,45,1
24447,3617,1
24557,659,1
24587,27,1
24598,76,1
24999,95,1
25040,30,1
25055,114,1
25122,347,1
25222,59,1
25279,847,1
25425,35,1
25428,250,1
25576,174,1
25581,28,1
25644,119,1
25747,77,1
25890,58,1
26266,111,1
26644,35,1
26659,65,1
26844,27,1
26878,413,1
27093,26,1
27230,61,1
27291,779,1
27305,40,1
27383,25,1
27556,38,1
27621,442,1
27641,23,1
27647,25,1
27728,2649,1
28008,54,1
28182,4125,1
28227,5186,1
28504,302,1
28951,83,1
29052,462,1
29066,50,1
29084,5101,1
29321,38,1
29509,10416,1
29574,37,1
29819,43,1
29893,663,1
30046,337,1
30054,513,1
30157,5253,1
30214,64,1
30403,57,1
30416,1788,1
30459,94,1
30504,1509,1
30587,190,1
30651,621,1
30827,33,1
30880,30,1
30939,1047,1
31404,6472,1
32108,132,1
32227,7876,1
32274,33,1
32299,2020,1
32343,1649,1
32503,5207,1
32694,5002,1
32740,5768,1
32926,178,1
33148,9095,1
33164,869,1
33268,40,1
33309,4573,1
33427,1197,1
33811,8507,1
34047,578,1
34321,1274,1
34405,5023,1
34700,525,1
35131,2139,1
35479,61,1
35741,336,1
35968,8323,1
36364,279,1
37877,624,1
37943,77,1
38477,106,1
38487,102,1
38717,68,1
38960,992,1
39176,73,1
39647,2354,1
40112,69,1
40287,67,1
40393,9678,1
42251,4008,1
43341,1704,1
43946,20,1
44047,128,1
44303,14199,1
45065,296,1
45370,79,1
45488,19,1
45518,1696,1
45702,133,1
47488,3908,1
47887,4039,1
48382,145,1
48913,151,1
49517,169,1
50349,31,1
50785,74,1
51022,72,1
51610,1137,1
51791,66,1
51977,91,1
52487,3393,1
53631,4206,1
54586,950,1
58433,14160,1
87154,521,1
87275,67,1
87375,1456,1
87661,28,1
88149,53,1
88189,242,1
89147,2239,1
89581,181,1
89606,4185,1
89617,626,1
89623,5722,1
89643,5108,1
89661,4946,1
89712,4492,1
90723,1151,1
90821,47,1
90834,32,1
90946,39,1
91037,33,1
91173,38,1
91298,43,1
91390,148,1
91546,20,1
91909,365,1
91920,22,1
92031,432,1
92324,2115,1
92391,440,1
92597,4324,1
92652,18729,1
92957,27,1
92992,6387,1
93033,495,1
93423,21,1
93540,22,1
93551,184,1
93573,333,1
93692,64,1
93729,25,1
93751,387,1
93761,960,1
93785,331,1
93830,1171,1
93899,1834,1
94150,623,1
94173,6096,1
94204,27,1
94511,363,1
94552,33,1
94606,7523,1
94738,891,1
94771,3870,1
94780,3860,1
94790,4879,1
95228,8444,1
95320,3330,1
95347,365,1
95370,374,1
95504,5971,1
95643,26,1
95741,1462,1
95746,6558,1
96049,553,1
96551,15130,1
96711,4446,1
96853,1175,1
96991,48,1
97049,2014,1
97857,19,2
97979,57,2
98042,142,2
98691,110,2
98715,244,1
98756,175,2
98788,4492,1
99002,74,1
99440,58,1
99489,390,1
99592,33,1
99714,144,2
99723,43,2
99774,86,2
99857,21,1
99941,28,1
100062,41,1
100181,618,1
100203,5067,1
100339,992,1
100364,175,1
100376,296,1
100560,181,2
100585,162,2
100798,155,2
100963,86,2
101071,7166,1
101085,562,1
101098,219,1
101461,267,2
101480,4621,1
101599,137,2
101644,185,1
102032,1893,1
102130,218,2
102171,179,2
102474,3644,1
102750,23,2
102764,5581,1
102847,228,2
102994,91,2
103369,56,2
103390,4979,1
103771,4773,1
103841,30,1
103965,5963,1
104001,954,1
104017,154,1
104114,51,1
104314,28,1
104338,1152,1
104423,25,1
104521,239,2
104529,231,2
104588,319,1
104753,950,1
105156,31,1
105203,3931,1
105259,984,1
105282,67,2
105363,2077,1
105371,545,1
106377,555,1
106899,54,1
107026,42,1
107164,346,1
107461,52,1
107524,338,1
107621,360,1
108170,34,1
108226,202,1
108272,2693,1
108530,3392,1
108572,55,1
108712,5827,1
108754,475,1
108847,4126,1
108949,1804,1
109068,5674,1
109401,52,1
109644,6464,1
109809,1789,1
109930,762,1
109939,7964,1
110493,4117,1
110951,1750,1
111422,604,1
111666,284,1
111674,1149,1
111734,414,1
111957,3920,1
112011,5897,1
112020,32,1
112025,105,1
112158,914,1
112169,971,1
112736,421,1
112746,936,1
113100,4986,1
113366,86,1
113412,305,1
113608,1440,1
113765,5611,1
113922,187,2
113999,2062,1
114111,115,1
114197,93,1
114387,2273,1
114410,6205,1
114527,1989,1
114656,180,1
114678,2378,1
114810,47,1
115299,2807,1
115318,42,1
115410,146,1
115478,415,1
115612,6816,1
115619,8014,1
115850,72,1
115868,11955,1
116031,376,1
116109,961,1
116314,26,1
116351,3289,1
116362,376,1
116462,49,1
116554,21,1
116909,5909,1
117004,4992,1
117072,3535,1
117234,2607,1
117717,28,1
117896,45,1
117907,7592,1
117985,175,1
118148,4674,2
118202,64,1
118256,2406,1
118291,22,1
118660,35,1
118845,78,1
118943,7818,1
119231,670,1
119293,3955,1
119434,119,1
119546,8408,1
119623,2300,1
119646,354,1
119737,200,1
119813,4881,1
119836,3785,1
119848,34,1
119975,1227,1
120105,5511,1
120603,67,1
120626,894,1
120730,35,1
120801,722,1
120893,86,1
120944,36,1
121130,172,2
121407,77,1
121545,839,1
122081,175,1
122890,1319,2
123222,4583,1
123893,2369,1
124208,327,1
124226,251,1
124293,154,1
125513,5329,1
125606,121,1
125893,1950,2
125919,670,2
126200,179,1
126412,4647,1
126759,1011,2
127818,7519,1
129332,49,2
129633,544,2
130205,129,2
130228,10180,1
130360,1251,2
130856,6331,1
131234,7216,1
132168,5617,1
134215,2188,1
135348,13626,1
137193,4182,1
140421,6368,1
140872,3453,1
144148,407,1
144334,992,1
144600,4148,1
146663,3443,1
148165,2095,1
148759,4181,1
148986,7499,1
150190,3984,1
150526,12707,1
152946,2870,1
155823,69,1
155903,66,1
155975,65,1
156046,65,1
156117,65,1
156188,64,1
156258,65,1
156328,66,1
156399,69,1
156473,71,1
156489,11843,1
156551,65,1
156622,67,1
156695,68,1
156769,70,1
157743,81,1
157831,68,1
157904,67,1
157977,66,1
158048,65,1
158119,64,1
158189,67,1
158261,66,1
158333,66,1
158406,65,1
158476,66,1
158548,66,1
158621,66,1
158693,64,1
158762,63,1
158831,64,1
158902,67,1
158974,66,1
159046,70,1
159122,66,1
159194,65,1
159271,78,1
159357,70,1
159434,68,1
160420,87,1
160514,66,1
160587,67,1
160660,72,1
161638,81,1
161725,66,1
161797,65,1
161867,67,1
161939,65,1
162010,65,1
162080,64,1
162149,66,1
162221,68,1
162295,65,1
162366,65,1
162438,64,1
162509,66,1
162580,71,1
162657,68,1
162730,66,1
162801,66,1
162872,68,1
162945,67,1
163017,65,1
163088,66,1
163160,65,1
163231,67,1
163303,68,1
163377,65,1
163448,65,1
163518,66,1
163590,70,1
163666,72,1
163744,65,1
163815,65,1
163886,65,1
163958,66,1
164030,67,1
164103,64,1
164173,66,1
164245,66,1
164317,67,1
164390,67,1
164463,66,1
164535,65,1
164606,65,1
170319,2120,1
170319,3053,1
170319,3295,1
170319,12248,1
170380,2119,1
170380,3052,1
170380,3233,1
170380,12127,1
170498,2063,1
170498,2997,1
170498,3235,1
170498,11948,1
170499,2062,1
170499,2996,1
170499,3174,1
170499,11616,1
170559,2059,1
170559,2993,1
170559,3174,1
170559,11435,1
170619,61,1
170798,6841,1
170859,59,1
171038,2694,1
171038,4274,1
171038,4969,1
171038,11244,1
171100,394,2
171436,181,1
172873,178,1
173552,60,1
173552,61,1
173612,61,1
174126,143,1
174129,80,1
174269,60,1
174451,8431,1
174504,120,1
174744,3960,1
174805,4019,1
174924,4575,1
174924,4869,1
174924,7358,1
174925,3216,1
174925,3277,1
174925,4927,1
174925,5181,1
174925,7237,1
175044,2653,1
