input_file,k,alpha,r,algorithm,algorithm_type,runs,selected,fairness,fraction_opt,inverse_ratio,delta,num_levels
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_10groups.csv,10,,,offline_greedy,deterministic,1,20905,inf,1.0,1.0,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_10groups.csv,10,1.0,10,offline_deterministic,deterministic,1,15436,10.179487179487179,0.7383879454675915,1.354301632547292,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_10groups.csv,10,,,offline_randomized,randomized,100,15419.230000000003,14.285714285714286,0.7375857450370726,1.3557745749949897,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_10groups.csv,10,,,simple_online_greedy,deterministic,1,2538,20.10548523206751,0.12140636211432672,8.236800630417651,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_10groups.csv,10,,,online_randomized,randomized,100,293.01,490.12345679012344,0.01401626405166228,71.34568786048258,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_10groups.csv,10,,,online_randomized_level_greedy,randomized,100,1993.8799999999997,20.542334885325054,0.09537813920114803,10.484582823439727,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_2groups.csv,2,,,offline_greedy,deterministic,1,20905,791.0,1.0,1.0,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_2groups.csv,2,1.0,2,offline_deterministic,deterministic,1,17457,1.999494438827098,0.8350633819660368,1.197513891275706,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_2groups.csv,2,,,offline_randomized,randomized,100,17267.2,2.2222222222222223,0.8259842143027984,1.210676890289103,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_2groups.csv,2,,,simple_online_greedy,deterministic,1,2538,14.086927223719677,0.12140636211432672,8.236800630417651,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_2groups.csv,2,,,online_randomized,randomized,100,1275.46,19.781789965745,0.06101219803874671,16.390165116899002,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_2groups.csv,2,,,online_randomized_level_greedy,randomized,100,1993.88,13.218964993929582,0.09537813920114806,10.484582823439725,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_3groups.csv,3,,,offline_greedy,deterministic,1,20905,inf,1.0,1.0,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_3groups.csv,3,1.0,3,offline_deterministic,deterministic,1,16727,3.00187265917603,0.8001435063381966,1.2497758115621451,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_3groups.csv,3,,,offline_randomized,randomized,100,16125.550000000001,3.7037037037037037,0.7713728773020809,1.2963898905773756,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_3groups.csv,3,,,simple_online_greedy,deterministic,1,2538,16.80424300867888,0.12140636211432672,8.236800630417651,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_3groups.csv,3,,,online_randomized,randomized,100,976.07,28.94736842105263,0.04669074384118632,21.417521284334114,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_3groups.csv,3,,,online_randomized_level_greedy,randomized,100,1993.8799999999999,15.224931633713972,0.09537813920114804,10.484582823439727,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_4groups.csv,4,,,offline_greedy,deterministic,1,20905,inf,1.0,1.0,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_4groups.csv,4,1.0,4,offline_deterministic,deterministic,1,15653,4.004016064257028,0.7487682372638125,1.3355267360889287,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_4groups.csv,4,,,offline_randomized,randomized,100,15564.1,4.5400211484529445,0.7445156661085864,1.343155081244659,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_4groups.csv,4,,,simple_online_greedy,deterministic,1,2538,17.14621409921671,0.12140636211432672,8.236800630417651,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_4groups.csv,4,,,online_randomized,randomized,100,667.0400000000001,53.533306977663564,0.03190815594355418,31.3399496282082,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_4groups.csv,4,,,online_randomized_level_greedy,randomized,100,1993.88,15.222531293463144,0.09537813920114806,10.484582823439725,71998.0,17
