workload,assignment_method,k,algorithm,algorithm_label,setting,num_instances,mean_selected,min_selected,max_selected,ci95_selected,mean_fairness,min_fairness,max_fairness,ci95_fairness,mean_fraction_opt,min_fraction_opt,max_fraction_opt,ci95_fraction_opt,mean_inverse_ratio,min_inverse_ratio,max_inverse_ratio,ci95_inverse_ratio,mean_delta,min_delta,max_delta,offline_fairness_ratio,offline_approximation_ratio,online_fairness_ratio,online_approximation_ratio
LANL-CM5-1994,containment_quantile,2,crs,CRS,online,1,4875.165,10.0,12535.0,0.0,17.625567547438393,10.691996715647086,17.625567547438393,nan,0.0824482496194825,0.00016911889058007779,0.2119905293421275,0.0,12.128820255314436,4.717191862784205,5913.0,0.0,239892.0,239892.0,239892.0,2.0,1.9999916629497319,107.23215312831297,107.23215312831297
LANL-CM5-1994,containment_quantile,2,offline_deterministic,Offline Deterministic,offline,1,53467.0,53467.0,53467.0,0.0,1.9776888444222112,1.9776888444222112,1.9776888444222112,0.0,0.9042279722645019,0.9042279722645019,0.9042279722645019,0.0,1.1059157985299344,1.1059157985299344,1.1059157985299344,0.0,239892.0,239892.0,239892.0,2.0,1.9999916629497319,107.23215312831297,107.23215312831297
LANL-CM5-1994,containment_quantile,2,offline_greedy,Global OPT,offline,1,59130.0,59130.0,59130.0,0.0,3.261881188118812,3.261881188118812,3.261881188118812,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,239892.0,239892.0,239892.0,2.0,1.9999916629497319,107.23215312831297,107.23215312831297
LANL-CM5-1994,containment_quantile,2,offline_randomized,Offline Randomized,offline,1,50198.828,41206.0,59120.0,0.0,1.551019332070673,1.4241887167793206,1.551019332070673,nan,0.8489570099780145,0.6968713005242686,0.9998308811094199,0.0,1.1779159465635334,1.000169147496617,1.4349851963306315,0.0,239892.0,239892.0,239892.0,2.0,1.9999916629497319,107.23215312831297,107.23215312831297
LANL-CM5-1994,containment_quantile,2,online_randomized_fair,Online Randomized Fair Algorithm,online,1,2496.895,0.0,11245.0,0.0,34.191266490866646,21.10080284888059,34.191266490866646,nan,0.042227211229494334,0.0,0.19017419245729747,0.0,23.681412314094104,nan,nan,0.0,239892.0,239892.0,239892.0,2.0,1.9999916629497319,107.23215312831297,107.23215312831297
LANL-CM5-1994,containment_quantile,3,crs,CRS,online,1,4875.165,10.0,12535.0,0.0,17.513788967336104,9.926805330558478,17.513788967336104,nan,0.0824482496194825,0.00016911889058007779,0.2119905293421275,0.0,12.128820255314436,4.717191862784205,5913.0,0.0,239892.0,239892.0,239892.0,3.0,2.9999749889534546,160.84822969246946,160.84822969246946
LANL-CM5-1994,containment_quantile,3,offline_deterministic,Offline Deterministic,offline,1,50595.0,50595.0,50595.0,0.0,2.9928698752228162,2.9928698752228162,2.9928698752228162,0.0,0.8556570268899036,0.8556570268899036,0.8556570268899036,0.0,1.1686925585532166,1.1686925585532166,1.1686925585532166,0.0,239892.0,239892.0,239892.0,3.0,2.9999749889534546,160.84822969246946,160.84822969246946
LANL-CM5-1994,containment_quantile,3,offline_greedy,Global OPT,offline,1,59130.0,59130.0,59130.0,0.0,1007.4,1007.4,1007.4,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,239892.0,239892.0,239892.0,3.0,2.9999749889534546,160.84822969246946,160.84822969246946
LANL-CM5-1994,containment_quantile,3,offline_randomized,Offline Randomized,offline,1,49067.39,30887.0,59120.0,0.0,3.1226461589964383,1.412638511645795,3.1226461589964383,nan,0.8298222560460004,0.5223575173346863,0.9998308811094199,0.0,1.2050773436288338,1.000169147496617,1.9143976430213359,0.0,239892.0,239892.0,239892.0,3.0,2.9999749889534546,160.84822969246946,160.84822969246946
LANL-CM5-1994,containment_quantile,3,online_randomized_fair,Online Randomized Fair Algorithm,online,1,1708.34,0.0,8173.0,0.0,50.012977674145496,26.733043729782374,50.012977674145496,nan,0.02889125655335701,0.0,0.13822086927109759,0.0,34.612547853471796,nan,nan,0.0,239892.0,239892.0,239892.0,3.0,2.9999749889534546,160.84822969246946,160.84822969246946
