input_file,k,alpha,r,algorithm,algorithm_type,runs,selected,min_selected,max_selected,fairness,min_fairness,max_fairness,fraction_opt,min_fraction_opt,max_fraction_opt,inverse_ratio,min_inverse_ratio,max_inverse_ratio,delta,opt_by_group,selected_by_group,num_levels
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\LANL-CM5-1994\LANL-CM5-1994-4.1-cln_interval_containment_quantile_10groups.csv,10,,,offline_greedy,deterministic,1,59130,59130,59130,inf,inf,inf,1.0,1.0,1.0,1.0,1.0,1.0,239892.0,"{""1"": 10522, ""2"": 10242, ""3"": 10874, ""4"": 10770, ""5"": 10934, ""6"": 10352, ""7"": 8783, ""8"": 7003, ""9"": 5122, ""10"": 2701}","{""1"": 10463, ""2"": 10118, ""3"": 10849, ""4"": 10744, ""5"": 10896, ""6"": 5933, ""7"": 127, ""8"": 0, ""9"": 0, ""10"": 0}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\LANL-CM5-1994\LANL-CM5-1994-4.1-cln_interval_containment_quantile_10groups.csv,10,1.0,10,offline_deterministic,deterministic,1,50433,50433,50433,10.004285714285714,10.004285714285714,10.004285714285714,0.8529173008625064,0.8529173008625064,0.8529173008625064,1.1724466123371602,1.1724466123371602,1.1724466123371602,239892.0,"{""1"": 10522, ""2"": 10242, ""3"": 10874, ""4"": 10770, ""5"": 10934, ""6"": 10352, ""7"": 8783, ""8"": 7003, ""9"": 5122, ""10"": 2701}","{""1"": 10467, ""2"": 8853, ""3"": 6992, ""4"": 9366, ""5"": 5965, ""6"": 6351, ""7"": 957, ""8"": 700, ""9"": 512, ""10"": 270}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\LANL-CM5-1994\LANL-CM5-1994-4.1-cln_interval_containment_quantile_10groups.csv,10,,,offline_randomized,randomized,1000,50459.415,25114,59130,10.526315789473683,1.2272404954602596,10.526315789473683,0.8533640284119736,0.4247251818028074,1.0,1.1718328482405116,1.0,2.354463645775265,239892.0,"{""1"": 10522, ""2"": 10242, ""3"": 10874, ""4"": 10770, ""5"": 10934, ""6"": 10352, ""7"": 8783, ""8"": 7003, ""9"": 5122, ""10"": 2701}","{""1"": 8393.532, ""2"": 8149.33, ""3"": 8860.529, ""4"": 8638.442, ""5"": 8748.487, ""6"": 5181.463, ""7"": 945.787, ""8"": 742.318, ""9"": 542.932, ""10"": 256.595}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\LANL-CM5-1994\LANL-CM5-1994-4.1-cln_interval_containment_quantile_10groups.csv,10,,,online_randomized_fair,randomized,1000,517.233,0,2789,192.74237092479845,114.3584362231798,192.74237092479845,0.008747387113140537,0.0,0.0471672585827837,114.31985198160211,21.201147364646825,inf,239892.0,"{""1"": 10522, ""2"": 10242, ""3"": 10874, ""4"": 10770, ""5"": 10934, ""6"": 10352, ""7"": 8783, ""8"": 7003, ""9"": 5122, ""10"": 2701}","{""1"": 59.57, ""2"": 60.544, ""3"": 56.587, ""4"": 65.75, ""5"": 59.234, ""6"": 53.709, ""7"": 49.295, ""8"": 47.194, ""9"": 44.789, ""10"": 20.561}",18
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\LANL-CM5-1994\LANL-CM5-1994-4.1-cln_interval_containment_quantile_10groups.csv,10,,,crs,randomized,1000,4875.165,10,12535,19.98510320737648,11.782719840861303,19.98510320737648,0.0824482496194825,0.00016911889058007779,0.2119905293421275,12.128820255314436,4.717191862784205,5913.0,239892.0,"{""1"": 10522, ""2"": 10242, ""3"": 10874, ""4"": 10770, ""5"": 10934, ""6"": 10352, ""7"": 8783, ""8"": 7003, ""9"": 5122, ""10"": 2701}","{""1"": 599.335, ""2"": 580.888, ""3"": 625.867, ""4"": 610.788, ""5"": 609.521, ""6"": 529.56, ""7"": 440.571, ""8"": 350.411, ""9"": 298.99, ""10"": 229.234}",18
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\LANL-CM5-1994\LANL-CM5-1994-4.1-cln_interval_containment_quantile_2groups.csv,2,,,offline_greedy,deterministic,1,59130,59130,59130,3.261881188118812,3.261881188118812,3.261881188118812,1.0,1.0,1.0,1.0,1.0,1.0,239892.0,"{""1"": 53342, ""2"": 19767}","{""1"": 53070, ""2"": 6060}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\LANL-CM5-1994\LANL-CM5-1994-4.1-cln_interval_containment_quantile_2groups.csv,2,1.0,2,offline_deterministic,deterministic,1,53467,53467,53467,1.9776888444222112,1.9776888444222112,1.9776888444222112,0.9042279722645019,0.9042279722645019,0.9042279722645019,1.1059157985299344,1.1059157985299344,1.1059157985299344,239892.0,"{""1"": 53342, ""2"": 19767}","{""1"": 43472, ""2"": 9995}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\LANL-CM5-1994\LANL-CM5-1994-4.1-cln_interval_containment_quantile_2groups.csv,2,,,offline_randomized,randomized,1000,50198.828,41206,59120,1.551019332070673,1.4241887167793206,1.551019332070673,0.8489570099780145,0.6968713005242686,0.9998308811094199,1.1779159465635334,1.000169147496617,1.4349851963306315,239892.0,"{""1"": 53342, ""2"": 19767}","{""1"": 37454.306, ""2"": 12744.522}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\LANL-CM5-1994\LANL-CM5-1994-4.1-cln_interval_containment_quantile_2groups.csv,2,,,online_randomized_fair,randomized,1000,2496.895,0,11245,34.191266490866646,21.10080284888059,34.191266490866646,0.042227211229494334,0.0,0.19017419245729747,23.681412314094104,5.25833703868386,inf,239892.0,"{""1"": 53342, ""2"": 19767}","{""1"": 1560.106, ""2"": 936.789}",18
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\LANL-CM5-1994\LANL-CM5-1994-4.1-cln_interval_containment_quantile_2groups.csv,2,,,crs,randomized,1000,4875.165,10,12535,17.625567547438393,10.691996715647086,17.625567547438393,0.0824482496194825,0.00016911889058007779,0.2119905293421275,12.128820255314436,4.717191862784205,5913.0,239892.0,"{""1"": 53342, ""2"": 19767}","{""1"": 3026.399, ""2"": 1848.766}",18
