input_file,k,alpha,r,algorithm,algorithm_type,runs,selected,min_selected,max_selected,fairness,min_fairness,max_fairness,fraction_opt,min_fraction_opt,max_fraction_opt,inverse_ratio,min_inverse_ratio,max_inverse_ratio,delta,opt_by_group,selected_by_group,num_levels
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\NASA-iPSC-1993\NASA-iPSC-1993-3.1-cln_interval_containment_quantile_10groups.csv,10,,,offline_greedy,deterministic,1,11309,11309,11309,inf,inf,inf,1.0,1.0,1.0,1.0,1.0,1.0,62643.0,"{""1"": 1569, ""2"": 1485, ""3"": 1605, ""4"": 1644, ""5"": 1578, ""6"": 1580, ""7"": 1552, ""8"": 1515, ""9"": 1303, ""10"": 782}","{""1"": 1543, ""2"": 1438, ""3"": 1570, ""4"": 1628, ""5"": 1560, ""6"": 1567, ""7"": 1530, ""8"": 431, ""9"": 42, ""10"": 0}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\NASA-iPSC-1993\NASA-iPSC-1993-3.1-cln_interval_containment_quantile_10groups.csv,10,1.0,10,offline_deterministic,deterministic,1,10726,10726,10726,10.025641025641026,10.025641025641026,10.025641025641026,0.9484481386506323,0.9484481386506323,0.9484481386506323,1.0543539063956742,1.0543539063956742,1.0543539063956742,62643.0,"{""1"": 1569, ""2"": 1485, ""3"": 1605, ""4"": 1644, ""5"": 1578, ""6"": 1580, ""7"": 1552, ""8"": 1515, ""9"": 1303, ""10"": 782}","{""1"": 1545, ""2"": 1331, ""3"": 1006, ""4"": 1634, ""5"": 1561, ""6"": 1372, ""7"": 1531, ""8"": 516, ""9"": 152, ""10"": 78}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\NASA-iPSC-1993\NASA-iPSC-1993-3.1-cln_interval_containment_quantile_10groups.csv,10,,,offline_randomized,randomized,1000,10633.097,5994,11309,10.526315789473683,1.0951589124101606,10.526315789473683,0.9402331771155716,0.5300203377840658,1.0,1.0635659582528025,1.0,1.88672005338672,62643.0,"{""1"": 1569, ""2"": 1485, ""3"": 1605, ""4"": 1644, ""5"": 1578, ""6"": 1580, ""7"": 1552, ""8"": 1515, ""9"": 1303, ""10"": 782}","{""1"": 1410.687, ""2"": 1317.237, ""3"": 1429.531, ""4"": 1481.299, ""5"": 1412.781, ""6"": 1442.713, ""7"": 1401.159, ""8"": 495.086, ""9"": 168.314, ""10"": 74.29}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\NASA-iPSC-1993\NASA-iPSC-1993-3.1-cln_interval_containment_quantile_10groups.csv,10,,,online_randomized_fair,randomized,1000,98.457,0,454,176.95150632769628,114.09395973154362,176.95150632769628,0.008706074807675303,0.0,0.04014501724290388,114.86232568532456,24.909691629955947,inf,62643.0,"{""1"": 1569, ""2"": 1485, ""3"": 1605, ""4"": 1644, ""5"": 1578, ""6"": 1580, ""7"": 1552, ""8"": 1515, ""9"": 1303, ""10"": 782}","{""1"": 9.771, ""2"": 10.11, ""3"": 9.464, ""4"": 12.051, ""5"": 9.588, ""6"": 8.929, ""7"": 11.166, ""8"": 10.097, ""9"": 10.427, ""10"": 6.854}",16
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\NASA-iPSC-1993\NASA-iPSC-1993-3.1-cln_interval_containment_quantile_10groups.csv,10,,,crs,randomized,1000,942.623,9,2934,17.97153024911032,10.931711749493255,17.97153024911032,0.0833515783888938,0.0007958263330091078,0.25943938456096916,11.997373287093566,3.854464894342195,1256.5555555555557,62643.0,"{""1"": 1569, ""2"": 1485, ""3"": 1605, ""4"": 1644, ""5"": 1578, ""6"": 1580, ""7"": 1552, ""8"": 1515, ""9"": 1303, ""10"": 782}","{""1"": 99.579, ""2"": 93.141, ""3"": 104.354, ""4"": 104.297, ""5"": 102.665, ""6"": 102.244, ""7"": 101.66, ""8"": 84.3, ""9"": 78.848, ""10"": 71.535}",16
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\NASA-iPSC-1993\NASA-iPSC-1993-3.1-cln_interval_containment_quantile_2groups.csv,2,,,offline_greedy,deterministic,1,11309,11309,11309,1.419887955182073,1.419887955182073,1.419887955182073,1.0,1.0,1.0,1.0,1.0,1.0,62643.0,"{""1"": 7880, ""2"": 5069}","{""1"": 7739, ""2"": 3570}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\NASA-iPSC-1993\NASA-iPSC-1993-3.1-cln_interval_containment_quantile_2groups.csv,2,1.0,2,offline_deterministic,deterministic,1,11309,11309,11309,1.454519368723099,1.454519368723099,1.454519368723099,1.0,1.0,1.0,1.0,1.0,1.0,62643.0,"{""1"": 7880, ""2"": 5069}","{""1"": 7824, ""2"": 3485}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\NASA-iPSC-1993\NASA-iPSC-1993-3.1-cln_interval_containment_quantile_2groups.csv,2,,,offline_randomized,randomized,1000,10365.788,9415,11309,1.2875673930420382,1.1939082181585219,1.2875673930420382,0.9165963391988682,0.8325227694756389,1.0,1.090992792829643,1.0,1.2011683483802442,62643.0,"{""1"": 7880, ""2"": 5069}","{""1"": 6120.068, ""2"": 4245.72}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\NASA-iPSC-1993\NASA-iPSC-1993-3.1-cln_interval_containment_quantile_2groups.csv,2,,,online_randomized_fair,randomized,1000,478.062,0,2083,30.1497539810684,23.391785879095526,30.1497539810684,0.04227270315677779,0.0,0.18418958351755238,23.655927473842304,5.42918867018723,inf,62643.0,"{""1"": 7880, ""2"": 5069}","{""1"": 261.362, ""2"": 216.7}",16
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\NASA-iPSC-1993\NASA-iPSC-1993-3.1-cln_interval_containment_quantile_2groups.csv,2,,,crs,randomized,1000,942.623,9,2934,15.63380393463959,11.55757010581709,15.63380393463959,0.0833515783888938,0.0007958263330091078,0.25943938456096916,11.997373287093566,3.854464894342195,1256.5555555555557,62643.0,"{""1"": 7880, ""2"": 5069}","{""1"": 504.036, ""2"": 438.587}",16
