start,length,user_id
0,937,97
164472,75,81
197154,35268,97
310448,29493,38
310541,29063,38
310684,33707,38
319091,47451,41
319101,49724,41
324746,61578,5
324939,54611,5
325845,34208,3
329457,50008,35
331348,47467,6
332172,431,60
332256,29962,59
340050,563,43
340132,35436,23
340486,1759,31
340494,3468,31
345653,42198,5
346123,43899,5
346477,468,8
349115,43116,7
349142,40723,7
355510,60130,12
355537,55625,12
355579,54680,12
355659,57305,12
355748,54919,12
355813,44329,12
360803,17129,37
364635,7315,1
364891,6906,1
367030,46,19
367475,50,19
376991,330,4
377108,226,4
377838,11850,55
378233,940,3
378411,62,4
378792,75,2
379805,16762,46
380237,320,4
380335,78,2
380710,39,2
380738,65,2
380784,71,2
381192,58,3
381346,5108,42
381358,61,3
381721,599,3
382569,52,2
383314,335,4
385806,43,36
387233,2241,36
396176,72,39
397015,12937,36
398652,4053,23
399095,19663,20
399422,314,20
400484,4930,44
400634,6058,44
400903,9615,41
401262,1117,9
402359,1850,40
402444,1685,40
403517,649,10
403675,2017,43
403688,6727,43
403691,167,39
403741,313,39
404510,433,39
404957,4935,50
404972,19370,24
405175,19351,22
405614,4446,5
405705,4192,41
405892,18764,5
405946,18743,5
406018,18665,5
406103,18556,5
406350,17029,5
406862,647,10
406983,228,19
406992,206,19
407107,3807,14
407357,3916,14
407607,3807,14
407723,5681,42
407818,79,61
407881,124,10
408182,164,13
408220,2633,13
408282,77,61
408325,242,13
408355,417,10
408517,16128,35
408854,2541,13
409262,1058,11
409304,901,19
409348,696,11
411579,8625,19
411600,2087,19
414922,2461,18
415038,103,27
415192,804,9
415264,8489,54
415506,310,11
415516,8578,17
415561,8576,41
415588,8549,41
415664,8504,17
415681,8412,12
415695,8394,5
415719,84,15
415767,334,11
415814,5598,44
415819,8315,12
415913,8293,17
415928,8278,12
416051,8243,12
416069,8312,17
416181,8200,12
416273,50,1
416283,45,27
416335,44,17
416390,2969,1
416480,106,16
416484,8168,17
416547,6220,1
416576,7998,12
416741,7762,17
416852,3659,43
416899,812,43
416947,586,9
417073,404,10
417091,2622,17
417439,1364,17
417523,58,31
417579,6846,17
417709,99,9
417710,44,17
417840,6657,17
417875,52,27
417932,6512,30
417933,6488,30
417934,6473,30
417936,6434,30
417937,3943,30
417938,3914,30
417940,8727,30
417940,7240,53
417941,8748,30
418181,68,9
418392,6187,50
418678,1690,26
418841,16427,37
419013,315,10
419028,23033,38
419070,5446,18
419080,23065,38
419136,22183,38
419323,941,32
419333,4908,19
419516,3076,23
419966,2801,6
420397,68,34
420598,3348,14
420775,3815,46
421040,576,10
421180,84,45
421190,51,27
421230,2589,52
421435,1991,26
421491,3055,21
421695,4250,29
421776,43310,3
421906,13808,47
421918,6230,13
422623,869,51
422908,72,27
423679,1835,40
423899,40,25
424253,335,40
424271,29019,5
424347,45625,1
424371,53,9
424462,61800,1
424772,93,26
427445,269,49
427641,283,49
