start,length,group_id
0,937,2
164472,75,2
197154,35268,2
310448,29493,1
310541,29063,1
310684,33707,1
319091,47451,1
319101,49724,1
324746,61578,1
324939,54611,1
325845,34208,1
329457,50008,1
331348,47467,1
332172,431,1
332256,29962,1
340050,563,1
340132,35436,1
340486,1759,1
340494,3468,1
345653,42198,1
346123,43899,1
346477,468,1
349115,43116,1
349142,40723,1
355510,60130,1
355537,55625,1
355579,54680,1
355659,57305,1
355748,54919,1
355813,44329,1
360803,17129,1
364635,7315,1
364891,6906,1
367030,46,1
367475,50,1
376991,330,1
377108,226,1
377838,11850,1
378233,940,1
378411,62,1
378792,75,1
379805,16762,1
380237,320,1
380335,78,1
380710,39,1
380738,65,1
380784,71,1
381192,58,1
381346,5108,1
381358,61,1
381721,599,1
382569,52,1
383314,335,1
385806,43,1
387233,2241,1
396176,72,1
397015,12937,1
398652,4053,1
399095,19663,1
399422,314,1
400484,4930,1
400634,6058,1
400903,9615,1
401262,1117,1
402359,1850,1
402444,1685,1
403517,649,1
403675,2017,1
403688,6727,1
403691,167,1
403741,313,1
404510,433,1
404957,4935,1
404972,19370,1
405175,19351,1
405614,4446,1
405705,4192,1
405892,18764,1
405946,18743,1
406018,18665,1
406103,18556,1
406350,17029,1
406862,647,1
406983,228,1
406992,206,1
407107,3807,1
407357,3916,1
407607,3807,1
407723,5681,1
407818,79,1
407881,124,1
408182,164,1
408220,2633,1
408282,77,1
408325,242,1
408355,417,1
408517,16128,1
408854,2541,1
409262,1058,1
409304,901,1
409348,696,1
411579,8625,1
411600,2087,1
414922,2461,1
415038,103,1
415192,804,1
415264,8489,1
415506,310,1
415516,8578,1
415561,8576,1
415588,8549,1
415664,8504,1
415681,8412,1
415695,8394,1
415719,84,1
415767,334,1
415814,5598,1
415819,8315,1
415913,8293,1
415928,8278,1
416051,8243,1
416069,8312,1
416181,8200,1
416273,50,1
416283,45,1
416335,44,1
416390,2969,1
416480,106,1
416484,8168,1
416547,6220,1
416576,7998,1
416741,7762,1
416852,3659,1
416899,812,1
416947,586,1
417073,404,1
417091,2622,1
417439,1364,1
417523,58,1
417579,6846,1
417709,99,1
417710,44,1
417840,6657,1
417875,52,1
417932,6512,1
417933,6488,1
417934,6473,1
417936,6434,1
417937,3943,1
417938,3914,1
417940,8727,1
417940,7240,1
417941,8748,1
418181,68,1
418392,6187,1
418678,1690,1
418841,16427,1
419013,315,1
419028,23033,1
419070,5446,1
419080,23065,1
419136,22183,1
419323,941,1
419333,4908,1
419516,3076,1
419966,2801,1
420397,68,1
420598,3348,1
420775,3815,1
421040,576,1
421180,84,1
421190,51,1
421230,2589,1
421435,1991,1
421491,3055,1
421695,4250,1
421776,43310,1
421906,13808,1
421918,6230,1
422623,869,1
422908,72,1
423679,1835,1
423899,40,1
424253,335,1
424271,29019,1
424347,45625,1
424371,53,1
424462,61800,1
424772,93,1
427445,269,1
427641,283,1
427691,14922,1
427837,51378,1
427854,52249,1
427869,54359,1
427882,52514,1
427893,54637,1
427904,54040,1
428152,946,1
428168,7724,1
428503,32448,1
428508,64845,1
428540,7320,1
428883,52476,1
428901,56926,1
428908,45103,1
428930,44888,1
428935,50773,1
429072,6580,1
429119,46473,1
429133,86,1
429282,44576,1
429297,13562,1
429346,42,1
429479,2038,1
429836,52,1
430141,70,1
430224,44540,1
430261,57597,1
430496,50795,1
430542,51445,1
430572,51188,1
430627,46971,1
430678,41011,1
430724,36577,1
430753,18350,1
430774,12334,1
430823,79,1
430931,41011,1
431142,3340,1
431177,7685,1
431292,1480,1
431869,119,1
431949,427,1
432043,85,1
432085,13227,1
432124,33778,1
432236,7711,1
432340,10489,1
432423,267,1
432442,3442,1
432469,127,1
433054,15462,1
433602,23700,1
433631,9574,1
433710,64838,1
434995,10035,1
435084,41,1
436284,41,1
436339,41,1
436496,41,1
436554,46,1
436712,58,1
436731,42,1
436968,14622,1
437079,7417,1
437417,50,1
437471,36240,2
437481,1348,1
437505,5903,1
437526,6027,1
437549,341,1
437919,54,1
437930,56,1
438155,690,1
438234,38302,1
438298,56,1
438514,1293,1
439999,18149,1
440135,10840,1
440179,36500,1
440460,42,1
441025,68,1
441149,32,1
441417,1874,1
441654,11898,1
443718,507,1
444990,474,1
445693,70,1
446090,94,1
446339,341,1
446924,213,1
447050,341,1
447165,34652,1
448197,16133,1
448245,1858,1
448496,1482,1
448502,1678,1
448509,2179,1
448514,2857,1
448523,3948,1
448530,4977,1
448546,7708,1
448820,2219,1
451205,13926,1
451427,350,1
451815,248,1
452802,567,1
453001,14853,2
453100,543,1
453500,14752,1
454108,42595,1
454848,577,1
455355,1239,1
456055,213,1
456140,1433,1
456227,1432,1
456229,1432,1
456268,42131,1
456274,33224,1
457287,21254,1
458783,41857,1
458874,35826,1
460684,30941,1
461177,1435,1
461603,15247,1
462151,19246,1
463328,40,2
463769,64836,1
463947,64838,1
464676,582,2
466223,28086,1
466333,64838,1
470447,166,1
470555,70,1
470615,687,1
471554,7528,1
473247,13616,1
477081,35789,1
478279,404,1
479147,349,1
479873,23744,2
479958,105,2
480710,2338,1
483479,45,1
483545,50783,1
483725,5879,1
483847,603,1
483858,64840,1
