start,length,user_id
0,1451,1
1460,3726,1
5198,1067,1
6269,10927,2
17201,2927,1
25574,10,4
26613,716,4
27331,7,4
27968,69,5
27989,9,6
28043,9,6
28255,884,6
29539,75,4
29616,15,4
30304,176,4
30542,160,4
30931,229,4
31316,54,7
31345,237,4
31658,49,7
31823,104,4
31829,57,7
31888,19,8
31929,7,4
32058,181,4
32289,143,4
32435,7,4
32463,59,7
32513,4034,8
32702,14,9
32974,51,7
33114,10,4
33200,52,7
33656,147,4
33806,19,4
33820,60,7
34421,21,5
34471,200,4
34546,35,5
34673,8,4
34856,732,4
35269,7,4
35572,63,7
35593,10,4
35663,727,4
36027,53,7
36149,120,10
36204,133,11
36396,8,4
36451,166,4
36641,785,4
36709,151,11
36716,290,7
36718,5057,8
36965,593,10
37087,123,11
37304,152,11
37436,29,4
37439,71,7
37562,136,10
37701,172,10
37826,69,7
37877,566,10
37905,807,4
38147,70,7
38445,4750,10
38716,7,4
40045,3,2
40336,748,4
40393,78,7
40730,68,7
40770,9,4
41017,64,7
41088,16,4
41252,206,4
41391,74,7
41502,260,4
41598,138,5
41759,24,5
41861,37,5
42024,4,5
42064,4,5
42072,4,5
42432,14,5
42451,23,5
42545,19,5
42602,54,5
42632,500,4
42670,355,5
42912,235,12
43044,4,11
43072,29,11
43137,159,11
43180,1342,4
43212,594,5
43326,5,5
43394,1641,8
43398,134,11
43507,21,13
43685,134,11
43701,23,13
43812,80,5
43912,126,11
43934,5,5
43941,80,5
44117,135,11
44316,89,11
44367,8,4
44445,590,11
44542,493,4
44576,459,10
44804,27,13
46158,16,4
46167,13,6
46210,485,4
46211,935,6
46461,754,14
46546,488,10
46726,651,4
47039,424,10
47245,923,14
47395,2860,4
47475,180,10
47691,155,10
47966,4472,10
48720,8,2
49003,9,4
49208,12,12
49623,13,4
50054,106,7
50369,362,4
50739,1125,4
50905,12,12
51171,522,7
51189,17,4
51238,454,7
51268,4,2
51310,44,15
51332,21,15
51500,3,2
51751,83,7
51818,6,7
51853,175,7
51921,108,7
51932,222,4
52128,11,4
52174,372,4
52615,922,4
52889,6,12
52912,12,12
52949,3,12
52985,219,12
53019,38,12
53073,39,12
53127,142,12
53129,103,4
53246,60,4
53326,11,4
53328,24,12
53374,3,12
53472,71,12
53590,3,14
54127,11,4
54151,2689,4
54595,12,4
54673,161,12
54885,220,12
54889,253,16
55252,1268,7
55313,1207,7
55612,9,4
56204,9,4
56706,287,7
56769,224,7
57078,294,7
57140,232,7
57412,115,4
57863,183,4
58126,2683,4
58762,101,7
59334,12,4
59618,12,4
60189,10,4
60520,7,4
61042,247,16
61049,286,4
61418,243,16
61496,895,4
61686,221,16
62660,2674,4
65100,11,9
72005,9078,4
81088,10925,17
92020,6959,8
102247,4,14
119099,9,9
119642,8,4
124269,8,2
125455,19761,8
145195,15,12
145220,16,12
145531,107,12
154804,96,12
155847,393,1
156282,127,1
157108,176,1
157454,164,1
157733,112,1
157899,130,1
158270,103,1
158407,801,8
158539,136,1
158976,118,1
159123,90,1
159217,9627,2
187722,70,18
187796,641,1
204541,78,1
204621,84,1
204707,91,1
204799,84,1
204885,89,1
204976,82,1
205059,103,1
205165,102,1
205269,102,1
205373,103,1
205499,11,9
209027,196,8
209381,2429,8
233469,134,19
234787,135,4
234924,17,4
235535,247,4
235949,185,4
237093,153,4
237247,14,4
237286,19,4
237802,143,4
237900,14,9
237947,20,4
237950,9,4
239820,141,4
239963,17,4
240036,152,4
240190,19,4
240319,252,4
241575,208,4
241854,235,4
242281,172,4
243491,297,4
244806,9089,4
253899,3037,18
256940,9764,2
266709,9141,4
266712,1465,8
271998,8,20
272013,5,20
272022,5,20
272030,8,20
272285,304,20
274132,8,20
274279,9,20
274462,7,20
274564,6,20
274676,11,20
275093,15,20
275186,9,20
275933,11,20
276247,15,20
276685,10,20
276930,7,20
279644,7,4
280995,270,4
281267,17,4
281405,1248,4
282654,21,4
282758,4654,4
283065,21,5
283113,20,5
283191,56,5
283435,46,5
283540,3,5
283678,23,5
283721,227,5
284742,38,5
284828,21,5
285276,192,5
286695,280,5
287317,11,4
287469,814,4
287715,24,5
288141,908,21
288399,45,5
288452,8666,4
288479,30,5
290368,4,2
290405,2,2
291911,13,9
292914,450,16
293478,251,16
294245,177,16
294976,200,16
295588,20,22
296581,29,15
296629,1102,5
297123,281,4
297211,43,15
297331,24,15
297408,103,4
297588,24,15
297648,24,16
297859,25,22
299481,179,14
299684,24,4
299687,4,14
299745,4354,4
299753,11,5
