job_id,submit_time,wait_time,run_time,allocated_processors,avg_cpu_time,used_memory,requested_processors,requested_time,requested_memory,status,user_id,group_id,executable_number,queue_number,partition_number,preceding_job_number,think_time
11,566129,5,28826,1,27758.0,-1,1,28800,-1,5,153,75,18180,3,-1,-1,-1
12,566290,532,26171,1,24666.0,-1,1,28800,-1,1,153,75,18184,3,-1,-1,-1
13,567314,15757,8071,8,7334.0,-1,8,64800,-1,1,150,6,13592,4,-1,-1,-1
14,571164,21568,64832,32,44134.0,-1,32,64800,-1,5,6,6,13602,3,-1,-1,-1
15,574294,4647,64384,7,58033.0,-1,7,64800,-1,1,151,75,13607,3,-1,-1,-1
16,576100,6,19000,1,18830.0,-1,1,43200,-1,1,152,75,13610,3,-1,-1,-1
17,577685,3793,118561,5,117278.0,-1,5,172800,-1,1,199,86,18261,3,-1,-1,-1
18,578846,8,24861,1,23875.0,-1,1,28800,-1,1,153,75,13613,3,-1,-1,-1
19,580157,20861,-1,-1,-1.0,-1,38,6900,-1,5,189,75,18288,5,-1,-1,-1
20,581034,2038,10979,1,10894.0,-1,1,18000,-1,1,154,75,13634,4,-1,-1,-1
21,581434,2139,16674,11,16258.0,-1,11,36000,-1,1,160,75,18301,3,-1,-1,-1
22,582841,1199,8385,32,1536.0,-1,32,14400,-1,1,150,6,13641,2,-1,-1,-1
23,583532,21288,16793,11,16264.0,-1,11,36000,-1,1,160,75,18305,3,-1,-1,-1
24,584165,16591,3634,24,3504.0,-1,24,3600,-1,5,133,50,13646,3,-1,-1,-1
25,584785,4129,1229,2,1089.0,-1,2,1200,-1,5,34,7,13651,3,-1,-1,-1
26,584801,10510,2207,16,1195.0,-1,16,3600,-1,1,7,7,234,3,-1,-1,-1
27,584826,6324,40,8,7.38,-1,8,1200,-1,1,34,7,13662,3,-1,-1,-1
28,584832,6361,311,8,259.0,-1,8,2400,-1,1,34,7,13665,3,-1,-1,-1
29,584838,6677,1228,8,1157.0,-1,8,1200,-1,5,34,7,13668,3,-1,-1,-1
30,584875,10119,47,16,6.0,-1,16,1200,-1,1,34,7,13671,3,-1,-1,-1
31,584919,10126,213,16,156.94,-1,16,1200,-1,1,34,7,13674,3,-1,-1,-1
32,584928,10338,40,16,1.25,-1,16,1200,-1,1,34,7,13677,3,-1,-1,-1
33,585786,3129,51164,1,50753.0,-1,1,64800,-1,1,155,75,13680,3,-1,-1,-1
34,586496,2458,1970,2,1902.0,-1,2,7200,-1,1,161,75,18312,3,-1,-1,-1
35,588559,686,58046,4,57552.0,-1,4,64800,-1,1,156,75,13688,3,-1,-1,-1
36,588873,16880,14805,11,14385.0,-1,11,36000,-1,1,160,75,18316,3,-1,-1,-1
37,589428,10,28,2,-1.0,-1,2,36000,-1,5,157,1,13691,2,-1,-1,-1
38,589449,22,275,1,15.0,-1,1,2400,-1,1,158,73,13694,3,-1,-1,-1
39,589503,396,3708,2,-1.0,-1,2,36000,-1,5,157,1,13697,2,-1,-1,-1
