start,length,group_id
566129,28826,4
566290,26171,4
567314,8071,4
571164,64832,1
574294,64384,4
576100,19000,4
577685,118561,5
578846,24861,4
581034,10979,4
581434,16674,4
582841,8385,4
583532,16793,4
584165,3634,3
584785,1229,1
584801,2207,1
584826,40,1
584832,311,1
584838,1228,1
584875,47,1
584919,213,1
584928,40,1
585786,51164,4
586496,1970,4
588559,58046,4
588873,14805,4
589428,28,4
589449,275,4
589503,3708,4
589535,3625,4
590405,54,1
590414,45,1
590419,292,1
590427,42,1
590434,155,1
590439,66,1
590470,64,4
590531,34,4
590978,252,4
591120,11298,4
591442,16440,4
591612,293,4
593508,257,4
595008,216,4
595228,32,4
595239,24866,4
595276,34,4
595584,26228,4
595641,213,4
596042,214,4
596561,212,4
597048,276,4
597139,144,4
597147,106,4
597497,314,4
597928,925,4
597955,689,4
598080,203,4
598354,274,4
598608,412,4
598823,691,4
599263,1716,4
600209,16792,4
606843,24257,1
608347,57648,1
613917,95,1
614987,336,4
615362,277,4
617472,257,4
617477,343,4
617482,387,4
617486,523,4
617729,182,4
617737,216,4
617748,263,4
617752,334,4
617914,165,4
617917,180,4
617923,199,4
617928,301,4
618202,353,4
618628,174,4
618949,161,4
619684,19199,4
619766,37,4
619804,24,4
620527,35969,4
621578,35968,4
621582,35969,4
638224,8027,4
639157,18855,4
639316,58,4
639459,60,4
639523,62,4
639759,61,4
639994,41,4
639995,45,4
644835,179,4
645249,155,4
645444,313,4
645540,35621,4
645808,48803,4
645978,23055,4
646088,332,4
646393,54148,4
646521,110,4
647272,359,4
647739,303,4
648093,370,4
648486,344,4
649148,336,4
649620,328,4
650241,332,4
650849,373,4
651272,337,4
651683,326,4
652035,331,4
652231,14769,4
652517,315,4
653274,302,4
653562,14390,4
653617,307,4
658633,2548,5
658981,287,4
661229,3806,5
662796,64827,4
664468,143,3
664898,58075,4
665386,302,4
667115,309,4
667886,277,4
668596,715,4
668645,416,4
669401,336,4
669446,182,4
669599,842,4
670019,167,4
670042,301,4
670636,330,4
671461,855,4
672327,319,4
672431,340,4
672948,797,4
673296,379,4
673864,331,4
673907,38,4
674883,396,4
675761,37,1
675846,38,1
675975,14696,4
676149,5883,3
676178,47,1
676289,3911,3
676578,48,1
678396,11121,3
680929,18334,3
688262,14154,4
688508,15439,4
688521,60794,4
690642,9665,4
694333,465,3
694413,1987,3
700318,10210,4
700639,911,3
702943,129,4
703160,59,4
703445,223,1
704670,341,4
705671,266,4
710503,1661,4
712143,1662,4
713788,1668,4
715427,1740,4
724251,160,4
724630,173,4
724939,323,4
