dataset,algorithm,group,selected,opt,group_ratio,total_selected,fairness_ratio,global_opt_total,comp_over_global_opt,min_interval_length,max_interval_length,delta,notes
CTC-SP2-1996-3.1-cln_interval_5groups,Single-run,1,5467,9424,0.580115,18201,0.570718,20905,0.870653,1,71998,71998.000000,alpha=0.0 seed=42
CTC-SP2-1996-3.1-cln_interval_5groups,Single-run,2,4972,5977,0.831855,18201,0.570718,20905,0.870653,1,71998,71998.000000,alpha=0.0 seed=42
CTC-SP2-1996-3.1-cln_interval_5groups,Single-run,3,2752,4822,0.570718,18201,0.570718,20905,0.870653,1,71998,71998.000000,alpha=0.0 seed=42
CTC-SP2-1996-3.1-cln_interval_5groups,Single-run,4,4145,4145,1.000000,18201,0.570718,20905,0.870653,1,71998,71998.000000,alpha=0.0 seed=42
CTC-SP2-1996-3.1-cln_interval_5groups,Single-run,5,865,1372,0.630466,18201,0.570718,20905,0.870653,1,71998,71998.000000,alpha=0.0 seed=42
CTC-SP2-1996-3.1-cln_interval_5groups,OLCFISAS single,1,20,9424,0.002122,20,0.000000,20905,0.000957,1,71998,71998.000000,seed=42 class=3 group=1
CTC-SP2-1996-3.1-cln_interval_5groups,OLCFISAS single,2,0,5977,0.000000,20,0.000000,20905,0.000957,1,71998,71998.000000,seed=42 class=3 group=1
CTC-SP2-1996-3.1-cln_interval_5groups,OLCFISAS single,3,0,4822,0.000000,20,0.000000,20905,0.000957,1,71998,71998.000000,seed=42 class=3 group=1
CTC-SP2-1996-3.1-cln_interval_5groups,OLCFISAS single,4,0,4145,0.000000,20,0.000000,20905,0.000957,1,71998,71998.000000,seed=42 class=3 group=1
CTC-SP2-1996-3.1-cln_interval_5groups,OLCFISAS single,5,0,1372,0.000000,20,0.000000,20905,0.000957,1,71998,71998.000000,seed=42 class=3 group=1
CTC-SP2-1996-3.1-cln_interval_5groups,OLCFISAS multi avg,1,108.6,9424,0.011524,299.8,0.005827,20905,0.014341,1,71998,71998.000000,runs=10 seed=42
CTC-SP2-1996-3.1-cln_interval_5groups,OLCFISAS multi avg,2,69,5977,0.011544,299.8,0.005827,20905,0.014341,1,71998,71998.000000,runs=10 seed=42
CTC-SP2-1996-3.1-cln_interval_5groups,OLCFISAS multi avg,3,28.1,4822,0.005827,299.8,0.005827,20905,0.014341,1,71998,71998.000000,runs=10 seed=42
CTC-SP2-1996-3.1-cln_interval_5groups,OLCFISAS multi avg,4,62.3,4145,0.015030,299.8,0.005827,20905,0.014341,1,71998,71998.000000,runs=10 seed=42
CTC-SP2-1996-3.1-cln_interval_5groups,OLCFISAS multi avg,5,31.8,1372,0.023178,299.8,0.005827,20905,0.014341,1,71998,71998.000000,runs=10 seed=42
CTC-SP2-1996-3.1-cln_interval_5groups,Multi-run avg,1,6476.5,9424,0.687235,18112.1,0.601348,20905,0.866400,1,71998,71998.000000,runs=10 alpha=0.0 seed=42
CTC-SP2-1996-3.1-cln_interval_5groups,Multi-run avg,2,4623.3,5977,0.773515,18112.1,0.601348,20905,0.866400,1,71998,71998.000000,runs=10 alpha=0.0 seed=42
CTC-SP2-1996-3.1-cln_interval_5groups,Multi-run avg,3,2899.7,4822,0.601348,18112.1,0.601348,20905,0.866400,1,71998,71998.000000,runs=10 alpha=0.0 seed=42
CTC-SP2-1996-3.1-cln_interval_5groups,Multi-run avg,4,3171.3,4145,0.765090,18112.1,0.601348,20905,0.866400,1,71998,71998.000000,runs=10 alpha=0.0 seed=42
CTC-SP2-1996-3.1-cln_interval_5groups,Multi-run avg,5,941.3,1372,0.686079,18112.1,0.601348,20905,0.866400,1,71998,71998.000000,runs=10 alpha=0.0 seed=42
CTC-SP2-1996-3.1-cln_interval_5groups,Greedy,1,7963,9424,0.844970,20905,0.765769,20905,1.000000,1,71998,71998.000000,global offline greedy
CTC-SP2-1996-3.1-cln_interval_5groups,Greedy,2,4577,5977,0.765769,20905,0.765769,20905,1.000000,1,71998,71998.000000,global offline greedy
CTC-SP2-1996-3.1-cln_interval_5groups,Greedy,3,3837,4822,0.795728,20905,0.765769,20905,1.000000,1,71998,71998.000000,global offline greedy
CTC-SP2-1996-3.1-cln_interval_5groups,Greedy,4,3403,4145,0.820989,20905,0.765769,20905,1.000000,1,71998,71998.000000,global offline greedy
CTC-SP2-1996-3.1-cln_interval_5groups,Greedy,5,1125,1372,0.819971,20905,0.765769,20905,1.000000,1,71998,71998.000000,global offline greedy
CTC-SP2-1996-3.1-cln_interval_5groups,BPA,1,1885,9424,0.200021,5150,0.200000,20905,0.246353,1,71998,71998.000000,k=5
CTC-SP2-1996-3.1-cln_interval_5groups,BPA,2,1196,5977,0.200100,5150,0.200000,20905,0.246353,1,71998,71998.000000,k=5
CTC-SP2-1996-3.1-cln_interval_5groups,BPA,3,965,4822,0.200124,5150,0.200000,20905,0.246353,1,71998,71998.000000,k=5
CTC-SP2-1996-3.1-cln_interval_5groups,BPA,4,829,4145,0.200000,5150,0.200000,20905,0.246353,1,71998,71998.000000,k=5
CTC-SP2-1996-3.1-cln_interval_5groups,BPA,5,275,1372,0.200437,5150,0.200000,20905,0.246353,1,71998,71998.000000,k=5
