dataset,algorithm,group,selected,opt,group_ratio,total_selected,fairness_ratio,global_opt_total,comp_over_global_opt,min_interval_length,max_interval_length,delta,notes
LANL-CM5-1994-4.1-cln_interval_5groups,Single-run,1,10994,26632,0.412812,43243,0.394462,59130,0.731321,1,239892,239892.000000,alpha=0.0 seed=42
LANL-CM5-1994-4.1-cln_interval_5groups,Single-run,2,14797,20134,0.734926,43243,0.394462,59130,0.731321,1,239892,239892.000000,alpha=0.0 seed=42
LANL-CM5-1994-4.1-cln_interval_5groups,Single-run,3,5190,11308,0.458967,43243,0.394462,59130,0.731321,1,239892,239892.000000,alpha=0.0 seed=42
LANL-CM5-1994-4.1-cln_interval_5groups,Single-run,4,7661,7661,1.000000,43243,0.394462,59130,0.731321,1,239892,239892.000000,alpha=0.0 seed=42
LANL-CM5-1994-4.1-cln_interval_5groups,Single-run,5,4601,11664,0.394462,43243,0.394462,59130,0.731321,1,239892,239892.000000,alpha=0.0 seed=42
LANL-CM5-1994-4.1-cln_interval_5groups,OLCFISAS single,1,1410,26632,0.052944,1410,0.000000,59130,0.023846,1,239892,239892.000000,seed=42 class=3 group=1
LANL-CM5-1994-4.1-cln_interval_5groups,OLCFISAS single,2,0,20134,0.000000,1410,0.000000,59130,0.023846,1,239892,239892.000000,seed=42 class=3 group=1
LANL-CM5-1994-4.1-cln_interval_5groups,OLCFISAS single,3,0,11308,0.000000,1410,0.000000,59130,0.023846,1,239892,239892.000000,seed=42 class=3 group=1
LANL-CM5-1994-4.1-cln_interval_5groups,OLCFISAS single,4,0,7661,0.000000,1410,0.000000,59130,0.023846,1,239892,239892.000000,seed=42 class=3 group=1
LANL-CM5-1994-4.1-cln_interval_5groups,OLCFISAS single,5,0,11664,0.000000,1410,0.000000,59130,0.023846,1,239892,239892.000000,seed=42 class=3 group=1
LANL-CM5-1994-4.1-cln_interval_5groups,OLCFISAS multi avg,1,414.7,26632,0.015571,734.2,0.000000,59130,0.012417,1,239892,239892.000000,runs=10 seed=42
LANL-CM5-1994-4.1-cln_interval_5groups,OLCFISAS multi avg,2,0,20134,0.000000,734.2,0.000000,59130,0.012417,1,239892,239892.000000,runs=10 seed=42
LANL-CM5-1994-4.1-cln_interval_5groups,OLCFISAS multi avg,3,25.2,11308,0.002229,734.2,0.000000,59130,0.012417,1,239892,239892.000000,runs=10 seed=42
LANL-CM5-1994-4.1-cln_interval_5groups,OLCFISAS multi avg,4,93.6,7661,0.012218,734.2,0.000000,59130,0.012417,1,239892,239892.000000,runs=10 seed=42
LANL-CM5-1994-4.1-cln_interval_5groups,OLCFISAS multi avg,5,200.7,11664,0.017207,734.2,0.000000,59130,0.012417,1,239892,239892.000000,runs=10 seed=42
LANL-CM5-1994-4.1-cln_interval_5groups,Multi-run avg,1,14697.5,26632,0.551874,45440.1,0.500398,59130,0.768478,1,239892,239892.000000,runs=10 alpha=0.0 seed=42
LANL-CM5-1994-4.1-cln_interval_5groups,Multi-run avg,2,13480.6,20134,0.669544,45440.1,0.500398,59130,0.768478,1,239892,239892.000000,runs=10 alpha=0.0 seed=42
LANL-CM5-1994-4.1-cln_interval_5groups,Multi-run avg,3,5658.5,11308,0.500398,45440.1,0.500398,59130,0.768478,1,239892,239892.000000,runs=10 alpha=0.0 seed=42
LANL-CM5-1994-4.1-cln_interval_5groups,Multi-run avg,4,5145.6,7661,0.671662,45440.1,0.500398,59130,0.768478,1,239892,239892.000000,runs=10 alpha=0.0 seed=42
LANL-CM5-1994-4.1-cln_interval_5groups,Multi-run avg,5,6457.9,11664,0.553661,45440.1,0.500398,59130,0.768478,1,239892,239892.000000,runs=10 alpha=0.0 seed=42
LANL-CM5-1994-4.1-cln_interval_5groups,Greedy,1,21536,26632,0.808651,59130,0.658008,59130,1.000000,1,239892,239892.000000,global offline greedy
LANL-CM5-1994-4.1-cln_interval_5groups,Greedy,2,14684,20134,0.729314,59130,0.658008,59130,1.000000,1,239892,239892.000000,global offline greedy
LANL-CM5-1994-4.1-cln_interval_5groups,Greedy,3,8611,11308,0.761496,59130,0.658008,59130,1.000000,1,239892,239892.000000,global offline greedy
LANL-CM5-1994-4.1-cln_interval_5groups,Greedy,4,5041,7661,0.658008,59130,0.658008,59130,1.000000,1,239892,239892.000000,global offline greedy
LANL-CM5-1994-4.1-cln_interval_5groups,Greedy,5,9258,11664,0.793724,59130,0.658008,59130,1.000000,1,239892,239892.000000,global offline greedy
LANL-CM5-1994-4.1-cln_interval_5groups,BPA,1,5327,26632,0.200023,15480,0.199960,59130,0.261796,1,239892,239892.000000,k=5
LANL-CM5-1994-4.1-cln_interval_5groups,BPA,2,4026,20134,0.199960,15480,0.199960,59130,0.261796,1,239892,239892.000000,k=5
LANL-CM5-1994-4.1-cln_interval_5groups,BPA,3,2262,11308,0.200035,15480,0.199960,59130,0.261796,1,239892,239892.000000,k=5
LANL-CM5-1994-4.1-cln_interval_5groups,BPA,4,1532,7661,0.199974,15480,0.199960,59130,0.261796,1,239892,239892.000000,k=5
LANL-CM5-1994-4.1-cln_interval_5groups,BPA,5,2333,11664,0.200017,15480,0.199960,59130,0.261796,1,239892,239892.000000,k=5
