dataset,algorithm,group,selected,opt,group_ratio,total_selected,fairness_ratio,global_opt_total,comp_over_global_opt,min_interval_length,max_interval_length,delta,notes
NASA-iPSC-1993-3.1-cln_interval_5groups,Single-run,1,3119,5080,0.613976,9606,0.533273,11309,0.849412,1,62643,62643.000000,alpha=0.0 seed=42
NASA-iPSC-1993-3.1-cln_interval_5groups,Single-run,2,3010,3722,0.808705,9606,0.533273,11309,0.849412,1,62643,62643.000000,alpha=0.0 seed=42
NASA-iPSC-1993-3.1-cln_interval_5groups,Single-run,3,1273,2227,0.571621,9606,0.533273,11309,0.849412,1,62643,62643.000000,alpha=0.0 seed=42
NASA-iPSC-1993-3.1-cln_interval_5groups,Single-run,4,1619,1619,1.000000,9606,0.533273,11309,0.849412,1,62643,62643.000000,alpha=0.0 seed=42
NASA-iPSC-1993-3.1-cln_interval_5groups,Single-run,5,585,1097,0.533273,9606,0.533273,11309,0.849412,1,62643,62643.000000,alpha=0.0 seed=42
NASA-iPSC-1993-3.1-cln_interval_5groups,OLCFISAS single,1,815,5080,0.160433,815,0.000000,11309,0.072066,1,62643,62643.000000,seed=42 class=3 group=1
NASA-iPSC-1993-3.1-cln_interval_5groups,OLCFISAS single,2,0,3722,0.000000,815,0.000000,11309,0.072066,1,62643,62643.000000,seed=42 class=3 group=1
NASA-iPSC-1993-3.1-cln_interval_5groups,OLCFISAS single,3,0,2227,0.000000,815,0.000000,11309,0.072066,1,62643,62643.000000,seed=42 class=3 group=1
NASA-iPSC-1993-3.1-cln_interval_5groups,OLCFISAS single,4,0,1619,0.000000,815,0.000000,11309,0.072066,1,62643,62643.000000,seed=42 class=3 group=1
NASA-iPSC-1993-3.1-cln_interval_5groups,OLCFISAS single,5,0,1097,0.000000,815,0.000000,11309,0.072066,1,62643,62643.000000,seed=42 class=3 group=1
NASA-iPSC-1993-3.1-cln_interval_5groups,OLCFISAS multi avg,1,112.5,5080,0.022146,186.6,0.002694,11309,0.016500,1,62643,62643.000000,runs=10 seed=42
NASA-iPSC-1993-3.1-cln_interval_5groups,OLCFISAS multi avg,2,13.6,3722,0.003654,186.6,0.002694,11309,0.016500,1,62643,62643.000000,runs=10 seed=42
NASA-iPSC-1993-3.1-cln_interval_5groups,OLCFISAS multi avg,3,6,2227,0.002694,186.6,0.002694,11309,0.016500,1,62643,62643.000000,runs=10 seed=42
NASA-iPSC-1993-3.1-cln_interval_5groups,OLCFISAS multi avg,4,33.5,1619,0.020692,186.6,0.002694,11309,0.016500,1,62643,62643.000000,runs=10 seed=42
NASA-iPSC-1993-3.1-cln_interval_5groups,OLCFISAS multi avg,5,21,1097,0.019143,186.6,0.002694,11309,0.016500,1,62643,62643.000000,runs=10 seed=42
NASA-iPSC-1993-3.1-cln_interval_5groups,Multi-run avg,1,3674.3,5080,0.723287,9890.4,0.601976,11309,0.874560,1,62643,62643.000000,runs=10 alpha=0.0 seed=42
NASA-iPSC-1993-3.1-cln_interval_5groups,Multi-run avg,2,2911.3,3722,0.782187,9890.4,0.601976,11309,0.874560,1,62643,62643.000000,runs=10 alpha=0.0 seed=42
NASA-iPSC-1993-3.1-cln_interval_5groups,Multi-run avg,3,1340.6,2227,0.601976,9890.4,0.601976,11309,0.874560,1,62643,62643.000000,runs=10 alpha=0.0 seed=42
NASA-iPSC-1993-3.1-cln_interval_5groups,Multi-run avg,4,1225.2,1619,0.756763,9890.4,0.601976,11309,0.874560,1,62643,62643.000000,runs=10 alpha=0.0 seed=42
NASA-iPSC-1993-3.1-cln_interval_5groups,Multi-run avg,5,739,1097,0.673655,9890.4,0.601976,11309,0.874560,1,62643,62643.000000,runs=10 alpha=0.0 seed=42
NASA-iPSC-1993-3.1-cln_interval_5groups,Greedy,1,4480,5080,0.881890,11309,0.721433,11309,1.000000,1,62643,62643.000000,global offline greedy
NASA-iPSC-1993-3.1-cln_interval_5groups,Greedy,2,3112,3722,0.836110,11309,0.721433,11309,1.000000,1,62643,62643.000000,global offline greedy
NASA-iPSC-1993-3.1-cln_interval_5groups,Greedy,3,1735,2227,0.779075,11309,0.721433,11309,1.000000,1,62643,62643.000000,global offline greedy
NASA-iPSC-1993-3.1-cln_interval_5groups,Greedy,4,1168,1619,0.721433,11309,0.721433,11309,1.000000,1,62643,62643.000000,global offline greedy
NASA-iPSC-1993-3.1-cln_interval_5groups,Greedy,5,814,1097,0.742024,11309,0.721433,11309,1.000000,1,62643,62643.000000,global offline greedy
NASA-iPSC-1993-3.1-cln_interval_5groups,BPA,1,1016,5080,0.200000,2750,0.199820,11309,0.243169,1,62643,62643.000000,k=5
NASA-iPSC-1993-3.1-cln_interval_5groups,BPA,2,745,3722,0.200161,2750,0.199820,11309,0.243169,1,62643,62643.000000,k=5
NASA-iPSC-1993-3.1-cln_interval_5groups,BPA,3,445,2227,0.199820,2750,0.199820,11309,0.243169,1,62643,62643.000000,k=5
NASA-iPSC-1993-3.1-cln_interval_5groups,BPA,4,324,1619,0.200124,2750,0.199820,11309,0.243169,1,62643,62643.000000,k=5
NASA-iPSC-1993-3.1-cln_interval_5groups,BPA,5,220,1097,0.200547,2750,0.199820,11309,0.243169,1,62643,62643.000000,k=5
