start,length,group_id
0,937,2
164472,75,1
197154,35268,1
310448,29493,1
310541,29063,2
310684,33707,2
319091,47451,2
319101,49724,1
324746,61578,1
324939,54611,1
325845,34208,1
329457,50008,1
331348,47467,1
332172,431,1
332256,29962,2
340050,563,1
340132,35436,1
340486,1759,1
340494,3468,2
345653,42198,1
346123,43899,2
346477,468,2
349115,43116,1
349142,40723,1
355510,60130,2
355537,55625,1
355579,54680,1
355659,57305,1
355748,54919,2
355813,44329,1
360803,17129,2
364635,7315,2
364891,6906,1
367030,46,2
367475,50,1
376991,330,1
377108,226,2
377838,11850,1
378233,940,2
378411,62,1
378792,75,2
379805,16762,1
380237,320,1
380335,78,1
380710,39,1
380738,65,1
380784,71,1
381192,58,1
381346,5108,2
381358,61,1
381721,599,1
382569,52,1
383314,335,1
385806,43,2
387233,2241,2
396176,72,1
397015,12937,1
398652,4053,2
399095,19663,1
399422,314,1
400484,4930,2
400634,6058,2
400903,9615,1
401262,1117,2
402359,1850,2
402444,1685,2
403517,649,1
403675,2017,1
403688,6727,1
403691,167,1
403741,313,1
404510,433,2
404957,4935,2
404972,19370,1
405175,19351,2
405614,4446,1
405705,4192,2
405892,18764,1
405946,18743,1
406018,18665,1
406103,18556,1
406350,17029,1
406862,647,1
406983,228,2
406992,206,1
407107,3807,1
407357,3916,2
407607,3807,1
407723,5681,1
407818,79,1
407881,124,1
408182,164,2
408220,2633,2
408282,77,1
408325,242,1
408355,417,1
408517,16128,2
408854,2541,1
409262,1058,2
409304,901,2
409348,696,1
411579,8625,2
411600,2087,2
414922,2461,1
415038,103,1
415192,804,2
415264,8489,1
415506,310,1
415516,8578,1
415561,8576,2
415588,8549,2
415664,8504,1
415681,8412,1
415695,8394,1
415719,84,2
415767,334,2
415814,5598,1
415819,8315,2
415913,8293,1
415928,8278,1
416051,8243,2
416069,8312,1
416181,8200,2
416273,50,1
416283,45,1
416335,44,1
416390,2969,1
416480,106,2
416484,8168,2
416547,6220,2
416576,7998,1
416741,7762,1
416852,3659,2
416899,812,2
416947,586,1
417073,404,1
417091,2622,1
417439,1364,2
417523,58,2
417579,6846,1
417709,99,1
417710,44,1
417840,6657,1
417875,52,2
417932,6512,1
417933,6488,1
417934,6473,1
417936,6434,2
417937,3943,1
417938,3914,1
417940,8727,2
417940,7240,2
417941,8748,1
418181,68,1
418392,6187,1
418678,1690,1
418841,16427,1
419013,315,1
419028,23033,1
419070,5446,1
419080,23065,1
419136,22183,2
419323,941,1
419333,4908,2
419516,3076,2
419966,2801,1
420397,68,1
420598,3348,2
420775,3815,1
421040,576,1
421180,84,2
421190,51,1
421230,2589,1
421435,1991,2
421491,3055,2
421695,4250,1
421776,43310,1
421906,13808,1
421918,6230,1
422623,869,1
422908,72,2
423679,1835,2
423899,40,2
424253,335,1
424271,29019,1
424347,45625,1
424371,53,2
424462,61800,1
424772,93,1
427445,269,1
427641,283,1
427691,14922,1
427837,51378,1
427854,52249,2
427869,54359,1
427882,52514,2
427893,54637,1
427904,54040,1
428152,946,2
428168,7724,2
428503,32448,2
428508,64845,2
428540,7320,2
428883,52476,1
428901,56926,1
428908,45103,1
428930,44888,1
428935,50773,1
429072,6580,1
429119,46473,2
429133,86,1
429282,44576,2
429297,13562,1
429346,42,1
429479,2038,2
429836,52,2
430141,70,1
430224,44540,2
430261,57597,1
430496,50795,1
430542,51445,2
430572,51188,1
430627,46971,1
430678,41011,2
430724,36577,1
430753,18350,1
430774,12334,1
430823,79,2
430931,41011,1
431142,3340,2
431177,7685,1
431292,1480,1
431869,119,1
431949,427,2
432043,85,1
432085,13227,1
432124,33778,2
432236,7711,1
432340,10489,1
432423,267,1
432442,3442,1
432469,127,1
433054,15462,1
433602,23700,2
433631,9574,1
433710,64838,2
434995,10035,1
435084,41,1
436284,41,2
436339,41,1
436496,41,1
436554,46,2
436712,58,1
436731,42,1
436968,14622,2
437079,7417,2
437417,50,1
437471,36240,1
437481,1348,1
437505,5903,2
437526,6027,2
437549,341,2
437919,54,1
437930,56,1
438155,690,2
438234,38302,2
438298,56,1
438514,1293,2
439999,18149,2
440135,10840,1
440179,36500,2
440460,42,1
441025,68,2
441149,32,2
441417,1874,1
441654,11898,1
443718,507,1
444990,474,1
445693,70,1
446090,94,1
446339,341,2
446924,213,1
447050,341,2
447165,34652,1
448197,16133,1
448245,1858,2
448496,1482,2
448502,1678,1
448509,2179,1
448514,2857,1
448523,3948,1
448530,4977,2
448546,7708,2
448820,2219,1
451205,13926,2
451427,350,1
451815,248,1
452802,567,1
453001,14853,1
453100,543,2
453500,14752,2
454108,42595,1
454848,577,2
455355,1239,1
456055,213,1
456140,1433,1
456227,1432,1
456229,1432,2
456268,42131,2
456274,33224,2
457287,21254,2
458783,41857,1
458874,35826,1
460684,30941,1
461177,1435,2
461603,15247,2
462151,19246,1
463328,40,1
463769,64836,1
463947,64838,2
464676,582,2
466223,28086,2
466333,64838,2
470447,166,2
470555,70,1
470615,687,2
471554,7528,1
473247,13616,2
477081,35789,2
478279,404,2
479147,349,2
479873,23744,1
479958,105,2
480710,2338,1
483479,45,2
483545,50783,2
483725,5879,1
483847,603,2
483858,64840,1
484043,64839,1
485161,148,2
486828,13554,1
487042,50679,1
487960,743,1
488534,4795,1
488838,36012,2
489144,85,2
489150,339,1
489487,1643,2
489627,127,1
489659,80,2
489769,15356,1
489814,10848,2
489819,15346,1
489868,33904,2
490239,338,1
490341,641,2
490379,46,1
490615,52,1
490895,57,1
491056,334,2
491609,376,1
491627,85,1
491950,78,1
492001,1710,1
492044,24468,1
492082,821,1
492131,83,2
492141,5705,1
492346,106,2
492405,24604,1
492423,104,2
492438,404,2
492591,51,2
492637,15689,1
492924,42,1
492948,53,2
493109,587,1
493274,3646,1
493453,44628,2
493498,50938,2
493557,1836,1
493562,57339,1
493640,61766,1
493831,53388,1
493916,7492,1
493953,5517,1
494070,77,1
494071,8285,2
494132,24078,2
494734,4022,2
494833,67,1
494888,14452,1
494916,49214,1
