start,length,group_id
0,937,4
164472,75,2
197154,35268,5
310448,29493,5
310541,29063,5
310684,33707,5
319091,47451,5
319101,49724,5
324746,61578,5
324939,54611,5
325845,34208,5
329457,50008,5
331348,47467,5
332172,431,3
332256,29962,5
340050,563,3
340132,35436,5
340486,1759,4
340494,3468,4
345653,42198,5
346123,43899,5
346477,468,3
349115,43116,5
349142,40723,5
355510,60130,5
355537,55625,5
355579,54680,5
355659,57305,5
355748,54919,5
355813,44329,5
360803,17129,5
364635,7315,4
364891,6906,4
367030,46,2
367475,50,2
376991,330,3
377108,226,3
377838,11850,5
378233,940,4
378411,62,2
378792,75,2
379805,16762,5
380237,320,3
380335,78,2
380710,39,2
380738,65,2
380784,71,2
381192,58,2
381346,5108,4
381358,61,2
381721,599,3
382569,52,2
383314,335,3
385806,43,2
387233,2241,4
396176,72,2
397015,12937,5
398652,4053,4
399095,19663,5
399422,314,3
400484,4930,4
400634,6058,4
400903,9615,5
401262,1117,4
402359,1850,4
402444,1685,4
403517,649,3
403675,2017,4
403688,6727,4
403691,167,3
403741,313,3
404510,433,3
404957,4935,4
404972,19370,5
405175,19351,5
405614,4446,4
405705,4192,4
405892,18764,5
405946,18743,5
406018,18665,5
406103,18556,5
406350,17029,5
406862,647,3
406983,228,3
406992,206,3
407107,3807,4
407357,3916,4
407607,3807,4
407723,5681,4
407818,79,2
407881,124,3
408182,164,3
408220,2633,4
408282,77,2
408325,242,3
408355,417,3
408517,16128,5
408854,2541,4
409262,1058,4
409304,901,4
409348,696,3
411579,8625,5
411600,2087,4
414922,2461,4
415038,103,3
415192,804,3
415264,8489,5
415506,310,3
415516,8578,5
415561,8576,5
415588,8549,5
415664,8504,5
415681,8412,5
415695,8394,5
415719,84,2
415767,334,3
415814,5598,4
415819,8315,5
415913,8293,5
415928,8278,5
416051,8243,5
416069,8312,5
416181,8200,5
416273,50,2
416283,45,2
416335,44,2
416390,2969,4
416480,106,3
416484,8168,5
416547,6220,4
416576,7998,5
416741,7762,5
416852,3659,4
416899,812,3
416947,586,3
417073,404,3
417091,2622,4
417439,1364,4
417523,58,2
417579,6846,4
417709,99,3
417710,44,2
417840,6657,4
417875,52,2
417932,6512,4
417933,6488,4
417934,6473,4
417936,6434,4
417937,3943,4
417938,3914,4
417940,8727,5
417940,7240,4
417941,8748,5
418181,68,2
418392,6187,4
418678,1690,4
418841,16427,5
419013,315,3
419028,23033,5
419070,5446,4
419080,23065,5
419136,22183,5
419323,941,4
419333,4908,4
419516,3076,4
419966,2801,4
420397,68,2
420598,3348,4
420775,3815,4
421040,576,3
421180,84,2
421190,51,2
421230,2589,4
421435,1991,4
421491,3055,4
421695,4250,4
421776,43310,5
421906,13808,5
421918,6230,4
422623,869,4
422908,72,2
423679,1835,4
423899,40,2
424253,335,3
424271,29019,5
424347,45625,5
424371,53,2
424462,61800,5
424772,93,3
427445,269,3
427641,283,3
427691,14922,5
427837,51378,5
427854,52249,5
427869,54359,5
427882,52514,5
427893,54637,5
427904,54040,5
428152,946,4
428168,7724,5
428503,32448,5
428508,64845,5
428540,7320,4
428883,52476,5
428901,56926,5
428908,45103,5
428930,44888,5
428935,50773,5
429072,6580,4
429119,46473,5
429133,86,2
429282,44576,5
429297,13562,5
429346,42,2
429479,2038,4
429836,52,2
430141,70,2
430224,44540,5
430261,57597,5
430496,50795,5
430542,51445,5
430572,51188,5
430627,46971,5
430678,41011,5
430724,36577,5
430753,18350,5
430774,12334,5
430823,79,2
430931,41011,5
431142,3340,4
431177,7685,4
431292,1480,4
431869,119,3
431949,427,3
432043,85,2
432085,13227,5
432124,33778,5
432236,7711,5
432340,10489,5
432423,267,3
432442,3442,4
432469,127,3
433054,15462,5
433602,23700,5
433631,9574,5
433710,64838,5
434995,10035,5
435084,41,2
436284,41,2
436339,41,2
436496,41,2
436554,46,2
436712,58,2
436731,42,2
436968,14622,5
437079,7417,4
437417,50,2
437471,36240,5
437481,1348,4
437505,5903,4
437526,6027,4
437549,341,3
437919,54,2
437930,56,2
438155,690,3
438234,38302,5
438298,56,2
438514,1293,4
439999,18149,5
440135,10840,5
440179,36500,5
440460,42,2
441025,68,2
441149,32,2
441417,1874,4
441654,11898,5
443718,507,3
444990,474,3
445693,70,2
446090,94,3
446339,341,3
446924,213,3
447050,341,3
447165,34652,5
448197,16133,5
448245,1858,4
448496,1482,4
448502,1678,4
448509,2179,4
448514,2857,4
448523,3948,4
448530,4977,4
448546,7708,5
448820,2219,4
451205,13926,5
451427,350,3
451815,248,3
452802,567,3
453001,14853,5
453100,543,3
453500,14752,5
454108,42595,5
454848,577,3
455355,1239,4
456055,213,3
456140,1433,4
456227,1432,4
456229,1432,4
456268,42131,5
456274,33224,5
457287,21254,5
458783,41857,5
458874,35826,5
460684,30941,5
461177,1435,4
461603,15247,5
462151,19246,5
463328,40,2
463769,64836,5
463947,64838,5
464676,582,3
466223,28086,5
466333,64838,5
470447,166,3
470555,70,2
470615,687,3
471554,7528,4
473247,13616,5
477081,35789,5
478279,404,3
479147,349,3
479873,23744,5
479958,105,3
480710,2338,4
483479,45,2
483545,50783,5
483725,5879,4
483847,603,3
483858,64840,5
484043,64839,5
485161,148,3
486828,13554,5
487042,50679,5
487960,743,3
488534,4795,4
488838,36012,5
489144,85,2
489150,339,3
489487,1643,4
489627,127,3
489659,80,2
489769,15356,5
489814,10848,5
489819,15346,5
489868,33904,5
490239,338,3
490341,641,3
490379,46,2
490615,52,2
490895,57,2
491056,334,3
491609,376,3
491627,85,2
491950,78,2
492001,1710,4
492044,24468,5
492082,821,3
492131,83,2
492141,5705,4
492346,106,3
492405,24604,5
492423,104,3
492438,404,3
492591,51,2
492637,15689,5
492924,42,2
492948,53,2
493109,587,3
493274,3646,4
493453,44628,5
493498,50938,5
493557,1836,4
493562,57339,5
493640,61766,5
493831,53388,5
493916,7492,4
493953,5517,4
494070,77,2
494071,8285,5
494132,24078,5
494734,4022,4
494833,67,2
494888,14452,5
494916,49214,5
495013,48,2
495212,4963,4
495555,60,2
496017,8557,5
496121,1837,4
496156,78,2
496168,11734,5
496246,58094,5
496330,1570,4
496534,99,3
496970,94,3
497294,3667,4
497707,5115,4
497722,7118,4
498011,335,3
498276,1817,4
498441,85,2
498450,102,3
498800,47,2
498921,4648,4
499211,8103,5
499315,7395,4
499350,1951,4
499604,59302,5
499652,2088,4
499667,44,2
500160,9061,5
500161,9012,5
500163,8460,5
500164,8527,5
500166,8466,5
500167,8839,5
500168,8878,5
500357,13537,5
500581,96,3
501311,1530,4
501317,1554,4
501323,1665,4
501327,1791,4
501330,1766,4
501334,1898,4
501339,1856,4
501354,1885,4
501376,1804,4
501657,2198,4
501664,2199,4
501668,2203,4
501672,2210,4
501677,2280,4
501682,2249,4
501687,2247,4
501692,2258,4
501693,3238,4
501697,2300,4
501741,2351,4
502084,3874,4
502089,3911,4
502095,3845,4
502100,3806,4
502104,3835,4
502109,3821,4
502113,3819,4
502118,3865,4
502122,3872,4
502129,3841,4
502133,3922,4
502138,3984,4
502253,157,3
502538,7539,4
502544,7544,4
502551,7545,4
502556,7522,4
502559,7502,4
502563,7550,4
502570,7557,4
502574,7546,4
502578,7562,4
502582,7523,4
502587,7575,4
502590,7555,4
502595,7531,4
502598,7559,4
502602,7791,5
502606,7671,4
502610,7745,5
502613,58067,5
502615,7823,5
502626,7838,5
502631,7992,5
502779,10226,5
502784,17011,5
502789,25341,5
502796,50134,5
502802,50055,5
503115,2240,4
503123,2204,4
503687,14447,5
503801,583,3
503821,67,2
504116,643,3
504189,84,2
504482,33120,5
505121,431,3
505167,79,2
505238,6560,4
505458,1241,4
505876,55235,5
506207,39,2
506260,41,2
506284,32956,5
506303,50766,5
506405,50287,5
506433,50197,5
506583,4377,4
506700,46,2
506997,82,2
507199,50168,5
508071,5232,4
508089,36,2
508106,4544,4
508874,943,4
508876,82,2
508955,293,3
509017,63,2
509311,386,3
509512,83,2
509594,995,4
509900,146,3
509926,79,2
509963,82,2
510268,53,2
510475,43,2
510672,641,3
511241,13957,5
511372,78,2
511556,45,2
511660,560,3
511764,21657,5
511873,4457,4
511958,43,2
512288,80,2
512480,46417,5
513108,79,2
513325,3772,4
513906,46070,5
514216,21827,5
514672,14448,5
514774,465,3
514931,5650,4
514946,5248,4
515052,3312,4
515160,7708,5
515339,2632,4
515419,3578,4
515672,63,2
515894,14451,5
516036,77,2
516042,69,2
516047,69,2
516049,70,2
516053,73,2
516180,73,2
516183,73,2
516185,70,2
516188,70,2
516212,14168,5
516455,2557,4
516534,36040,5
516581,36136,5
516617,35266,5
516728,36549,5
516840,73,2
517013,338,3
517028,45,2
517138,2054,4
517558,2511,4
518350,42398,5
518508,6555,4
518716,557,3
518759,13587,5
518846,18121,5
518872,470,3
519037,814,3
519040,674,3
521057,7330,4
523466,18795,5
523623,73,2
524557,214,3
524650,76,2
524759,13611,5
527013,139,3
528043,397,3
528134,49,2
528184,181,3
529367,4356,4
529568,1019,4
529609,967,4
529749,823,4
530194,76,2
530869,32258,5
530963,32161,5
531391,240,3
531608,52,2
531633,15781,5
531987,9848,5
531998,31143,5
533184,29940,5
533413,487,3
534689,38,2
534755,35,2
534847,38,2
535273,16206,5
535801,536,3
536645,54,2
537518,1253,4
537795,1261,4
537804,1261,4
537810,1265,4
537836,44,2
537841,49,2
537931,608,3
538573,24546,5
538820,24308,5
540023,21845,5
540029,21244,5
540033,15659,5
540039,9920,5
540043,6526,4
540047,6511,4
540051,6493,4
540055,6473,4
540058,6450,4
540063,6465,4
545181,77,2
545306,116,3
545539,54,2
547032,46,2
547179,58,2
547352,151,3
547369,153,3
547435,161,3
548838,442,3
548848,426,3
548878,422,3
550091,6450,4
554456,1,1
555796,6325,4
563484,1,1
565924,34,2
587212,43246,5
587438,3942,4
587453,50182,5
587465,64837,5
587553,62372,5
587589,3807,4
587616,55006,5
587635,44224,5
587663,56489,5
587750,145,3
588235,7294,4
