start,length,group_id
0,937,3
164472,75,1
197154,35268,6
310448,29493,6
310541,29063,6
310684,33707,6
319091,47451,6
319101,49724,6
324746,61578,6
324939,54611,6
325845,34208,6
329457,50008,6
331348,47467,6
332172,431,3
332256,29962,6
340050,563,3
340132,35436,6
340486,1759,4
340494,3468,4
345653,42198,6
346123,43899,6
346477,468,3
349115,43116,6
349142,40723,6
355510,60130,6
355537,55625,6
355579,54680,6
355659,57305,6
355748,54919,6
355813,44329,6
360803,17129,5
364635,7315,5
364891,6906,4
367030,46,1
367475,50,1
376991,330,3
377108,226,3
377838,11850,5
378233,940,3
378411,62,1
378792,75,1
379805,16762,5
380237,320,3
380335,78,2
380710,39,1
380738,65,1
380784,71,1
381192,58,1
381346,5108,4
381358,61,1
381721,599,3
382569,52,1
383314,335,3
385806,43,1
387233,2241,4
396176,72,1
397015,12937,5
398652,4053,4
399095,19663,5
399422,314,3
400484,4930,4
400634,6058,4
400903,9615,5
401262,1117,4
402359,1850,4
402444,1685,4
403517,649,3
403675,2017,4
403688,6727,4
403691,167,2
403741,313,3
404510,433,3
404957,4935,4
404972,19370,5
405175,19351,5
405614,4446,4
405705,4192,4
405892,18764,5
405946,18743,5
406018,18665,5
406103,18556,5
406350,17029,5
406862,647,3
406983,228,3
406992,206,3
407107,3807,4
407357,3916,4
407607,3807,4
407723,5681,4
407818,79,2
407881,124,2
408182,164,2
408220,2633,4
408282,77,2
408325,242,3
408355,417,3
408517,16128,5
408854,2541,4
409262,1058,3
409304,901,3
409348,696,3
411579,8625,5
411600,2087,4
414922,2461,4
415038,103,2
415192,804,3
415264,8489,5
415506,310,3
415516,8578,5
415561,8576,5
415588,8549,5
415664,8504,5
415681,8412,5
415695,8394,5
415719,84,2
415767,334,3
415814,5598,4
415819,8315,5
415913,8293,5
415928,8278,5
416051,8243,5
416069,8312,5
416181,8200,5
416273,50,1
416283,45,1
416335,44,1
416390,2969,4
416480,106,2
416484,8168,5
416547,6220,4
416576,7998,5
416741,7762,5
416852,3659,4
416899,812,3
416947,586,3
417073,404,3
417091,2622,4
417439,1364,4
417523,58,1
417579,6846,4
417709,99,2
417710,44,1
417840,6657,4
417875,52,1
417932,6512,4
417933,6488,4
417934,6473,4
417936,6434,4
417937,3943,4
417938,3914,4
417940,8727,5
417940,7240,5
417941,8748,5
418181,68,1
418392,6187,4
418678,1690,4
418841,16427,5
419013,315,3
419028,23033,5
419070,5446,4
