start,length,group_id
0,937,4
164472,75,2
197154,35268,7
310448,29493,7
310541,29063,7
310684,33707,7
319091,47451,8
319101,49724,8
324746,61578,8
324939,54611,8
325845,34208,7
329457,50008,8
331348,47467,8
332172,431,4
332256,29962,7
340050,563,4
340132,35436,7
340486,1759,5
340494,3468,5
345653,42198,8
346123,43899,8
346477,468,4
349115,43116,8
349142,40723,8
355510,60130,8
355537,55625,8
355579,54680,8
355659,57305,8
355748,54919,8
355813,44329,8
360803,17129,7
364635,7315,6
364891,6906,6
367030,46,1
367475,50,1
376991,330,4
377108,226,3
377838,11850,6
378233,940,4
378411,62,1
378792,75,2
379805,16762,7
380237,320,4
380335,78,2
380710,39,1
380738,65,1
380784,71,2
381192,58,1
381346,5108,6
381358,61,1
381721,599,4
382569,52,1
383314,335,4
385806,43,1
387233,2241,5
396176,72,2
397015,12937,6
398652,4053,5
399095,19663,7
399422,314,4
400484,4930,6
400634,6058,6
400903,9615,6
401262,1117,5
402359,1850,5
402444,1685,5
403517,649,4
403675,2017,5
403688,6727,6
403691,167,3
403741,313,4
404510,433,4
404957,4935,6
404972,19370,7
405175,19351,7
405614,4446,5
405705,4192,5
405892,18764,7
405946,18743,7
406018,18665,7
406103,18556,7
406350,17029,7
406862,647,4
406983,228,3
406992,206,3
407107,3807,5
407357,3916,5
407607,3807,5
407723,5681,6
407818,79,2
407881,124,3
408182,164,3
408220,2633,5
408282,77,2
408325,242,3
408355,417,4
408517,16128,7
408854,2541,5
409262,1058,4
409304,901,4
409348,696,4
411579,8625,6
411600,2087,5
414922,2461,5
415038,103,2
415192,804,4
415264,8489,6
415506,310,4
415516,8578,6
415561,8576,6
415588,8549,6
415664,8504,6
415681,8412,6
415695,8394,6
415719,84,2
415767,334,4
415814,5598,6
415819,8315,6
415913,8293,6
415928,8278,6
416051,8243,6
416069,8312,6
416181,8200,6
416273,50,1
416283,45,1
416335,44,1
416390,2969,5
416480,106,2
416484,8168,6
416547,6220,6
416576,7998,6
416741,7762,6
416852,3659,5
416899,812,4
416947,586,4
417073,404,4
417091,2622,5
417439,1364,5
417523,58,1
417579,6846,6
417709,99,2
417710,44,1
417840,6657,6
417875,52,1
417932,6512,6
417933,6488,6
417934,6473,6
417936,6434,6
417937,3943,5
417938,3914,5
417940,8727,6
417940,7240,6
417941,8748,6
418181,68,2
418392,6187,6
418678,1690,5
418841,16427,7
419013,315,4
419028,23033,7
419070,5446,6
419080,23065,7
419136,22183,7
419323,941,4
419333,4908,6
419516,3076,5
419966,2801,5
420397,68,2
420598,3348,5
420775,3815,5
421040,576,4
421180,84,2
421190,51,1
421230,2589,5
421435,1991,5
421491,3055,5
421695,4250,5
421776,43310,8
421906,13808,6
421918,6230,6
422623,869,4
422908,72,2
423679,1835,5
423899,40,1
424253,335,4
424271,29019,7
424347,45625,8
424371,53,1
424462,61800,8
424772,93,2
427445,269,3
427641,283,3
427691,14922,7
427837,51378,8
427854,52249,8
427869,54359,8
427882,52514,8
427893,54637,8
427904,54040,8
428152,946,4
428168,7724,6
428503,32448,7
428508,64845,8
428540,7320,6
428883,52476,8
428901,56926,8
428908,45103,8
428930,44888,8
428935,50773,8
429072,6580,6
429119,46473,8
429133,86,2
429282,44576,8
429297,13562,6
429346,42,1
429479,2038,5
429836,52,1
430141,70,2
430224,44540,8
430261,57597,8
430496,50795,8
430542,51445,8
430572,51188,8
430627,46971,8
430678,41011,8
430724,36577,7
430753,18350,7
430774,12334,6
430823,79,2
430931,41011,8
431142,3340,5
431177,7685,6
431292,1480,5
431869,119,3
431949,427,4
432043,85,2
432085,13227,6
432124,33778,7
432236,7711,6
432340,10489,6
432423,267,3
432442,3442,5
432469,127,3
433054,15462,7
433602,23700,7
433631,9574,6
433710,64838,8
434995,10035,6
435084,41,1
436284,41,1
436339,41,1
436496,41,1
436554,46,1
436712,58,1
436731,42,1
436968,14622,7
437079,7417,6
437417,50,1
437471,36240,7
437481,1348,5
437505,5903,6
437526,6027,6
437549,341,4
437919,54,1
437930,56,1
438155,690,4
438234,38302,8
438298,56,1
438514,1293,5
439999,18149,7
440135,10840,6
440179,36500,7
440460,42,1
441025,68,2
441149,32,1
441417,1874,5
441654,11898,6
443718,507,4
444990,474,4
445693,70,2
446090,94,2
446339,341,4
446924,213,3
447050,341,4
447165,34652,7
448197,16133,7
448245,1858,5
448496,1482,5
448502,1678,5
448509,2179,5
448514,2857,5
448523,3948,5
448530,4977,6
448546,7708,6
448820,2219,5
451205,13926,6
451427,350,4
451815,248,3
452802,567,4
453001,14853,7
453100,543,4
453500,14752,7
454108,42595,8
454848,577,4
455355,1239,5
456055,213,3
456140,1433,5
456227,1432,5
456229,1432,5
456268,42131,8
456274,33224,7
457287,21254,7
458783,41857,8
458874,35826,7
460684,30941,7
461177,1435,5
461603,15247,7
462151,19246,7
463328,40,1
463769,64836,8
463947,64838,8
464676,582,4
466223,28086,7
466333,64838,8
470447,166,3
470555,70,2
470615,687,4
471554,7528,6
473247,13616,6
477081,35789,7
478279,404,4
479147,349,4
479873,23744,7
479958,105,2
480710,2338,5
483479,45,1
483545,50783,8
483725,5879,6
483847,603,4
483858,64840,8
484043,64839,8
485161,148,3
486828,13554,6
487042,50679,8
487960,743,4
488534,4795,6
488838,36012,7
489144,85,2
489150,339,4
489487,1643,5
489627,127,3
489659,80,2
489769,15356,7
489814,10848,6
489819,15346,7
489868,33904,7
490239,338,4
490341,641,4
490379,46,1
490615,52,1
490895,57,1
491056,334,4
491609,376,4
491627,85,2
491950,78,2
492001,1710,5
492044,24468,7
492082,821,4
492131,83,2
492141,5705,6
492346,106,2
492405,24604,7
492423,104,2
492438,404,4
492591,51,1
492637,15689,7
492924,42,1
492948,53,1
493109,587,4
493274,3646,5
493453,44628,8
493498,50938,8
493557,1836,5
493562,57339,8
493640,61766,8
493831,53388,8
493916,7492,6
493953,5517,6
494070,77,2
494071,8285,6
494132,24078,7
494734,4022,5
494833,67,2
494888,14452,7
494916,49214,8
495013,48,1
495212,4963,6
495555,60,1
496017,8557,6
496121,1837,5
496156,78,2
496168,11734,6
496246,58094,8
496330,1570,5
496534,99,2
496970,94,2
497294,3667,5
497707,5115,6
497722,7118,6
498011,335,4
498276,1817,5
498441,85,2
498450,102,2
498800,47,1
498921,4648,6
499211,8103,6
499315,7395,6
499350,1951,5
499604,59302,8
499652,2088,5
499667,44,1
500160,9061,6
500161,9012,6
500163,8460,6
500164,8527,6
500166,8466,6
500167,8839,6
500168,8878,6
500357,13537,6
500581,96,2
501311,1530,5
501317,1554,5
501323,1665,5
501327,1791,5
501330,1766,5
501334,1898,5
501339,1856,5
501354,1885,5
501376,1804,5
501657,2198,5
501664,2199,5
501668,2203,5
501672,2210,5
501677,2280,5
501682,2249,5
501687,2247,5
501692,2258,5
501693,3238,5
501697,2300,5
501741,2351,5
502084,3874,5
502089,3911,5
502095,3845,5
502100,3806,5
502104,3835,5
502109,3821,5
502113,3819,5
502118,3865,5
502122,3872,5
502129,3841,5
502133,3922,5
502138,3984,5
502253,157,3
502538,7539,6
502544,7544,6
502551,7545,6
502556,7522,6
502559,7502,6
502563,7550,6
502570,7557,6
502574,7546,6
502578,7562,6
502582,7523,6
502587,7575,6
502590,7555,6
502595,7531,6
502598,7559,6
502602,7791,6
502606,7671,6
502610,7745,6
502613,58067,8
502615,7823,6
502626,7838,6
502631,7992,6
502779,10226,6
502784,17011,7
502789,25341,7
502796,50134,8
502802,50055,8
503115,2240,5
503123,2204,5
503687,14447,7
503801,583,4
503821,67,2
504116,643,4
504189,84,2
504482,33120,7
505121,431,4
505167,79,2
505238,6560,6
505458,1241,5
505876,55235,8
506207,39,1
506260,41,1
506284,32956,7
506303,50766,8
506405,50287,8
506433,50197,8
506583,4377,5
506700,46,1
506997,82,2
507199,50168,8
508071,5232,6
508089,36,1
508106,4544,6
508874,943,4
508876,82,2
508955,293,4
509017,63,1
509311,386,4
509512,83,2
509594,995,4
509900,146,3
509926,79,2
509963,82,2
510268,53,1
510475,43,1
510672,641,4
511241,13957,6
511372,78,2
511556,45,1
511660,560,4
511764,21657,7
511873,4457,5
511958,43,1
512288,80,2
512480,46417,8
513108,79,2
513325,3772,5
513906,46070,8
514216,21827,7
514672,14448,7
514774,465,4
514931,5650,6
514946,5248,6
515052,3312,5
515160,7708,6
515339,2632,5
515419,3578,5
515672,63,1
515894,14451,7
516036,77,2
516042,69,2
516047,69,2
516049,70,2
516053,73,2
516180,73,2
516183,73,2
516185,70,2
516188,70,2
516212,14168,7
516455,2557,5
516534,36040,7
516581,36136,7
516617,35266,7
516728,36549,7
516840,73,2
517013,338,4
517028,45,1
517138,2054,5
517558,2511,5
518350,42398,8
518508,6555,6
518716,557,4
518759,13587,6
518846,18121,7
518872,470,4
519037,814,4
519040,674,4
521057,7330,6
523466,18795,7
523623,73,2
524557,214,3
524650,76,2
524759,13611,6
527013,139,3
528043,397,4
528134,49,1
528184,181,3
529367,4356,5
529568,1019,4
529609,967,4
529749,823,4
530194,76,2
530869,32258,7
530963,32161,7
531391,240,3
531608,52,1
531633,15781,7
531987,9848,6
531998,31143,7
533184,29940,7
533413,487,4
534689,38,1
534755,35,1
534847,38,1
535273,16206,7
535801,536,4
536645,54,1
537518,1253,5
537795,1261,5
537804,1261,5
537810,1265,5
537836,44,1
537841,49,1
537931,608,4
538573,24546,7
538820,24308,7
540023,21845,7
540029,21244,7
540033,15659,7
540039,9920,6
540043,6526,6
540047,6511,6
540051,6493,6
540055,6473,6
540058,6450,6
540063,6465,6
545181,77,2
545306,116,3
545539,54,1
547032,46,1
547179,58,1
547352,151,3
547369,153,3
547435,161,3
548838,442,4
548848,426,4
548878,422,4
550091,6450,6
554456,1,1
555796,6325,6
563484,1,1
565924,34,1
587212,43246,8
587438,3942,5
587453,50182,8
587465,64837,8
587553,62372,8
587589,3807,5
587616,55006,8
587635,44224,8
587663,56489,8
587750,145,3
588235,7294,6
