start,length,group_id
0,937,1
164472,75,3
197154,35268,6
310448,29493,7
310541,29063,2
310684,33707,4
319091,47451,3
319101,49724,6
324746,61578,6
324939,54611,7
325845,34208,1
329457,50008,4
331348,47467,5
332172,431,4
332256,29962,5
340050,563,1
340132,35436,5
340486,1759,4
340494,3468,5
345653,42198,3
346123,43899,5
346477,468,7
349115,43116,5
349142,40723,7
355510,60130,4
355537,55625,4
355579,54680,2
355659,57305,1
355748,54919,7
355813,44329,1
360803,17129,7
364635,7315,1
364891,6906,4
367030,46,2
367475,50,1
376991,330,2
377108,226,5
377838,11850,7
378233,940,4
378411,62,2
378792,75,7
379805,16762,4
380237,320,5
380335,78,5
380710,39,3
380738,65,5
380784,71,2
381192,58,4
381346,5108,1
381358,61,1
381721,599,5
382569,52,1
383314,335,2
385806,43,1
387233,2241,7
396176,72,2
397015,12937,3
398652,4053,3
399095,19663,1
399422,314,5
400484,4930,5
400634,6058,1
400903,9615,7
401262,1117,7
402359,1850,5
402444,1685,6
403517,649,6
403675,2017,6
403688,6727,1
403691,167,1
403741,313,7
404510,433,5
404957,4935,4
404972,19370,7
405175,19351,6
405614,4446,6
405705,4192,3
405892,18764,3
405946,18743,5
406018,18665,6
406103,18556,6
406350,17029,4
406862,647,2
406983,228,2
406992,206,7
407107,3807,1
407357,3916,7
407607,3807,3
407723,5681,1
407818,79,5
407881,124,3
408182,164,3
408220,2633,6
408282,77,2
408325,242,6
408355,417,5
408517,16128,1
408854,2541,5
409262,1058,6
409304,901,1
409348,696,3
411579,8625,4
411600,2087,7
414922,2461,6
415038,103,3
415192,804,6
415264,8489,4
415506,310,1
415516,8578,4
415561,8576,4
415588,8549,5
415664,8504,7
415681,8412,1
415695,8394,3
415719,84,2
415767,334,6
415814,5598,1
415819,8315,7
415913,8293,6
415928,8278,6
416051,8243,2
416069,8312,5
416181,8200,7
416273,50,3
416283,45,1
416335,44,6
416390,2969,5
416480,106,4
416484,8168,4
416547,6220,5
416576,7998,1
416741,7762,2
416852,3659,1
416899,812,1
416947,586,7
417073,404,7
417091,2622,1
417439,1364,2
417523,58,6
417579,6846,1
417709,99,7
417710,44,7
417840,6657,7
417875,52,3
417932,6512,1
417933,6488,6
417934,6473,5
417936,6434,4
417937,3943,3
417938,3914,7
417940,8727,6
417940,7240,4
417941,8748,7
418181,68,3
418392,6187,7
418678,1690,4
418841,16427,1
419013,315,6
419028,23033,1
419070,5446,1
419080,23065,6
419136,22183,2
419323,941,7
419333,4908,6
419516,3076,4
419966,2801,2
420397,68,6
420598,3348,5
420775,3815,4
421040,576,3
421180,84,5
421190,51,5
421230,2589,4
421435,1991,7
421491,3055,3
421695,4250,4
421776,43310,3
421906,13808,1
421918,6230,2
422623,869,5
422908,72,2
423679,1835,7
423899,40,7
424253,335,2
424271,29019,6
424347,45625,6
424371,53,1
424462,61800,6
424772,93,2
427445,269,3
427641,283,2
427691,14922,3
427837,51378,2
427854,52249,7
427869,54359,2
427882,52514,4
427893,54637,7
427904,54040,4
428152,946,2
428168,7724,1
428503,32448,4
428508,64845,5
428540,7320,1
428883,52476,1
428901,56926,1
428908,45103,1
428930,44888,5
428935,50773,7
429072,6580,5
429119,46473,7
429133,86,5
429282,44576,5
429297,13562,7
429346,42,5
429479,2038,1
429836,52,5
430141,70,3
430224,44540,3
430261,57597,2
430496,50795,2
430542,51445,4
430572,51188,7
430627,46971,4
430678,41011,2
430724,36577,2
430753,18350,1
430774,12334,1
430823,79,6
430931,41011,2
431142,3340,1
431177,7685,5
431292,1480,5
431869,119,4
431949,427,2
432043,85,4
432085,13227,4
432124,33778,1
432236,7711,1
432340,10489,2
432423,267,4
432442,3442,1
432469,127,3
433054,15462,3
433602,23700,3
433631,9574,5
433710,64838,2
434995,10035,5
435084,41,5
436284,41,2
436339,41,6
436496,41,2
436554,46,2
436712,58,2
436731,42,1
436968,14622,1
437079,7417,3
437417,50,4
437471,36240,6
437481,1348,3
437505,5903,7
437526,6027,6
437549,341,7
437919,54,1
437930,56,4
438155,690,6
438234,38302,3
438298,56,2
438514,1293,3
439999,18149,2
440135,10840,1
440179,36500,6
440460,42,2
441025,68,4
441149,32,6
441417,1874,2
441654,11898,3
443718,507,5
444990,474,6
445693,70,4
446090,94,3
446339,341,6
446924,213,4
447050,341,4
447165,34652,3
448197,16133,7
448245,1858,6
448496,1482,5
448502,1678,4
448509,2179,7
448514,2857,5
448523,3948,5
448530,4977,4
448546,7708,6
448820,2219,4
451205,13926,5
451427,350,7
451815,248,5
452802,567,1
453001,14853,2
453100,543,5
453500,14752,6
454108,42595,6
454848,577,6
455355,1239,7
456055,213,2
456140,1433,5
456227,1432,6
456229,1432,1
456268,42131,6
456274,33224,1
457287,21254,7
458783,41857,6
458874,35826,6
460684,30941,1
461177,1435,7
461603,15247,6
462151,19246,2
463328,40,2
463769,64836,2
463947,64838,5
464676,582,7
466223,28086,6
466333,64838,7
470447,166,5
470555,70,1
470615,687,3
471554,7528,2
473247,13616,4
477081,35789,4
478279,404,4
479147,349,3
479873,23744,1
479958,105,3
480710,2338,4
483479,45,4
483545,50783,6
483725,5879,3
483847,603,4
483858,64840,2
484043,64839,1
485161,148,7
486828,13554,3
487042,50679,3
487960,743,3
488534,4795,3
488838,36012,1
489144,85,7
489150,339,4
489487,1643,6
489627,127,4
489659,80,3
489769,15356,3
489814,10848,7
489819,15346,7
489868,33904,2
490239,338,2
490341,641,7
490379,46,4
490615,52,2
490895,57,3
491056,334,3
491609,376,4
491627,85,2
491950,78,7
492001,1710,5
492044,24468,3
492082,821,5
492131,83,6
492141,5705,1
492346,106,2
492405,24604,3
492423,104,2
492438,404,7
492591,51,2
492637,15689,2
492924,42,2
492948,53,2
493109,587,6
493274,3646,6
493453,44628,5
493498,50938,5
493557,1836,6
493562,57339,6
493640,61766,2
493831,53388,3
493916,7492,4
493953,5517,4
494070,77,5
494071,8285,2
494132,24078,3
494734,4022,7
494833,67,1
494888,14452,7
494916,49214,6
495013,48,5
495212,4963,3
495555,60,2
496017,8557,1
496121,1837,7
496156,78,4
496168,11734,3
496246,58094,5
496330,1570,7
496534,99,3
496970,94,1
497294,3667,2
497707,5115,5
497722,7118,6
498011,335,5
498276,1817,4
498441,85,1
498450,102,4
498800,47,5
498921,4648,4
499211,8103,6
499315,7395,4
499350,1951,5
499604,59302,4
499652,2088,5
499667,44,6
500160,9061,1
500161,9012,1
500163,8460,6
500164,8527,6
500166,8466,4
500167,8839,4
500168,8878,7
500357,13537,1
500581,96,3
501311,1530,1
501317,1554,6
501323,1665,6
501327,1791,2
501330,1766,4
501334,1898,6
501339,1856,1
501354,1885,6
501376,1804,6
501657,2198,5
501664,2199,4
501668,2203,4
501672,2210,2
501677,2280,2
501682,2249,3
501687,2247,1
501692,2258,1
501693,3238,3
501697,2300,3
501741,2351,1
502084,3874,1
502089,3911,5
502095,3845,7
502100,3806,3
502104,3835,2
502109,3821,1
502113,3819,6
502118,3865,3
502122,3872,2
502129,3841,3
502133,3922,7
502138,3984,1
502253,157,4
502538,7539,4
502544,7544,1
502551,7545,1
502556,7522,6
502559,7502,6
502563,7550,1
502570,7557,2
502574,7546,1
502578,7562,2
502582,7523,5
502587,7575,2
502590,7555,2
502595,7531,1
502598,7559,7
502602,7791,4
502606,7671,1
502610,7745,1
502613,58067,1
502615,7823,3
502626,7838,1
502631,7992,1
502779,10226,5
502784,17011,7
502789,25341,5
502796,50134,6
502802,50055,7
503115,2240,7
503123,2204,7
503687,14447,6
503801,583,6
503821,67,2
504116,643,3
504189,84,3
504482,33120,4
505121,431,5
505167,79,2
505238,6560,7
505458,1241,2
505876,55235,6
506207,39,6
506260,41,3
506284,32956,4
506303,50766,7
506405,50287,5
506433,50197,4
506583,4377,6
506700,46,6
506997,82,7
507199,50168,4
508071,5232,6
508089,36,3
508106,4544,4
508874,943,3
508876,82,5
508955,293,6
509017,63,2
509311,386,4
509512,83,4
509594,995,6
509900,146,7
509926,79,4
509963,82,7
510268,53,1
510475,43,5
510672,641,7
511241,13957,7
511372,78,2
511556,45,4
511660,560,1
511764,21657,5
511873,4457,2
511958,43,7
512288,80,7
512480,46417,1
513108,79,1
513325,3772,4
513906,46070,1
514216,21827,4
514672,14448,1
514774,465,1
514931,5650,1
514946,5248,6
515052,3312,7
515160,7708,3
515339,2632,6
515419,3578,6
515672,63,5
515894,14451,7
516036,77,5
516042,69,4
516047,69,2
516049,70,4
516053,73,7
516180,73,1
516183,73,2
516185,70,3
516188,70,3
516212,14168,1
516455,2557,4
516534,36040,1
516581,36136,2
516617,35266,1
516728,36549,5
516840,73,5
517013,338,1
517028,45,6
517138,2054,1
517558,2511,7
518350,42398,4
518508,6555,1
518716,557,6
518759,13587,1
518846,18121,2
518872,470,6
519037,814,6
519040,674,1
521057,7330,5
523466,18795,5
523623,73,4
524557,214,7
524650,76,5
524759,13611,1
527013,139,3
528043,397,6
528134,49,5
528184,181,3
529367,4356,3
529568,1019,3
529609,967,6
529749,823,4
530194,76,5
530869,32258,1
530963,32161,4
531391,240,6
531608,52,6
531633,15781,1
531987,9848,1
531998,31143,5
533184,29940,1
533413,487,1
534689,38,1
534755,35,4
534847,38,3
535273,16206,3
535801,536,7
536645,54,5
537518,1253,3
537795,1261,1
537804,1261,3
537810,1265,4
537836,44,3
537841,49,1
537931,608,1
538573,24546,6
538820,24308,4
540023,21845,3
540029,21244,7
540033,15659,3
540039,9920,7
540043,6526,3
540047,6511,1
540051,6493,3
540055,6473,1
540058,6450,7
540063,6465,6
545181,77,2
545306,116,5
545539,54,1
547032,46,4
547179,58,3
547352,151,3
547369,153,5
547435,161,4
548838,442,3
548848,426,1
548878,422,4
550091,6450,3
554456,1,5
555796,6325,2
563484,1,1
565924,34,4
587212,43246,4
587438,3942,4
587453,50182,4
587465,64837,2
587553,62372,2
587589,3807,6
587616,55006,5
587635,44224,6
587663,56489,3
587750,145,3
588235,7294,4
588246,10788,6
588297,54875,4
588306,54666,1
588317,46,3
588324,54076,3
588344,56386,3
589665,5722,1
589760,30575,7
589837,3694,5
590001,15312,5
590211,57245,5
590231,4094,6
590252,4042,4
590286,761,7
590346,148,5
590397,45398,4
590416,30060,6
590439,45338,3
590737,1254,7
590749,1302,7
590927,7540,6
590952,7550,7
590976,20674,7
591252,47882,4
591506,24433,7
591609,36043,4
591733,649,7
591759,2279,1
591886,2189,1
591937,7630,6
591945,539,7
591986,18833,1
592074,47013,2
592081,558,3
592271,3650,2
592505,1850,6
592837,89,3
593038,64,7
593069,1539,5
593087,1502,6
593271,13170,3
594060,87,2
594363,2012,5
594395,2005,5
594413,2004,5
594447,1977,4
594699,798,4
595132,64837,5
595411,1369,1
