start,length,group_id
0,3691,3
465,3362,3
1906,626,1
3571,647,1
4009,3039,4
4031,6253,4
4346,2412,3
4393,986,3
4684,25,1
5705,1105,3
5872,23087,4
5999,1609,4
6063,245,1
6765,8908,4
6796,300,3
6955,48,1
7071,23,1
7219,23,1
7307,441,4
7334,24,1
7444,122,3
7452,54,3
7464,13,1
7519,1936,4
7623,3945,4
7633,33,1
7721,35,1
7804,33,1
7935,26,1
8017,564,3
8113,46,1
8130,185,1
8308,97,1
8489,26,1
8619,25,1
8631,17,1
8653,17,1
8675,2815,4
8690,2797,4
8725,40,1
8856,39,1
8980,45,1
9104,35,1
9406,254,3
9488,49,1
9721,79,1
9811,28,1
9830,28,1
10227,6450,4
10257,27,1
10368,27,1
10402,138,3
10408,4514,4
10438,65,1
10448,302,1
10536,1002,4
10745,49,1
10800,52,1
10857,24,1
11008,8871,4
11290,34,1
11317,1453,4
11505,12,1
11527,13,1
11545,626,3
11559,612,1
11991,8264,4
12155,59,1
12228,500,3
12391,8641,4
12606,30,1
12624,19,1
12634,89,3
12651,15,1
12675,1945,4
12692,2192,4
12729,163,1
12793,130,1
12892,188,1
13080,226,1
13175,887,4
13297,5143,4
13306,186,3
13322,5092,4
13331,647,3
13345,58,1
13659,1358,4
13705,273,3
13777,154,1
14044,15,1
14258,674,3
14358,699,4
14369,65,1
14405,7952,4
14500,456,3
14717,1061,4
14751,18,1
14763,694,4
14774,15,1
14797,115,1
15013,24,1
15046,38,1
15183,327,3
15203,302,3
15210,8047,4
15218,1856,4
15289,98,1
15457,1054,4
15533,35,1
15575,21,1
15604,250,1
15697,205,1
15705,7906,4
16123,49,1
16163,18,1
16178,2529,4
16207,3892,4
16511,28,1
16539,230,1
17064,5106,4
17099,73,1
17365,414,1
17432,2628,4
17616,364,1
18298,1235,4
18597,22,1
18664,113,1
18864,34,1
18918,25,1
19128,9104,4
19186,3938,4
19354,49,1
19395,2211,4
19533,41,1
19746,25,1
19813,129,1
19875,12513,4
20141,35,1
20380,26,1
20500,46,1
20774,31,1
20907,59,1
21561,968,3
21590,68,1
21725,478,1
22007,713,3
22262,31,1
22374,1370,4
22467,77,1
22478,67,1
22623,49,1
22799,1427,4
22848,10,1
22868,25,1
22949,1023,4
23020,49,1
23181,8460,4
23290,72,1
23603,131,1
23793,61,3
23804,114,3
23811,24,1
23919,297,3
24009,28,1
24021,123,1
24127,7500,4
24261,25,1
24266,1015,4
24281,45,1
24447,3617,4
24557,659,4
24587,27,1
24598,76,1
24999,95,3
25040,30,1
25055,114,1
25122,347,3
25222,59,1
25279,847,4
25425,35,1
25428,250,3
25576,174,3
25581,28,1
25644,119,1
25747,77,1
25890,58,1
26266,111,1
26644,35,1
26659,65,1
26844,27,1
26878,413,3
27093,26,1
27230,61,1
27291,779,4
27305,40,1
27383,25,1
27556,38,1
27621,442,3
27641,23,1
27647,25,1
27728,2649,4
28008,54,1
28182,4125,4
28227,5186,4
28504,302,1
28951,83,1
29052,462,3
29066,50,1
29084,5101,4
29321,38,1
29509,10416,4
29574,37,1
29819,43,1
29893,663,3
30046,337,3
30054,513,3
30157,5253,4
30214,64,1
30403,57,1
30416,1788,4
30459,94,1
30504,1509,4
30587,190,1
30651,621,3
30827,33,1
30880,30,1
30939,1047,1
31404,6472,4
32108,132,1
32227,7876,4
32274,33,1
32299,2020,3
32343,1649,3
32503,5207,4
32694,5002,4
32740,5768,4
32926,178,1
33148,9095,4
33164,869,3
33268,40,1
33309,4573,4
33427,1197,1
33811,8507,4
34047,578,1
34321,1274,3
34405,5023,4
34700,525,1
35131,2139,3
35479,61,1
35741,336,1
35968,8323,4
36364,279,1
37877,624,3
37943,77,1
38477,106,1
38487,102,1
38717,68,1
38960,992,3
39176,73,1
39647,2354,3
40112,69,1
40287,67,1
40393,9678,4
42251,4008,4
43341,1704,3
43946,20,1
44047,128,1
44303,14199,4
45065,296,1
45370,79,1
45488,19,1
45518,1696,3
45702,133,1
47488,3908,4
47887,4039,4
48382,145,1
48913,151,1
49517,169,1
50349,31,1
50785,74,1
51022,72,1
51610,1137,3
51791,66,1
51977,91,1
52487,3393,3
53631,4206,3
54586,950,1
58433,14160,1
87154,521,3
87275,67,1
87375,1456,3
87661,28,1
88149,53,1
88189,242,1
89147,2239,4
89581,181,1
89606,4185,4
89617,626,1
89623,5722,4
89643,5108,4
89661,4946,4
89712,4492,4
90723,1151,4
90821,47,3
90834,32,1
90946,39,1
91037,33,1
91173,38,1
91298,43,1
91390,148,1
91546,20,1
91909,365,3
91920,22,1
92031,432,1
92324,2115,4
92391,440,1
92597,4324,4
92652,18729,4
92957,27,1
92992,6387,4
93033,495,3
93423,21,1
93540,22,1
93551,184,1
93573,333,3
93692,64,3
93729,25,1
93751,387,3
93761,960,3
93785,331,1
93830,1171,3
93899,1834,4
94150,623,3
94173,6096,4
94204,27,1
94511,363,3
94552,33,1
94606,7523,4
94738,891,1
94771,3870,4
94780,3860,4
94790,4879,4
95228,8444,4
95320,3330,4
95347,365,3
95370,374,3
95504,5971,4
95643,26,1
95741,1462,3
95746,6558,4
96049,553,1
96551,15130,4
96711,4446,4
96853,1175,3
96991,48,1
97049,2014,4
97857,19,1
97979,57,1
98042,142,1
98691,110,1
98715,244,3
98756,175,1
98788,4492,4
99002,74,1
99440,58,1
99489,390,4
99592,33,1
99714,144,3
99723,43,1
99774,86,1
99857,21,1
99941,28,1
100062,41,1
100181,618,3
100203,5067,4
100339,992,4
100364,175,1
