start,length,group_id
0,3691,1
465,3362,2
1906,626,1
3571,647,3
4009,3039,1
4031,6253,2
4346,2412,4
4393,986,1
4684,25,5
5705,1105,3
5872,23087,2
5999,1609,2
6063,245,2
6765,8908,1
6796,300,5
6955,48,1
7071,23,5
7219,23,4
7307,441,1
7334,24,1
7444,122,2
7452,54,3
7464,13,1
7519,1936,2
7623,3945,1
7633,33,3
7721,35,4
7804,33,3
7935,26,1
8017,564,3
8113,46,2
8130,185,3
8308,97,2
8489,26,4
8619,25,5
8631,17,3
8653,17,3
8675,2815,3
8690,2797,2
8725,40,1
8856,39,5
8980,45,2
9104,35,1
9406,254,2
9488,49,1
9721,79,1
9811,28,5
9830,28,1
10227,6450,4
10257,27,2
10368,27,1
10402,138,1
10408,4514,2
10438,65,1
10448,302,3
10536,1002,2
10745,49,5
10800,52,3
10857,24,3
11008,8871,5
11290,34,4
11317,1453,2
11505,12,2
11527,13,2
11545,626,3
11559,612,4
11991,8264,3
12155,59,3
12228,500,1
12391,8641,1
12606,30,1
12624,19,2
12634,89,2
12651,15,2
12675,1945,4
12692,2192,1
12729,163,3
12793,130,2
12892,188,1
13080,226,5
13175,887,1
13297,5143,2
13306,186,2
13322,5092,2
13331,647,5
13345,58,2
13659,1358,4
13705,273,1
13777,154,2
14044,15,1
14258,674,2
14358,699,1
14369,65,3
14405,7952,1
14500,456,2
14717,1061,5
14751,18,1
14763,694,2
14774,15,2
14797,115,3
15013,24,2
15046,38,2
15183,327,5
15203,302,1
15210,8047,3
15218,1856,2
15289,98,3
15457,1054,2
15533,35,1
15575,21,3
15604,250,1
15697,205,3
15705,7906,5
16123,49,3
16163,18,1
16178,2529,4
16207,3892,1
16511,28,1
16539,230,2
17064,5106,2
17099,73,2
17365,414,2
17432,2628,1
17616,364,3
18298,1235,1
18597,22,2
18664,113,1
18864,34,1
18918,25,4
19128,9104,1
19186,3938,1
19354,49,1
19395,2211,3
19533,41,1
19746,25,1
19813,129,1
19875,12513,4
20141,35,3
20380,26,1
20500,46,5
20774,31,1
20907,59,2
21561,968,2
21590,68,3
21725,478,1
22007,713,3
22262,31,1
22374,1370,3
22467,77,4
22478,67,2
22623,49,1
22799,1427,2
22848,10,2
22868,25,3
22949,1023,3
23020,49,1
23181,8460,2
23290,72,2
23603,131,4
23793,61,2
23804,114,2
23811,24,3
23919,297,1
24009,28,4
24021,123,2
24127,7500,2
24261,25,1
24266,1015,2
24281,45,1
24447,3617,1
24557,659,4
24587,27,3
24598,76,2
24999,95,1
25040,30,5
25055,114,1
25122,347,2
25222,59,2
25279,847,4
25425,35,2
25428,250,2
25576,174,2
25581,28,5
25644,119,3
25747,77,1
25890,58,3
26266,111,5
26644,35,2
26659,65,1
26844,27,1
26878,413,5
27093,26,1
27230,61,3
27291,779,1
27305,40,1
27383,25,1
27556,38,3
27621,442,1
27641,23,2
27647,25,3
27728,2649,2
28008,54,1
28182,4125,1
28227,5186,3
28504,302,1
28951,83,1
29052,462,2
29066,50,3
29084,5101,1
29321,38,1
29509,10416,1
29574,37,2
29819,43,3
29893,663,1
30046,337,3
30054,513,2
30157,5253,2
30214,64,1
30403,57,1
30416,1788,2
30459,94,1
30504,1509,2
30587,190,1
30651,621,1
30827,33,1
30880,30,2
30939,1047,1
31404,6472,2
32108,132,2
32227,7876,1
32274,33,1
32299,2020,4
32343,1649,2
32503,5207,1
32694,5002,2
32740,5768,3
32926,178,2
33148,9095,4
33164,869,3
33268,40,2
33309,4573,1
33427,1197,1
33811,8507,2
34047,578,1
34321,1274,2
34405,5023,2
34700,525,3
35131,2139,3
35479,61,3
35741,336,1
35968,8323,2
36364,279,2
37877,624,3
37943,77,1
38477,106,1
38487,102,3
38717,68,3
38960,992,1
39176,73,3
39647,2354,3
40112,69,2
40287,67,2
40393,9678,1
42251,4008,1
43341,1704,3
43946,20,4
44047,128,1
44303,14199,1
45065,296,1
45370,79,4
45488,19,1
45518,1696,4
45702,133,3
47488,3908,3
47887,4039,5
48382,145,2
48913,151,1
49517,169,1
50349,31,1
50785,74,2
51022,72,1
51610,1137,3
51791,66,1
51977,91,1
52487,3393,1
53631,4206,1
54586,950,3
58433,14160,4
87154,521,1
87275,67,2
87375,1456,1
87661,28,1
88149,53,1
88189,242,2
89147,2239,3
89581,181,3
89606,4185,1
89617,626,1
89623,5722,1
89643,5108,2
89661,4946,1
89712,4492,3
90723,1151,2
90821,47,2
90834,32,4
90946,39,4
91037,33,1
91173,38,3
