start,length,group_id
0,3691,6
465,3362,6
1906,626,5
3571,647,5
4009,3039,6
4031,6253,6
4346,2412,6
4393,986,5
4684,25,3
5705,1105,5
5872,23087,7
5999,1609,5
6063,245,4
6765,8908,6
6796,300,4
6955,48,3
7071,23,3
7219,23,3
7307,441,4
7334,24,3
7444,122,4
7452,54,3
7464,13,2
7519,1936,5
7623,3945,6
7633,33,3
7721,35,3
7804,33,3
7935,26,3
8017,564,5
8113,46,3
8130,185,4
8308,97,3
8489,26,3
8619,25,3
8631,17,2
8653,17,2
8675,2815,6
8690,2797,6
8725,40,3
8856,39,3
8980,45,3
9104,35,3
9406,254,4
9488,49,3
9721,79,3
9811,28,3
9830,28,3
10227,6450,6
10257,27,3
10368,27,3
10402,138,4
10408,4514,6
10438,65,3
10448,302,4
10536,1002,5
10745,49,3
10800,52,3
10857,24,3
11008,8871,6
11290,34,3
11317,1453,5
11505,12,2
11527,13,2
11545,626,5
11559,612,5
11991,8264,6
12155,59,3
12228,500,5
12391,8641,6
12606,30,3
12624,19,2
12634,89,3
12651,15,2
12675,1945,5
12692,2192,5
12729,163,4
12793,130,4
12892,188,4
13080,226,4
13175,887,5
13297,5143,6
13306,186,4
13322,5092,6
13331,647,5
13345,58,3
13659,1358,5
13705,273,4
13777,154,4
14044,15,2
14258,674,5
14358,699,5
14369,65,3
14405,7952,6
14500,456,4
14717,1061,5
14751,18,2
14763,694,5
14774,15,2
14797,115,4
15013,24,3
15046,38,3
15183,327,4
15203,302,4
15210,8047,6
15218,1856,5
15289,98,3
15457,1054,5
15533,35,3
15575,21,2
15604,250,4
15697,205,4
15705,7906,6
16123,49,3
16163,18,2
16178,2529,6
16207,3892,6
16511,28,3
16539,230,4
17064,5106,6
17099,73,3
17365,414,4
17432,2628,6
17616,364,4
18298,1235,5
18597,22,2
18664,113,4
18864,34,3
18918,25,3
19128,9104,6
19186,3938,6
19354,49,3
19395,2211,5
19533,41,3
19746,25,3
19813,129,4
19875,12513,7
20141,35,3
20380,26,3
20500,46,3
20774,31,3
20907,59,3
21561,968,5
21590,68,3
21725,478,4
22007,713,5
22262,31,3
22374,1370,5
22467,77,3
22478,67,3
22623,49,3
22799,1427,5
22848,10,2
22868,25,3
22949,1023,5
23020,49,3
23181,8460,6
23290,72,3
23603,131,4
23793,61,3
23804,114,4
23811,24,3
23919,297,4
24009,28,3
24021,123,4
24127,7500,6
24261,25,3
24266,1015,5
24281,45,3
24447,3617,6
24557,659,5
24587,27,3
24598,76,3
24999,95,3
25040,30,3
25055,114,4
25122,347,4
25222,59,3
25279,847,5
25425,35,3
25428,250,4
25576,174,4
25581,28,3
25644,119,4
25747,77,3
25890,58,3
26266,111,4
26644,35,3
26659,65,3
26844,27,3
26878,413,4
27093,26,3
27230,61,3
27291,779,5
27305,40,3
27383,25,3
27556,38,3
27621,442,4
27641,23,3
27647,25,3
27728,2649,6
28008,54,3
28182,4125,6
28227,5186,6
28504,302,4
28951,83,3
29052,462,4
29066,50,3
29084,5101,6
29321,38,3
29509,10416,6
29574,37,3
29819,43,3
29893,663,5
30046,337,4
30054,513,5
30157,5253,6
30214,64,3
30403,57,3
30416,1788,5
30459,94,3
30504,1509,5
30587,190,4
30651,621,5
30827,33,3
30880,30,3
30939,1047,5
31404,6472,6
32108,132,4
32227,7876,6
32274,33,3
32299,2020,5
32343,1649,5
32503,5207,6
32694,5002,6
32740,5768,6
32926,178,4
33148,9095,6
33164,869,5
33268,40,3
33309,4573,6
33427,1197,5
33811,8507,6
34047,578,5
34321,1274,5
34405,5023,6
34700,525,5
35131,2139,5
35479,61,3
35741,336,4
35968,8323,6
36364,279,4
37877,624,5
37943,77,3
38477,106,4
38487,102,3
38717,68,3
38960,992,5
39176,73,3
39647,2354,6
40112,69,3
40287,67,3
40393,9678,6
42251,4008,6
43341,1704,5
43946,20,2
44047,128,4
44303,14199,7
45065,296,4
45370,79,3
45488,19,2
45518,1696,5
45702,133,4
47488,3908,6
47887,4039,6
48382,145,4
48913,151,4
49517,169,4
50349,31,3
50785,74,3
51022,72,3
51610,1137,5
51791,66,3
51977,91,3
52487,3393,6
53631,4206,6
54586,950,5
58433,14160,7
87154,521,5
87275,67,3
87375,1456,5
87661,28,3
88149,53,3
88189,242,4
89147,2239,5
89581,181,4
89606,4185,6
89617,626,5
89623,5722,6
89643,5108,6
89661,4946,6
89712,4492,6
90723,1151,5
90821,47,3
90834,32,3
90946,39,3
91037,33,3
91173,38,3
91298,43,3
91390,148,4
91546,20,2
91909,365,4
91920,22,2
92031,432,4
92324,2115,5
92391,440,4
92597,4324,6
92652,18729,7
92957,27,3
92992,6387,6
93033,495,5
93423,21,2
93540,22,2
93551,184,4
93573,333,4
93692,64,3
93729,25,3
93751,387,4
93761,960,5
93785,331,4
93830,1171,5
93899,1834,5
94150,623,5
94173,6096,6
94204,27,3
94511,363,4
94552,33,3
94606,7523,6
94738,891,5
94771,3870,6
94780,3860,6
94790,4879,6
95228,8444,6
95320,3330,6
95347,365,4
95370,374,4
95504,5971,6
95643,26,3
95741,1462,5
95746,6558,6
96049,553,5
96551,15130,7
96711,4446,6
96853,1175,5
96991,48,3
97049,2014,5
97857,19,2
97979,57,3
98042,142,4
98691,110,4
98715,244,4
98756,175,4
98788,4492,6
99002,74,3
99440,58,3
99489,390,4
99592,33,3
99714,144,4
99723,43,3
99774,86,3
99857,21,2
99941,28,3
100062,41,3
100181,618,5
100203,5067,6
100339,992,5
100364,175,4
100376,296,4
100560,181,4
100585,162,4
100798,155,4
100963,86,3
101071,7166,6
101085,562,5
101098,219,4
101461,267,4
101480,4621,6
101599,137,4
101644,185,4
102032,1893,5
102130,218,4
102171,179,4
102474,3644,6
102750,23,3
102764,5581,6
102847,228,4
102994,91,3
103369,56,3
103390,4979,6
103771,4773,6
103841,30,3
103965,5963,6
104001,954,5
104017,154,4
104114,51,3
104314,28,3
104338,1152,5
104423,25,3
104521,239,4
104529,231,4
104588,319,4
104753,950,5
105156,31,3
105203,3931,6
105259,984,5
105282,67,3
105363,2077,5
105371,545,5
106377,555,5
106899,54,3
107026,42,3
107164,346,4
107461,52,3
107524,338,4
107621,360,4
108170,34,3
108226,202,4
108272,2693,6
108530,3392,6
108572,55,3
108712,5827,6
108754,475,4
108847,4126,6
108949,1804,5
109068,5674,6
109401,52,3
109644,6464,6
109809,1789,5
109930,762,5
109939,7964,6
110493,4117,6
110951,1750,5
111422,604,5
111666,284,4
111674,1149,5
111734,414,4
111957,3920,6
112011,5897,6
112020,32,3
112025,105,4
112158,914,5
112169,971,5
112736,421,4
112746,936,5
113100,4986,6
113366,86,3
113412,305,4
113608,1440,5
113765,5611,6
113922,187,4
113999,2062,5
114111,115,4
114197,93,3
114387,2273,5
114410,6205,6
114527,1989,5
114656,180,4
114678,2378,6
114810,47,3
115299,2807,6
115318,42,3
115410,146,4
115478,415,4
115612,6816,6
115619,8014,6
115850,72,3
115868,11955,7
116031,376,4
116109,961,5
116314,26,3
116351,3289,6
116362,376,4
116462,49,3
116554,21,2
116909,5909,6
117004,4992,6
117072,3535,6
117234,2607,6
117717,28,3
117896,45,3
117907,7592,6
117985,175,4
118148,4674,6
118202,64,3
118256,2406,6
118291,22,2
118660,35,3
118845,78,3
118943,7818,6
119231,670,5
119293,3955,6
119434,119,4
119546,8408,6
119623,2300,5
119646,354,4
119737,200,4
119813,4881,6
119836,3785,6
119848,34,3
119975,1227,5
120105,5511,6
120603,67,3
120626,894,5
120730,35,3
120801,722,5
120893,86,3
120944,36,3
121130,172,4
121407,77,3
121545,839,5
122081,175,4
122890,1319,5
123222,4583,6
123893,2369,6
124208,327,4
124226,251,4
124293,154,4
125513,5329,6
125606,121,4
125893,1950,5
125919,670,5
126200,179,4
126412,4647,6
126759,1011,5
127818,7519,6
129332,49,3
129633,544,5
130205,129,4
130228,10180,6
130360,1251,5
130856,6331,6
131234,7216,6
132168,5617,6
134215,2188,5
135348,13626,7
137193,4182,6
140421,6368,6
140872,3453,6
144148,407,4
144334,992,5
144600,4148,6
146663,3443,6
148165,2095,5
148759,4181,6
148986,7499,6
150190,3984,6
150526,12707,7
152946,2870,6
155823,69,3
155903,66,3
155975,65,3
156046,65,3
156117,65,3
156188,64,3
156258,65,3
156328,66,3
156399,69,3
156473,71,3
156489,11843,7
156551,65,3
156622,67,3
156695,68,3
156769,70,3
157743,81,3
157831,68,3
157904,67,3
157977,66,3
158048,65,3
158119,64,3
158189,67,3
158261,66,3
158333,66,3
158406,65,3
158476,66,3
158548,66,3
158621,66,3
158693,64,3
158762,63,3
158831,64,3
158902,67,3
158974,66,3
159046,70,3
159122,66,3
159194,65,3
159271,78,3
159357,70,3
159434,68,3
160420,87,3
160514,66,3
160587,67,3
160660,72,3
161638,81,3
161725,66,3
161797,65,3
161867,67,3
161939,65,3
162010,65,3
162080,64,3
162149,66,3
162221,68,3
162295,65,3
162366,65,3
162438,64,3
162509,66,3
162580,71,3
162657,68,3
162730,66,3
162801,66,3
162872,68,3
162945,67,3
163017,65,3
163088,66,3
163160,65,3
163231,67,3
163303,68,3
163377,65,3
163448,65,3
163518,66,3
163590,70,3
163666,72,3
163744,65,3
163815,65,3
163886,65,3
163958,66,3
164030,67,3
164103,64,3
164173,66,3
164245,66,3
164317,67,3
164390,67,3
164463,66,3
164535,65,3
164606,65,3
170319,2120,5
170319,3053,6
170319,3295,6
170319,12248,7
170380,2119,5
170380,3052,6
170380,3233,6
170380,12127,7
170498,2063,5
170498,2997,6
170498,3235,6
170498,11948,7
170499,2062,5
170499,2996,6
170499,3174,6
170499,11616,7
170559,2059,5
170559,2993,6
170559,3174,6
170559,11435,7
170619,61,3
170798,6841,6
170859,59,3
171038,2694,6
171038,4274,6
171038,4969,6
171038,11244,7
171100,394,4
171436,181,4
172873,178,4
173552,60,3
173552,61,3
173612,61,3
174126,143,4
174129,80,3
174269,60,3
174451,8431,6
174504,120,4
174744,3960,6
174805,4019,6
174924,4575,6
174924,4869,6
174924,7358,6
174925,3216,6
174925,3277,6
174925,4927,6
174925,5181,6
174925,7237,6
175044,2653,6
175044,6741,6
175045,3962,6
175045,4164,6
175107,2589,6
175107,3838,6
175107,4077,6
175107,7400,6
175133,2079,5
175133,3069,6
175133,6861,6
175193,2563,6
175193,3814,6
175193,4067,6
175193,6863,6
175312,181,4
176720,193,4
176777,136,4
178011,12795,7
178140,1,1
178142,12871,7
178824,121,4
179199,29,3
180969,62,3
183670,12766,7
183823,1040,5
183938,98,3
183998,3428,6
184044,12520,7
184348,44,3
184449,18,2
184478,35,3
184502,2205,5
184518,11929,7
184532,52,3
184544,1297,5
184567,11856,7
184659,11785,7
184846,212,4
185305,140,4
185326,24,3
185522,11039,7
185621,10833,6
185840,48,3
185939,10723,6
185946,10425,6
186075,65,3
186113,268,4
186151,15,2
186163,10499,6
186504,59,3
186504,206,4
186563,77,3
186563,148,4
186640,69,3
186648,61,3
186709,54,3
187391,8728,6
187628,8599,6
188289,12918,7
191966,14,2
193392,940,5
194894,7877,6
196472,368,4
196503,3699,6
196606,286,4
196755,11,2
196762,6448,6
196801,2924,6
196842,2205,5
196956,11,2
197110,334,4
197313,4533,6
197346,10,2
197428,656,5
197528,22,2
197548,821,5
197609,12,2
197666,2132,5
197703,4962,6
197996,374,4
198113,9,2
198142,2966,6
198254,8,2
198326,216,4
198336,917,5
198353,1169,5
198469,22099,7
198508,680,5
198591,15,2
198770,16,2
199010,34,3
199040,12,2
199234,269,4
199316,1449,5
