start,length,group_id
0,3691,8
465,3362,8
1906,626,6
3571,647,6
4009,3039,8
4031,6253,9
4346,2412,8
4393,986,7
4684,25,2
5705,1105,7
5872,23087,10
5999,1609,7
6063,245,5
6765,8908,10
6796,300,5
6955,48,2
7071,23,2
7219,23,2
7307,441,6
7334,24,2
7444,122,4
7452,54,3
7464,13,1
7519,1936,7
7623,3945,8
7633,33,2
7721,35,2
7804,33,2
7935,26,2
8017,564,6
8113,46,2
8130,185,4
8308,97,4
8489,26,2
8619,25,2
8631,17,1
8653,17,1
8675,2815,8
8690,2797,8
8725,40,2
8856,39,2
8980,45,2
9104,35,2
9406,254,5
9488,49,2
9721,79,3
9811,28,2
9830,28,2
10227,6450,9
10257,27,2
10368,27,2
10402,138,4
10408,4514,9
10438,65,3
10448,302,5
10536,1002,7
10745,49,2
10800,52,3
10857,24,2
11008,8871,10
11290,34,2
11317,1453,7
11505,12,1
11527,13,1
11545,626,6
11559,612,6
11991,8264,10
12155,59,3
12228,500,6
12391,8641,10
12606,30,2
12624,19,1
12634,89,3
12651,15,1
12675,1945,7
12692,2192,7
12729,163,4
12793,130,4
12892,188,5
13080,226,5
13175,887,6
13297,5143,9
13306,186,4
13322,5092,9
13331,647,6
13345,58,3
13659,1358,7
13705,273,5
13777,154,4
14044,15,1
14258,674,6
14358,699,6
14369,65,3
14405,7952,10
14500,456,6
14717,1061,7
14751,18,1
14763,694,6
14774,15,1
14797,115,4
15013,24,2
15046,38,2
15183,327,5
15203,302,5
15210,8047,10
15218,1856,7
15289,98,4
15457,1054,7
15533,35,2
15575,21,1
15604,250,5
15697,205,5
15705,7906,10
16123,49,2
16163,18,1
16178,2529,8
16207,3892,8
16511,28,2
16539,230,5
17064,5106,9
17099,73,3
17365,414,5
17432,2628,8
17616,364,5
18298,1235,7
18597,22,1
18664,113,4
18864,34,2
18918,25,2
19128,9104,10
19186,3938,8
19354,49,2
19395,2211,7
19533,41,2
19746,25,2
19813,129,4
19875,12513,10
20141,35,2
20380,26,2
20500,46,2
20774,31,2
20907,59,3
21561,968,6
21590,68,3
21725,478,6
22007,713,6
22262,31,2
22374,1370,7
22467,77,3
22478,67,3
22623,49,2
22799,1427,7
22848,10,1
22868,25,2
22949,1023,7
23020,49,2
23181,8460,10
23290,72,3
23603,131,4
23793,61,3
23804,114,4
23811,24,2
23919,297,5
24009,28,2
24021,123,4
24127,7500,9
24261,25,2
24266,1015,7
24281,45,2
24447,3617,8
24557,659,6
24587,27,2
24598,76,3
24999,95,4
25040,30,2
25055,114,4
25122,347,5
25222,59,3
25279,847,6
25425,35,2
25428,250,5
25576,174,4
25581,28,2
25644,119,4
25747,77,3
25890,58,3
26266,111,4
26644,35,2
26659,65,3
26844,27,2
26878,413,5
27093,26,2
27230,61,3
27291,779,6
27305,40,2
27383,25,2
27556,38,2
27621,442,6
27641,23,2
27647,25,2
27728,2649,8
28008,54,3
28182,4125,8
28227,5186,9
28504,302,5
28951,83,3
29052,462,6
29066,50,2
29084,5101,9
29321,38,2
29509,10416,10
29574,37,2
29819,43,2
29893,663,6
30046,337,5
30054,513,6
30157,5253,9
30214,64,3
30403,57,3
30416,1788,7
30459,94,4
30504,1509,7
30587,190,5
30651,621,6
30827,33,2
30880,30,2
30939,1047,7
31404,6472,9
32108,132,4
32227,7876,10
32274,33,2
32299,2020,7
32343,1649,7
32503,5207,9
32694,5002,9
32740,5768,9
32926,178,4
33148,9095,10
33164,869,6
33268,40,2
33309,4573,9
33427,1197,7
33811,8507,10
34047,578,6
34321,1274,7
34405,5023,9
34700,525,6
35131,2139,7
35479,61,3
35741,336,5
35968,8323,10
36364,279,5
37877,624,6
37943,77,3
38477,106,4
38487,102,4
38717,68,3
38960,992,7
39176,73,3
39647,2354,7
40112,69,3
40287,67,3
40393,9678,10
42251,4008,8
43341,1704,7
43946,20,1
44047,128,4
44303,14199,10
45065,296,5
45370,79,3
45488,19,1
45518,1696,7
45702,133,4
47488,3908,8
47887,4039,8
48382,145,4
48913,151,4
49517,169,4
50349,31,2
50785,74,3
51022,72,3
51610,1137,7
51791,66,3
51977,91,4
52487,3393,8
53631,4206,8
54586,950,6
58433,14160,10
87154,521,6
87275,67,3
87375,1456,7
87661,28,2
88149,53,3
88189,242,5
89147,2239,7
89581,181,4
89606,4185,8
89617,626,6
89623,5722,9
89643,5108,9
89661,4946,9
89712,4492,9
90723,1151,7
90821,47,2
90834,32,2
90946,39,2
91037,33,2
91173,38,2
91298,43,2
91390,148,4
91546,20,1
91909,365,5
91920,22,1
92031,432,6
92324,2115,7
92391,440,6
92597,4324,8
92652,18729,10
92957,27,2
92992,6387,9
93033,495,6
93423,21,1
93540,22,1
93551,184,4
93573,333,5
93692,64,3
93729,25,2
93751,387,5
93761,960,6
93785,331,5
93830,1171,7
93899,1834,7
94150,623,6
94173,6096,9
94204,27,2
94511,363,5
94552,33,2
94606,7523,9
94738,891,6
94771,3870,8
94780,3860,8
94790,4879,9
95228,8444,10
95320,3330,8
95347,365,5
95370,374,5
95504,5971,9
95643,26,2
95741,1462,7
95746,6558,9
96049,553,6
96551,15130,10
96711,4446,9
96853,1175,7
96991,48,2
97049,2014,7
97857,19,1
97979,57,3
98042,142,4
98691,110,4
98715,244,5
98756,175,4
98788,4492,9
99002,74,3
99440,58,3
99489,390,5
99592,33,2
99714,144,4
99723,43,2
99774,86,3
99857,21,1
99941,28,2
100062,41,2
100181,618,6
100203,5067,9
100339,992,7
100364,175,4
100376,296,5
100560,181,4
100585,162,4
100798,155,4
100963,86,3
101071,7166,9
101085,562,6
101098,219,5
101461,267,5
101480,4621,9
101599,137,4
101644,185,4
102032,1893,7
102130,218,5
102171,179,4
102474,3644,8
102750,23,2
102764,5581,9
102847,228,5
102994,91,4
103369,56,3
103390,4979,9
103771,4773,9
103841,30,2
103965,5963,9
104001,954,6
104017,154,4
104114,51,3
104314,28,2
104338,1152,7
104423,25,2
104521,239,5
104529,231,5
104588,319,5
104753,950,6
105156,31,2
105203,3931,8
105259,984,7
105282,67,3
105363,2077,7
105371,545,6
106377,555,6
106899,54,3
107026,42,2
107164,346,5
107461,52,3
107524,338,5
107621,360,5
108170,34,2
108226,202,5
108272,2693,8
108530,3392,8
108572,55,3
108712,5827,9
108754,475,6
108847,4126,8
108949,1804,7
109068,5674,9
109401,52,3
109644,6464,9
109809,1789,7
109930,762,6
109939,7964,10
110493,4117,8
110951,1750,7
111422,604,6
111666,284,5
111674,1149,7
111734,414,5
111957,3920,8
112011,5897,9
112020,32,2
112025,105,4
112158,914,6
112169,971,6
112736,421,6
112746,936,6
113100,4986,9
113366,86,3
113412,305,5
113608,1440,7
113765,5611,9
113922,187,4
113999,2062,7
114111,115,4
114197,93,4
114387,2273,7
114410,6205,9
114527,1989,7
114656,180,4
114678,2378,7
114810,47,2
115299,2807,8
115318,42,2
115410,146,4
115478,415,6
115612,6816,9
115619,8014,10
115850,72,3
115868,11955,10
116031,376,5
116109,961,6
116314,26,2
116351,3289,8
116362,376,5
116462,49,2
116554,21,1
116909,5909,9
117004,4992,9
117072,3535,8
117234,2607,8
117717,28,2
117896,45,2
117907,7592,9
117985,175,4
118148,4674,9
118202,64,3
118256,2406,8
118291,22,1
118660,35,2
118845,78,3
118943,7818,9
119231,670,6
119293,3955,8
119434,119,4
119546,8408,10
119623,2300,7
119646,354,5
119737,200,5
119813,4881,9
119836,3785,8
119848,34,2
119975,1227,7
120105,5511,9
120603,67,3
120626,894,6
120730,35,2
120801,722,6
120893,86,3
120944,36,2
121130,172,4
121407,77,3
121545,839,6
122081,175,4
122890,1319,7
123222,4583,9
123893,2369,7
124208,327,5
124226,251,5
124293,154,4
125513,5329,9
125606,121,4
125893,1950,7
125919,670,6
126200,179,4
126412,4647,9
126759,1011,7
127818,7519,9
129332,49,2
129633,544,6
130205,129,4
130228,10180,10
130360,1251,7
130856,6331,9
131234,7216,9
132168,5617,9
134215,2188,7
135348,13626,10
137193,4182,8
140421,6368,9
140872,3453,8
144148,407,5
144334,992,7
144600,4148,8
146663,3443,8
148165,2095,7
148759,4181,8
148986,7499,9
150190,3984,8
150526,12707,10
152946,2870,8
155823,69,3
155903,66,3
155975,65,3
156046,65,3
156117,65,3
156188,64,3
156258,65,3
156328,66,3
156399,69,3
156473,71,3
156489,11843,10
156551,65,3
156622,67,3
156695,68,3
156769,70,3
157743,81,3
157831,68,3
157904,67,3
157977,66,3
158048,65,3
158119,64,3
158189,67,3
158261,66,3
158333,66,3
158406,65,3
158476,66,3
158548,66,3
158621,66,3
158693,64,3
158762,63,3
158831,64,3
158902,67,3
158974,66,3
159046,70,3
159122,66,3
159194,65,3
159271,78,3
159357,70,3
159434,68,3
160420,87,3
160514,66,3
160587,67,3
160660,72,3
161638,81,3
161725,66,3
161797,65,3
161867,67,3
161939,65,3
162010,65,3
162080,64,3
162149,66,3
162221,68,3
162295,65,3
162366,65,3
162438,64,3
162509,66,3
162580,71,3
162657,68,3
162730,66,3
162801,66,3
162872,68,3
162945,67,3
163017,65,3
163088,66,3
163160,65,3
163231,67,3
163303,68,3
163377,65,3
163448,65,3
163518,66,3
163590,70,3
163666,72,3
163744,65,3
163815,65,3
163886,65,3
