start,length,group_id
0,3691,7
465,3362,7
1906,626,5
3571,647,5
4009,3039,7
4031,6253,8
4346,2412,7
4393,986,6
4684,25,2
5705,1105,6
5872,23087,9
5999,1609,6
6063,245,4
6765,8908,9
6796,300,5
6955,48,2
7071,23,1
7219,23,1
7307,441,5
7334,24,1
7444,122,4
7452,54,2
7464,13,1
7519,1936,7
7623,3945,8
7633,33,2
7721,35,2
7804,33,2
7935,26,2
8017,564,5
8113,46,2
8130,185,4
8308,97,3
8489,26,2
8619,25,2
8631,17,1
8653,17,1
8675,2815,7
8690,2797,7
8725,40,2
8856,39,2
8980,45,2
9104,35,2
9406,254,4
9488,49,2
9721,79,3
9811,28,2
9830,28,2
10227,6450,8
10257,27,2
10368,27,2
10402,138,4
10408,4514,8
10438,65,3
10448,302,5
10536,1002,6
10745,49,2
10800,52,2
10857,24,1
11008,8871,9
11290,34,2
11317,1453,6
11505,12,1
11527,13,1
11545,626,5
11559,612,5
11991,8264,9
12155,59,3
12228,500,5
12391,8641,9
12606,30,2
12624,19,1
12634,89,3
12651,15,1
12675,1945,7
12692,2192,7
12729,163,4
12793,130,4
12892,188,4
13080,226,4
13175,887,6
13297,5143,8
13306,186,4
13322,5092,8
13331,647,5
13345,58,2
13659,1358,6
13705,273,5
13777,154,4
14044,15,1
14258,674,6
14358,699,6
14369,65,3
14405,7952,9
14500,456,5
14717,1061,6
14751,18,1
14763,694,6
14774,15,1
14797,115,3
15013,24,1
15046,38,2
15183,327,5
15203,302,5
15210,8047,9
15218,1856,7
15289,98,3
15457,1054,6
15533,35,2
15575,21,1
15604,250,4
15697,205,4
15705,7906,9
16123,49,2
16163,18,1
16178,2529,7
16207,3892,7
16511,28,2
16539,230,4
17064,5106,8
17099,73,3
17365,414,5
17432,2628,7
17616,364,5
18298,1235,6
18597,22,1
18664,113,3
18864,34,2
18918,25,2
19128,9104,9
19186,3938,8
19354,49,2
19395,2211,7
19533,41,2
19746,25,2
19813,129,4
19875,12513,9
20141,35,2
20380,26,2
20500,46,2
20774,31,2
20907,59,3
21561,968,6
21590,68,3
21725,478,5
22007,713,6
22262,31,2
22374,1370,6
22467,77,3
22478,67,3
22623,49,2
22799,1427,6
22848,10,1
22868,25,2
22949,1023,6
23020,49,2
23181,8460,9
23290,72,3
23603,131,4
23793,61,3
23804,114,3
23811,24,1
23919,297,5
24009,28,2
24021,123,4
24127,7500,9
24261,25,2
24266,1015,6
24281,45,2
24447,3617,7
24557,659,6
24587,27,2
24598,76,3
24999,95,3
25040,30,2
25055,114,3
25122,347,5
25222,59,3
25279,847,6
25425,35,2
25428,250,4
25576,174,4
25581,28,2
25644,119,4
25747,77,3
25890,58,2
26266,111,3
26644,35,2
26659,65,3
26844,27,2
26878,413,5
27093,26,2
27230,61,3
27291,779,6
27305,40,2
27383,25,2
27556,38,2
27621,442,5
27641,23,1
27647,25,2
27728,2649,7
28008,54,2
28182,4125,8
28227,5186,8
28504,302,5
28951,83,3
29052,462,5
29066,50,2
29084,5101,8
29321,38,2
29509,10416,9
29574,37,2
29819,43,2
29893,663,6
30046,337,5
30054,513,5
30157,5253,8
30214,64,3
30403,57,2
30416,1788,7
30459,94,3
30504,1509,6
30587,190,4
30651,621,5
30827,33,2
30880,30,2
30939,1047,6
31404,6472,8
32108,132,4
32227,7876,9
32274,33,2
32299,2020,7
32343,1649,6
32503,5207,8
32694,5002,8
32740,5768,8
32926,178,4
33148,9095,9
33164,869,6
33268,40,2
33309,4573,8
33427,1197,6
33811,8507,9
34047,578,5
34321,1274,6
34405,5023,8
34700,525,5
35131,2139,7
35479,61,3
35741,336,5
35968,8323,9
36364,279,5
37877,624,5
37943,77,3
38477,106,3
38487,102,3
38717,68,3
38960,992,6
39176,73,3
39647,2354,7
40112,69,3
40287,67,3
40393,9678,9
42251,4008,8
43341,1704,6
43946,20,1
44047,128,4
44303,14199,9
45065,296,5
45370,79,3
45488,19,1
45518,1696,6
45702,133,4
47488,3908,7
47887,4039,8
48382,145,4
48913,151,4
49517,169,4
50349,31,2
50785,74,3
51022,72,3
51610,1137,6
51791,66,3
51977,91,3
