start,length,group_id
0,3691,6
465,3362,2
1906,626,7
3571,647,9
4009,3039,8
4031,6253,10
4346,2412,6
4393,986,5
4684,25,9
5705,1105,7
5872,23087,7
5999,1609,10
6063,245,1
6765,8908,7
6796,300,1
6955,48,2
7071,23,1
7219,23,5
7307,441,8
7334,24,9
7444,122,1
7452,54,6
7464,13,10
7519,1936,7
7623,3945,4
7633,33,4
7721,35,9
7804,33,9
7935,26,6
8017,564,8
8113,46,4
8130,185,1
8308,97,9
8489,26,6
8619,25,6
8631,17,10
8653,17,6
8675,2815,9
8690,2797,10
8725,40,4
8856,39,4
8980,45,1
9104,35,3
9406,254,6
9488,49,2
9721,79,6
9811,28,10
9830,28,7
10227,6450,9
10257,27,9
10368,27,5
10402,138,2
10408,4514,4
10438,65,6
10448,302,4
10536,1002,8
10745,49,2
10800,52,7
10857,24,10
11008,8871,6
11290,34,5
11317,1453,4
11505,12,9
11527,13,5
11545,626,6
11559,612,9
11991,8264,10
12155,59,1
12228,500,8
12391,8641,5
12606,30,10
12624,19,7
12634,89,5
12651,15,9
12675,1945,4
12692,2192,10
12729,163,2
12793,130,4
12892,188,7
13080,226,8
13175,887,5
13297,5143,10
13306,186,9
13322,5092,3
13331,647,8
13345,58,1
13659,1358,3
13705,273,9
13777,154,2
14044,15,2
14258,674,5
14358,699,9
14369,65,10
14405,7952,9
14500,456,8
14717,1061,7
14751,18,6
14763,694,1
14774,15,10
14797,115,5
15013,24,10
15046,38,9
15183,327,8
15203,302,6
15210,8047,1
15218,1856,10
15289,98,4
15457,1054,4
15533,35,6
15575,21,7
15604,250,3
15697,205,3
15705,7906,8
16123,49,4
16163,18,3
16178,2529,2
16207,3892,3
16511,28,10
16539,230,6
17064,5106,9
17099,73,7
17365,414,2
17432,2628,5
17616,364,8
18298,1235,1
18597,22,2
18664,113,7
18864,34,2
18918,25,6
19128,9104,1
19186,3938,5
19354,49,1
19395,2211,3
19533,41,3
19746,25,9
19813,129,8
19875,12513,4
20141,35,8
20380,26,9
20500,46,8
20774,31,10
20907,59,10
21561,968,1
21590,68,2
21725,478,3
22007,713,3
22262,31,9
22374,1370,6
22467,77,1
22478,67,10
22623,49,4
22799,1427,1
22848,10,7
22868,25,2
22949,1023,1
23020,49,2
23181,8460,5
23290,72,1
23603,131,9
23793,61,5
23804,114,4
23811,24,10
23919,297,9
24009,28,3
24021,123,9
24127,7500,10
24261,25,5
24266,1015,10
24281,45,10
24447,3617,2
24557,659,10
24587,27,8
24598,76,6
24999,95,9
25040,30,1
25055,114,2
25122,347,7
25222,59,7
25279,847,6
25425,35,5
25428,250,10
25576,174,8
25581,28,10
25644,119,3
25747,77,2
25890,58,9
26266,111,2
26644,35,8
26659,65,8
26844,27,1
26878,413,7
27093,26,10
27230,61,9
27291,779,2
27305,40,5
27383,25,8
27556,38,9
27621,442,2
27641,23,4
27647,25,6
27728,2649,6
28008,54,3
28182,4125,8
28227,5186,1
28504,302,10
28951,83,2
29052,462,8
29066,50,8
29084,5101,5
29321,38,9
29509,10416,1
29574,37,9
29819,43,4
29893,663,5
30046,337,1
30054,513,5
30157,5253,9
30214,64,8
30403,57,7
30416,1788,2
30459,94,2
30504,1509,9
30587,190,10
30651,621,10
30827,33,8
30880,30,9
30939,1047,6
31404,6472,10
32108,132,5
32227,7876,7
32274,33,4
32299,2020,2
32343,1649,2
32503,5207,9
32694,5002,5
32740,5768,7
32926,178,6
33148,9095,9
33164,869,6
33268,40,2
33309,4573,2
33427,1197,10
33811,8507,7
34047,578,6
34321,1274,1
34405,5023,6
34700,525,10
35131,2139,1
35479,61,7
35741,336,5
35968,8323,5
36364,279,4
37877,624,5
37943,77,4
38477,106,8
38487,102,5
38717,68,8
38960,992,8
39176,73,6
39647,2354,1
40112,69,3
40287,67,10
40393,9678,8
42251,4008,1
43341,1704,1
43946,20,7
44047,128,8
44303,14199,9
45065,296,8
45370,79,10
45488,19,5
45518,1696,5
45702,133,2
47488,3908,5
47887,4039,2
48382,145,3
48913,151,7
49517,169,6
50349,31,8
50785,74,7
51022,72,4
51610,1137,9
51791,66,10
51977,91,9
52487,3393,5
53631,4206,6
54586,950,9
58433,14160,1
87154,521,10
87275,67,7
87375,1456,10
87661,28,10
88149,53,10
88189,242,10
89147,2239,8
89581,181,10
89606,4185,9
89617,626,3
89623,5722,7
89643,5108,1
89661,4946,3
89712,4492,10
90723,1151,3
90821,47,10
90834,32,2
90946,39,8
91037,33,7
91173,38,1
91298,43,4
91390,148,8
91546,20,3
91909,365,10
91920,22,7
92031,432,1
92324,2115,10
92391,440,3
92597,4324,2
92652,18729,9
92957,27,7
92992,6387,1
93033,495,7
93423,21,8
93540,22,8
93551,184,6
93573,333,2
93692,64,9
93729,25,7
93751,387,2
93761,960,2
93785,331,7
93830,1171,7
93899,1834,9
94150,623,2
94173,6096,10
94204,27,3
94511,363,8
94552,33,8
94606,7523,8
94738,891,10
94771,3870,2
94780,3860,7
94790,4879,9
95228,8444,9
95320,3330,6
95347,365,7
95370,374,4
95504,5971,6
95643,26,7
95741,1462,2
95746,6558,3
96049,553,8
96551,15130,6
96711,4446,2
96853,1175,5
96991,48,8
97049,2014,2
97857,19,6
97979,57,1
98042,142,7
98691,110,10
98715,244,2
98756,175,10
98788,4492,4
99002,74,9
99440,58,4
99489,390,9
99592,33,5
99714,144,5
99723,43,9
99774,86,10
99857,21,2
99941,28,9
100062,41,1
100181,618,5
100203,5067,3
100339,992,8
100364,175,4
100376,296,7
100560,181,10
100585,162,8
100798,155,1
100963,86,10
101071,7166,7
101085,562,10
101098,219,4
101461,267,9
101480,4621,6
101599,137,2
101644,185,6
102032,1893,2
102130,218,3
102171,179,10
102474,3644,2
102750,23,4
102764,5581,3
102847,228,2
102994,91,3
103369,56,9
103390,4979,3
103771,4773,3
103841,30,2
103965,5963,2
104001,954,3
104017,154,10
104114,51,7
104314,28,6
104338,1152,2
104423,25,7
104521,239,5
104529,231,9
104588,319,4
104753,950,6
105156,31,2
105203,3931,6
105259,984,2
105282,67,1
105363,2077,4
105371,545,9
106377,555,3
106899,54,6
107026,42,2
107164,346,6
107461,52,7
107524,338,9
107621,360,9
108170,34,10
108226,202,6
108272,2693,9
108530,3392,9
108572,55,7
108712,5827,8
108754,475,7
108847,4126,7
108949,1804,8
109068,5674,1
109401,52,4
109644,6464,6
109809,1789,1
109930,762,10
109939,7964,7
110493,4117,2
110951,1750,8
111422,604,10
111666,284,2
111674,1149,2
111734,414,6
111957,3920,7
112011,5897,1
112020,32,6
112025,105,3
112158,914,7
112169,971,8
112736,421,9
112746,936,8
113100,4986,9
113366,86,2
113412,305,4
113608,1440,4
113765,5611,1
113922,187,9
113999,2062,8
114111,115,6
114197,93,3
114387,2273,3
114410,6205,5
114527,1989,2
114656,180,1
114678,2378,10
114810,47,5
115299,2807,1
115318,42,10
115410,146,1
115478,415,5
115612,6816,6
115619,8014,4
115850,72,9
115868,11955,4
116031,376,6
116109,961,6
116314,26,3
116351,3289,4
116362,376,8
116462,49,10
116554,21,1
116909,5909,5
117004,4992,10
117072,3535,5
117234,2607,7
117717,28,2
117896,45,7
117907,7592,7
117985,175,6
118148,4674,8
118202,64,5
118256,2406,1
118291,22,10
118660,35,8
118845,78,4
118943,7818,5
119231,670,7
119293,3955,1
119434,119,1
119546,8408,7
119623,2300,4
119646,354,7
119737,200,6
119813,4881,9
119836,3785,2
119848,34,6
119975,1227,10
120105,5511,6
120603,67,8
120626,894,2
120730,35,2
120801,722,8
120893,86,5
120944,36,2
121130,172,3
121407,77,4
121545,839,4
122081,175,7
122890,1319,8
123222,4583,4
123893,2369,5
124208,327,1
124226,251,2
124293,154,10
125513,5329,10
125606,121,1
125893,1950,5
125919,670,9
126200,179,4
126412,4647,9
126759,1011,6
127818,7519,8
129332,49,4
129633,544,6
130205,129,7
130228,10180,1
130360,1251,10
130856,6331,7
131234,7216,6
132168,5617,9
134215,2188,6
135348,13626,1
137193,4182,2
140421,6368,1
140872,3453,5
144148,407,1
144334,992,10
144600,4148,4
146663,3443,9
148165,2095,10
148759,4181,1
148986,7499,1
150190,3984,9
150526,12707,10
152946,2870,1
155823,69,7
155903,66,8
155975,65,4
156046,65,2
156117,65,5
156188,64,7
156258,65,9
156328,66,6
156399,69,1
156473,71,2
156489,11843,5
156551,65,10
156622,67,5
156695,68,1
156769,70,10
157743,81,8
157831,68,8
157904,67,7
157977,66,6
158048,65,2
158119,64,5
158189,67,7
158261,66,6
158333,66,2
158406,65,7
158476,66,7
158548,66,3
158621,66,5
158693,64,1
158762,63,1
158831,64,10
158902,67,10
158974,66,4
159046,70,3
159122,66,9
159194,65,4
159271,78,2
159357,70,1
159434,68,7
160420,87,7
160514,66,7
160587,67,7
160660,72,10
161638,81,3
161725,66,3
161797,65,7
161867,67,9
161939,65,8
162010,65,5
162080,64,3
162149,66,2
162221,68,1
162295,65,10
162366,65,4
162438,64,10
162509,66,3
162580,71,2
