start,length,group_id
0,1451,1
1460,3726,3
5198,1067,1
6269,10927,2
17201,2927,3
25574,10,4
26613,716,2
27331,7,2
27968,69,1
27989,9,2
28043,9,1
28255,884,4
29539,75,2
29616,15,3
30304,176,2
30542,160,1
30931,229,4
31316,54,4
31345,237,1
31658,49,1
31823,104,2
31829,57,2
31888,19,3
31929,7,2
32058,181,2
32289,143,2
32435,7,1
32463,59,1
32513,4034,1
32702,14,6
32974,51,4
33114,10,1
33200,52,5
33656,147,2
33806,19,1
33820,60,4
34421,21,2
34471,200,6
34546,35,3
34673,8,1
34856,732,2
35269,7,3
35572,63,5
35593,10,1
35663,727,2
36027,53,3
36149,120,1
36204,133,4
36396,8,3
36451,166,1
36641,785,2
36709,151,1
36716,290,1
36718,5057,2
36965,593,7
37087,123,2
37304,152,1
37436,29,2
37439,71,3
37562,136,6
37701,172,3
37826,69,1
37877,566,7
37905,807,2
38147,70,1
38445,4750,1
38716,7,1
40045,3,3
40336,748,1
40393,78,4
40730,68,1
40770,9,2
41017,64,2
41088,16,1
41252,206,1
41391,74,5
41502,260,7
41598,138,1
41759,24,3
41861,37,8
42024,4,5
42064,4,5
42072,4,1
42432,14,3
42451,23,2
42545,19,6
42602,54,3
42632,500,4
42670,355,4
42912,235,1
43044,4,3
43072,29,1
43137,159,1
43180,1342,6
43212,594,2
43326,5,3
43394,1641,2
43398,134,1
43507,21,2
43685,134,5
43701,23,1
43812,80,1
43912,126,1
43934,5,1
43941,80,4
44117,135,3
44316,89,7
44367,8,3
44445,590,6
44542,493,1
44576,459,1
44804,27,1
46158,16,1
46167,13,8
46210,485,1
46211,935,2
46461,754,1
46546,488,1
46726,651,2
47039,424,2
47245,923,2
47395,2860,5
47475,180,4
47691,155,6
47966,4472,2
48720,8,1
49003,9,1
49208,12,3
49623,13,1
50054,106,1
50369,362,3
50739,1125,1
50905,12,2
51171,522,1
51189,17,2
51238,454,1
51268,4,1
51310,44,1
51332,21,1
51500,3,1
51751,83,2
51818,6,3
51853,175,1
51921,108,1
51932,222,1
52128,11,3
52174,372,1
52615,922,3
52889,6,1
52912,12,3
52949,3,1
52985,219,1
53019,38,3
53073,39,2
53127,142,2
53129,103,1
53246,60,3
53326,11,1
53328,24,2
53374,3,2
53472,71,5
53590,3,3
54127,11,2
54151,2689,4
54595,12,2
54673,161,3
54885,220,2
54889,253,2
55252,1268,1
55313,1207,5
55612,9,2
56204,9,4
56706,287,2
56769,224,1
57078,294,1
57140,232,5
57412,115,3
57863,183,5
58126,2683,5
58762,101,1
59334,12,8
59618,12,2
60189,10,3
60520,7,2
61042,247,1
61049,286,2
61418,243,2
61496,895,1
61686,221,1
62660,2674,2
65100,11,1
72005,9078,1
81088,10925,4
92020,6959,1
102247,4,1
119099,9,3
119642,8,3
124269,8,2
125455,19761,1
145195,15,4
145220,16,1
145531,107,2
154804,96,1
155847,393,9
156282,127,1
157108,176,2
157454,164,2
157733,112,1
157899,130,1
158270,103,5
158407,801,3
158539,136,1
158976,118,1
159123,90,6
159217,9627,2
187722,70,3
187796,641,5
204541,78,1
204621,84,2
204707,91,5
204799,84,1
204885,89,1
204976,82,5
205059,103,4
205165,102,2
205269,102,1
205373,103,4
205499,11,1
209027,196,3
209381,2429,1
233469,134,1
234787,135,3
234924,17,1
235535,247,1
235949,185,2
237093,153,2
237247,14,2
237286,19,3
237802,143,1
237900,14,3
237947,20,2
237950,9,4
239820,141,1
239963,17,3
240036,152,1
240190,19,3
240319,252,3
241575,208,2
241854,235,2
242281,172,6
243491,297,1
244806,9089,1
253899,3037,1
256940,9764,1
266709,9141,5
266712,1465,4
271998,8,1
272013,5,2
272022,5,1
272030,8,4
272285,304,2
274132,8,1
274279,9,2
274462,7,1
274564,6,5
274676,11,5
275093,15,2
275186,9,1
275933,11,3
276247,15,1
276685,10,1
276930,7,1
279644,7,1
280995,270,4
281267,17,3
281405,1248,4
282654,21,3
282758,4654,1
283065,21,1
283113,20,2
283191,56,3
283435,46,2
283540,3,1
283678,23,4
283721,227,2
284742,38,2
284828,21,4
285276,192,3
286695,280,2
287317,11,2
287469,814,1
287715,24,2
288141,908,4
288399,45,2
288452,8666,1
288479,30,4
290368,4,1
290405,2,1
291911,13,2
292914,450,3
293478,251,1
294245,177,2
294976,200,2
295588,20,1
296581,29,2
296629,1102,1
297123,281,3
297211,43,2
297331,24,2
297408,103,1
297588,24,3
297648,24,1
297859,25,1
299481,179,1
299684,24,1
299687,4,1
299745,4354,2
299753,11,1
299780,14,1
299858,18,2
299958,5,3
300099,8,1
300330,116,3
300458,4464,2
300919,110,5
301147,89,4
301261,10,8
301298,10,1
301324,6,5
301384,11,1
301742,40,1
301838,24,2
301877,7,1
301989,24,3
302244,213,1
302686,1599,2
304107,22,1
304161,212,2
305127,29,1
305146,227,6
305375,24,1
305416,110,1
305439,2487,1
306073,21,1
306123,341,2
306807,3,1
306911,65,1
306992,5,1
307072,58,1
307092,7,4
307123,160,1
307273,3,1
307319,10,1
307335,32,2
307372,21,1
307403,194,1
307406,78,1
307432,28,6
307474,37,5
307511,121,2
307572,64,2
307579,173,1
307662,183,3
307750,43,3
307963,181,1
307984,162,2
308071,236,1
308184,27,1
308229,40,1
308464,217,4
308847,248,2
310903,28,2
311601,179,2
311872,275,2
311908,282,2
312238,270,1
312326,347,4
312472,239,4
312494,219,1
312619,453,1
312858,9005,5
313844,31,1
313898,298,3
313938,23,1
313950,43,1
313997,29,1
314072,706,2
314079,22,1
314101,679,2
314152,28,2
314161,8,5
314209,31,2
314255,37,1
314336,25,2
314993,35,2
315069,42,1
315206,617,3
315227,598,1
315975,217,8
316474,237,4
316747,236,1
317827,29,3
318250,225,1
319254,9,8
319284,107,2
319404,1001,3
319586,2926,1
320276,31,3
320363,18,1
320420,12,4
320751,13,1
322153,13,1
322260,32,2
322293,11,2
322310,19,1
322412,4,1
322514,11,1
322556,1527,2
322736,8,3
322745,30,1
322801,16,4
322912,38,1
323478,14,8
323510,20,1
324063,5,2
324084,10,1
324147,16,1
324210,4765,5
324231,28,2
324302,17,3
324474,21,1
324516,26,2
328978,11,1
330048,105,1
330287,23,1
330336,25,2
330393,90,2
330516,39,3
330656,29,8
