start,length,group_id
0,1451,9
1460,3726,10
5198,1067,9
6269,10927,10
17201,2927,10
25574,10,1
26613,716,9
27331,7,1
27968,69,5
27989,9,1
28043,9,1
28255,884,9
29539,75,5
29616,15,1
30304,176,7
30542,160,7
30931,229,8
31316,54,4
31345,237,8
31658,49,4
31823,104,6
31829,57,4
31888,19,2
31929,7,1
32058,181,7
32289,143,7
32435,7,1
32463,59,5
32513,4034,10
32702,14,1
32974,51,4
33114,10,1
33200,52,4
33656,147,7
33806,19,2
33820,60,5
34421,21,2
34471,200,7
34546,35,3
34673,8,1
34856,732,9
35269,7,1
35572,63,5
35593,10,1
35663,727,9
36027,53,4
36149,120,6
36204,133,6
36396,8,1
36451,166,7
36641,785,9
36709,151,7
36716,290,8
36718,5057,10
36965,593,9
37087,123,6
37304,152,7
37436,29,3
37439,71,5
37562,136,7
37701,172,7
37826,69,5
37877,566,9
37905,807,9
38147,70,5
38445,4750,10
38716,7,1
40045,3,1
40336,748,9
40393,78,5
40730,68,5
40770,9,1
41017,64,5
41088,16,2
41252,206,7
41391,74,5
41502,260,8
41598,138,7
41759,24,3
41861,37,4
42024,4,1
42064,4,1
42072,4,1
42432,14,1
42451,23,3
42545,19,2
42602,54,4
42632,500,9
42670,355,8
42912,235,8
43044,4,1
43072,29,3
43137,159,7
43180,1342,9
43212,594,9
43326,5,1
43394,1641,10
43398,134,6
43507,21,2
43685,134,6
43701,23,3
43812,80,5
43912,126,6
43934,5,1
43941,80,5
44117,135,6
44316,89,6
44367,8,1
44445,590,9
44542,493,9
44576,459,9
44804,27,3
46158,16,2
46167,13,1
46210,485,9
46211,935,9
46461,754,9
46546,488,9
46726,651,9
47039,424,9
47245,923,9
47395,2860,10
47475,180,7
47691,155,7
47966,4472,10
48720,8,1
49003,9,1
49208,12,1
49623,13,1
50054,106,6
50369,362,8
50739,1125,9
50905,12,1
51171,522,9
51189,17,2
51238,454,9
51268,4,1
51310,44,4
51332,21,2
51500,3,1
51751,83,5
51818,6,1
51853,175,7
51921,108,6
51932,222,8
52128,11,1
52174,372,8
52615,922,9
52889,6,1
52912,12,1
52949,3,1
52985,219,8
53019,38,4
53073,39,4
53127,142,7
53129,103,6
53246,60,5
53326,11,1
53328,24,3
53374,3,1
53472,71,5
53590,3,1
54127,11,1
54151,2689,10
54595,12,1
54673,161,7
54885,220,8
54889,253,8
55252,1268,9
55313,1207,9
55612,9,1
56204,9,1
56706,287,8
56769,224,8
57078,294,8
57140,232,8
57412,115,6
57863,183,7
58126,2683,10
58762,101,6
59334,12,1
59618,12,1
60189,10,1
60520,7,1
61042,247,8
61049,286,8
61418,243,8
61496,895,9
61686,221,8
62660,2674,10
65100,11,1
72005,9078,10
81088,10925,10
92020,6959,10
102247,4,1
119099,9,1
119642,8,1
124269,8,1
125455,19761,10
145195,15,1
145220,16,2
145531,107,6
154804,96,6
155847,393,8
156282,127,6
157108,176,7
157454,164,7
157733,112,6
157899,130,6
158270,103,6
158407,801,9
158539,136,7
158976,118,6
159123,90,6
159217,9627,10
187722,70,5
187796,641,9
204541,78,5
204621,84,5
204707,91,6
204799,84,5
204885,89,6
204976,82,5
205059,103,6
205165,102,6
205269,102,6
205373,103,6
205499,11,1
209027,196,7
209381,2429,10
233469,134,6
234787,135,6
234924,17,2
235535,247,8
235949,185,7
237093,153,7
237247,14,1
237286,19,2
237802,143,7
237900,14,1
237947,20,2
237950,9,1
239820,141,7
239963,17,2
240036,152,7
240190,19,2
240319,252,8
241575,208,7
241854,235,8
242281,172,7
243491,297,8
244806,9089,10
253899,3037,10
256940,9764,10
266709,9141,10
266712,1465,9
271998,8,1
272013,5,1
272022,5,1
272030,8,1
272285,304,8
274132,8,1
274279,9,1
274462,7,1
274564,6,1
274676,11,1
275093,15,1
275186,9,1
275933,11,1
276247,15,1
276685,10,1
276930,7,1
279644,7,1
280995,270,8
281267,17,2
281405,1248,9
282654,21,2
282758,4654,10
283065,21,2
283113,20,2
283191,56,4
283435,46,4
283540,3,1
283678,23,3
283721,227,8
284742,38,4
284828,21,2
285276,192,7
286695,280,8
287317,11,1
287469,814,9
287715,24,3
288141,908,9
288399,45,4
288452,8666,10
288479,30,3
290368,4,1
290405,2,1
291911,13,1
292914,450,9
293478,251,8
294245,177,7
294976,200,7
295588,20,2
296581,29,3
296629,1102,9
297123,281,8
297211,43,4
297331,24,3
297408,103,6
297588,24,3
297648,24,3
297859,25,3
299481,179,7
299684,24,3
299687,4,1
299745,4354,10
299753,11,1
299780,14,1
299858,18,2
299958,5,1
300099,8,1
300330,116,6
300458,4464,10
300919,110,6
301147,89,6
301261,10,1
301298,10,1
301324,6,1
301384,11,1
301742,40,4
301838,24,3
301877,7,1
301989,24,3
302244,213,7
302686,1599,10
304107,22,2
304161,212,7
305127,29,3
305146,227,8
305375,24,3
305416,110,6
305439,2487,10
306073,21,2
306123,341,8
306807,3,1
306911,65,5
306992,5,1
307072,58,5
307092,7,1
307123,160,7
307273,3,1
307319,10,1
307335,32,3
307372,21,2
307403,194,7
307406,78,5
307432,28,3
307474,37,4
307511,121,6
307572,64,5
307579,173,7
307662,183,7
307750,43,4
307963,181,7
307984,162,7
308071,236,8
308184,27,3
308229,40,4
308464,217,7
308847,248,8
310903,28,3
311601,179,7
311872,275,8
311908,282,8
312238,270,8
312326,347,8
312472,239,8
312494,219,8
312619,453,9
312858,9005,10
313844,31,3
313898,298,8
313938,23,3
313950,43,4
313997,29,3
314072,706,9
314079,22,2
314101,679,9
314152,28,3
314161,8,1
314209,31,3
314255,37,4
314336,25,3
314993,35,3
315069,42,4
315206,617,9
315227,598,9
315975,217,7
316474,237,8
316747,236,8
317827,29,3
318250,225,8
319254,9,1
319284,107,6
319404,1001,9
319586,2926,10
320276,31,3
320363,18,2
320420,12,1
320751,13,1
322153,13,1
322260,32,3
322293,11,1
322310,19,2
322412,4,1
322514,11,1
322556,1527,10
322736,8,1
322745,30,3
322801,16,2
322912,38,4
323478,14,1
323510,20,2
324063,5,1
324084,10,1
324147,16,2
324210,4765,10
324231,28,3
324302,17,2
324474,21,2
324516,26,3
328978,11,1
330048,105,6
330287,23,3
330336,25,3
330393,90,6
330516,39,4
330656,29,3
330729,46,4
331055,222,8
331206,6540,10
331334,438,9
332466,2712,10
332618,8,1
332638,640,9
332660,620,9
333079,9,1
333209,8,1
333355,10,1
333612,553,9
333634,533,9
334688,2373,10
337397,9,1
350243,10926,10
350272,46,4
350360,826,9
350381,808,9
363269,3722,10
369203,10,1
369323,273,8
369600,31,3
369610,15,1
369674,17,2
369729,277,8
370012,51,4
370014,12,1
370038,18,2
370220,817,9
371068,3747,10
373971,31,3
374014,47,4
374233,5,1
374303,4,1
375042,2307,10
375581,1957,10
375967,11,1
376287,2424,10
377294,10,1
377378,2280,10
377509,161,7
378299,12,1
379294,1249,9
379490,40,4
379623,10,1
379689,1210,9
379758,58,5
380143,207,7
380353,6,1
380382,239,8
380564,2008,10
380638,1933,10
380903,14,1
380906,4441,10
381085,22,2
381368,137,7
381472,3600,10
381502,32,3
382149,5,1
382603,27,3
382779,4306,10
382801,4284,10
382827,3,1
382846,18,2
383401,16,2
384425,14,1
384531,52,4
384584,84,5
384783,39,4
385224,1859,10
385295,1790,10
385395,60,5
385413,64,5
385553,1532,10
385567,70,5
385726,5,1
385734,157,7
385897,53,4
385953,92,6
386046,85,5
386922,163,7
387844,179,7
388027,292,8
388069,17,2
388089,231,8
388323,107,6
388375,16,2
388398,32,3
388440,266,8
388502,205,7
388628,6,1
388754,3602,10
388775,93,6
388779,221,8
388851,31,3
388897,8,1
389092,452,9
389149,396,8
389371,4,1
389763,8,1
389765,105,6
389844,497,9
389903,440,9
390074,31,3
390119,59,5
390150,29,3
390285,48,4
390304,52,4
390307,26,3
390392,47,4
390413,26,3
390734,1661,10
390755,1640,10
391147,51,4
391925,28,3
391963,29,3
392017,4428,10
392025,29,3
392403,645,9
392414,3562,10
392425,624,9
392718,28,3
392755,28,3
393065,2958,10
393095,2928,10
394410,35,3
394601,29,3
395474,33,3
395554,46,4
395556,45,4
395559,42,4
395650,29,3
395724,24,3
395725,37,4
395809,45,4
396021,21,2
396094,5249,10
396097,3599,10
396116,5226,10
396329,54,4
396488,42,4
396621,55,4
396759,21,2
396821,21,2
396979,21,2
397229,120,6
397427,167,7
397646,21,2
397715,4417,10
397821,21,2
397942,273,8
398084,29,3
398169,28,3
398274,21,2
398355,21,2
398436,21,2
398574,21,2
398870,287,8
398919,15016,10
399552,24,3
399803,3530,10
399905,34,3
400223,33,3
400534,26,3
401005,26,3
401320,29,3
401390,1352,9
401544,12,1
401924,228,8
402165,220,8
403371,525,9
