start,length,group_id
0,1451,8
1460,3726,8
5198,1067,8
6269,10927,8
17201,2927,8
25574,10,1
26613,716,7
27331,7,1
27968,69,4
27989,9,1
28043,9,1
28255,884,7
29539,75,4
29616,15,1
30304,176,6
30542,160,6
30931,229,6
31316,54,4
31345,237,6
31658,49,3
31823,104,5
31829,57,4
31888,19,2
31929,7,1
32058,181,6
32289,143,5
32435,7,1
32463,59,4
32513,4034,8
32702,14,1
32974,51,3
33114,10,1
33200,52,4
33656,147,5
33806,19,2
33820,60,4
34421,21,2
34471,200,6
34546,35,3
34673,8,1
34856,732,7
35269,7,1
35572,63,4
35593,10,1
35663,727,7
36027,53,4
36149,120,5
36204,133,5
36396,8,1
36451,166,6
36641,785,7
36709,151,5
36716,290,7
36718,5057,8
36965,593,7
37087,123,5
37304,152,5
37436,29,3
37439,71,4
37562,136,5
37701,172,6
37826,69,4
37877,566,7
37905,807,7
38147,70,4
38445,4750,8
38716,7,1
40045,3,1
40336,748,7
40393,78,4
40730,68,4
40770,9,1
41017,64,4
41088,16,1
41252,206,6
41391,74,4
41502,260,6
41598,138,5
41759,24,2
41861,37,3
42024,4,1
42064,4,1
42072,4,1
42432,14,1
42451,23,2
42545,19,2
42602,54,4
42632,500,7
42670,355,7
42912,235,6
43044,4,1
43072,29,3
43137,159,6
43180,1342,8
43212,594,7
43326,5,1
43394,1641,8
43398,134,5
43507,21,2
43685,134,5
43701,23,2
43812,80,4
43912,126,5
43934,5,1
43941,80,4
44117,135,5
44316,89,5
44367,8,1
44445,590,7
44542,493,7
44576,459,7
44804,27,2
46158,16,1
46167,13,1
46210,485,7
46211,935,7
46461,754,7
46546,488,7
46726,651,7
47039,424,7
47245,923,7
47395,2860,8
47475,180,6
47691,155,6
47966,4472,8
48720,8,1
49003,9,1
49208,12,1
49623,13,1
50054,106,5
50369,362,7
50739,1125,8
50905,12,1
51171,522,7
51189,17,1
51238,454,7
51268,4,1
51310,44,3
51332,21,2
51500,3,1
51751,83,4
51818,6,1
51853,175,6
51921,108,5
51932,222,6
52128,11,1
52174,372,7
52615,922,7
52889,6,1
52912,12,1
52949,3,1
52985,219,6
53019,38,3
53073,39,3
53127,142,5
53129,103,5
53246,60,4
53326,11,1
53328,24,2
53374,3,1
53472,71,4
53590,3,1
54127,11,1
54151,2689,8
54595,12,1
54673,161,6
54885,220,6
54889,253,6
55252,1268,8
55313,1207,8
55612,9,1
56204,9,1
56706,287,6
56769,224,6
57078,294,7
57140,232,6
57412,115,5
57863,183,6
58126,2683,8
58762,101,5
59334,12,1
59618,12,1
60189,10,1
60520,7,1
61042,247,6
61049,286,6
61418,243,6
61496,895,7
61686,221,6
62660,2674,8
65100,11,1
72005,9078,8
81088,10925,8
92020,6959,8
102247,4,1
119099,9,1
119642,8,1
124269,8,1
125455,19761,8
145195,15,1
145220,16,1
145531,107,5
154804,96,5
155847,393,7
156282,127,5
157108,176,6
157454,164,6
157733,112,5
157899,130,5
158270,103,5
158407,801,7
158539,136,5
158976,118,5
159123,90,5
159217,9627,8
187722,70,4
187796,641,7
204541,78,4
204621,84,4
204707,91,5
204799,84,4
204885,89,5
204976,82,4
205059,103,5
205165,102,5
205269,102,5
205373,103,5
205499,11,1
209027,196,6
209381,2429,8
233469,134,5
234787,135,5
234924,17,1
235535,247,6
235949,185,6
237093,153,5
237247,14,1
237286,19,2
237802,143,5
237900,14,1
237947,20,2
237950,9,1
239820,141,5
239963,17,1
240036,152,5
240190,19,2
240319,252,6
241575,208,6
241854,235,6
242281,172,6
243491,297,7
244806,9089,8
253899,3037,8
256940,9764,8
266709,9141,8
266712,1465,8
271998,8,1
272013,5,1
272022,5,1
272030,8,1
272285,304,7
274132,8,1
274279,9,1
274462,7,1
274564,6,1
274676,11,1
275093,15,1
275186,9,1
275933,11,1
276247,15,1
276685,10,1
276930,7,1
279644,7,1
280995,270,6
281267,17,1
281405,1248,8
282654,21,2
282758,4654,8
283065,21,2
283113,20,2
283191,56,4
283435,46,3
283540,3,1
283678,23,2
283721,227,6
284742,38,3
284828,21,2
285276,192,6
286695,280,6
287317,11,1
287469,814,7
287715,24,2
288141,908,7
288399,45,3
288452,8666,8
288479,30,3
290368,4,1
290405,2,1
291911,13,1
292914,450,7
293478,251,6
294245,177,6
294976,200,6
295588,20,2
296581,29,3
296629,1102,8
297123,281,6
297211,43,3
297331,24,2
297408,103,5
297588,24,2
297648,24,2
297859,25,2
299481,179,6
299684,24,2
299687,4,1
299745,4354,8
299753,11,1
299780,14,1
299858,18,2
299958,5,1
300099,8,1
300330,116,5
300458,4464,8
300919,110,5
301147,89,5
301261,10,1
301298,10,1
301324,6,1
301384,11,1
301742,40,3
301838,24,2
301877,7,1
301989,24,2
302244,213,6
302686,1599,8
304107,22,2
304161,212,6
305127,29,3
305146,227,6
305375,24,2
305416,110,5
305439,2487,8
306073,21,2
306123,341,7
306807,3,1
306911,65,4
306992,5,1
307072,58,4
307092,7,1
307123,160,6
307273,3,1
307319,10,1
307335,32,3
307372,21,2
307403,194,6
307406,78,4
307432,28,2
307474,37,3
307511,121,5
307572,64,4
307579,173,6
307662,183,6
307750,43,3
307963,181,6
307984,162,6
308071,236,6
308184,27,2
308229,40,3
308464,217,6
308847,248,6
310903,28,2
311601,179,6
311872,275,6
311908,282,6
312238,270,6
312326,347,7
312472,239,6
312494,219,6
312619,453,7
312858,9005,8
313844,31,3
313898,298,7
313938,23,2
313950,43,3
313997,29,3
314072,706,7
314079,22,2
314101,679,7
314152,28,2
314161,8,1
314209,31,3
314255,37,3
314336,25,2
314993,35,3
315069,42,3
315206,617,7
315227,598,7
315975,217,6
316474,237,6
316747,236,6
317827,29,3
318250,225,6
319254,9,1
319284,107,5
319404,1001,7
319586,2926,8
320276,31,3
320363,18,2
320420,12,1
320751,13,1
322153,13,1
322260,32,3
322293,11,1
322310,19,2
322412,4,1
322514,11,1
322556,1527,8
322736,8,1
322745,30,3
322801,16,1
322912,38,3
323478,14,1
323510,20,2
324063,5,1
324084,10,1
324147,16,1
324210,4765,8
324231,28,2
324302,17,1
324474,21,2
324516,26,2
328978,11,1
330048,105,5
330287,23,2
330336,25,2
330393,90,5
330516,39,3
330656,29,3
330729,46,3
331055,222,6
331206,6540,8
331334,438,7
332466,2712,8
332618,8,1
332638,640,7
332660,620,7
333079,9,1
333209,8,1
333355,10,1
333612,553,7
