start,length,group_id
0,1451,2
1460,3726,6
5198,1067,7
6269,10927,2
17201,2927,6
25574,10,1
26613,716,1
27331,7,5
27968,69,3
27989,9,8
28043,9,1
28255,884,4
29539,75,5
29616,15,6
30304,176,7
30542,160,1
30931,229,4
31316,54,3
31345,237,2
31658,49,7
31823,104,7
31829,57,6
31888,19,6
31929,7,5
32058,181,7
32289,143,1
32435,7,7
32463,59,4
32513,4034,2
32702,14,5
32974,51,6
33114,10,3
33200,52,8
33656,147,4
33806,19,6
33820,60,5
34421,21,7
34471,200,8
34546,35,8
34673,8,7
34856,732,5
35269,7,1
35572,63,3
35593,10,1
35663,727,4
36027,53,2
36149,120,5
36204,133,2
36396,8,1
36451,166,6
36641,785,1
36709,151,7
36716,290,6
36718,5057,2
36965,593,8
37087,123,4
37304,152,7
37436,29,5
37439,71,8
37562,136,3
37701,172,5
37826,69,8
37877,566,6
37905,807,2
38147,70,2
38445,4750,7
38716,7,8
40045,3,8
40336,748,2
40393,78,2
40730,68,4
40770,9,4
41017,64,7
41088,16,6
41252,206,1
41391,74,3
41502,260,6
41598,138,6
41759,24,2
41861,37,2
42024,4,3
42064,4,5
42072,4,7
42432,14,2
42451,23,5
42545,19,6
42602,54,3
42632,500,8
42670,355,2
42912,235,8
43044,4,3
43072,29,7
43137,159,1
43180,1342,5
43212,594,2
43326,5,6
43394,1641,6
43398,134,7
43507,21,4
43685,134,1
43701,23,4
43812,80,1
43912,126,6
43934,5,2
43941,80,8
44117,135,8
44316,89,5
44367,8,1
44445,590,7
44542,493,5
44576,459,2
44804,27,8
46158,16,4
46167,13,1
46210,485,8
46211,935,3
46461,754,5
46546,488,7
46726,651,3
47039,424,5
47245,923,4
47395,2860,3
47475,180,4
47691,155,5
47966,4472,6
48720,8,4
49003,9,1
49208,12,2
49623,13,7
50054,106,1
50369,362,2
50739,1125,2
50905,12,2
51171,522,7
51189,17,4
51238,454,5
51268,4,5
51310,44,4
51332,21,8
51500,3,8
51751,83,5
51818,6,6
51853,175,1
51921,108,5
51932,222,4
52128,11,3
52174,372,6
52615,922,4
52889,6,2
52912,12,1
52949,3,2
52985,219,6
53019,38,2
53073,39,7
53127,142,4
53129,103,1
53246,60,4
53326,11,6
53328,24,5
53374,3,2
53472,71,3
53590,3,6
54127,11,2
54151,2689,4
54595,12,2
54673,161,2
54885,220,2
54889,253,8
55252,1268,2
55313,1207,4
55612,9,4
56204,9,6
56706,287,8
56769,224,8
57078,294,6
57140,232,6
57412,115,4
57863,183,5
58126,2683,1
58762,101,3
59334,12,8
59618,12,5
60189,10,8
60520,7,2
61042,247,2
61049,286,8
61418,243,4
61496,895,7
61686,221,3
62660,2674,1
65100,11,1
72005,9078,1
81088,10925,5
92020,6959,3
102247,4,7
119099,9,2
119642,8,3
124269,8,3
125455,19761,6
145195,15,4
145220,16,1
145531,107,6
154804,96,6
155847,393,8
156282,127,1
157108,176,5
157454,164,4
157733,112,7
157899,130,5
158270,103,1
158407,801,4
158539,136,8
158976,118,1
159123,90,8
159217,9627,3
187722,70,5
187796,641,8
204541,78,8
204621,84,2
204707,91,8
204799,84,1
204885,89,4
204976,82,7
205059,103,7
205165,102,2
205269,102,1
205373,103,3
205499,11,3
209027,196,1
209381,2429,1
233469,134,3
234787,135,2
234924,17,5
235535,247,6
235949,185,1
237093,153,4
237247,14,8
237286,19,1
237802,143,8
237900,14,2
237947,20,5
237950,9,3
239820,141,8
239963,17,7
240036,152,1
240190,19,8
240319,252,7
241575,208,8
241854,235,6
242281,172,6
243491,297,5
244806,9089,4
253899,3037,4
256940,9764,4
266709,9141,5
266712,1465,2
271998,8,5
272013,5,7
272022,5,4
272030,8,1
272285,304,1
274132,8,6
274279,9,4
274462,7,1
274564,6,4
274676,11,1
275093,15,6
275186,9,7
275933,11,5
276247,15,3
276685,10,2
276930,7,6
279644,7,7
280995,270,8
281267,17,8
281405,1248,3
282654,21,4
282758,4654,4
283065,21,5
283113,20,4
283191,56,4
283435,46,4
283540,3,3
283678,23,1
283721,227,5
284742,38,5
284828,21,2
285276,192,5
286695,280,3
287317,11,6
287469,814,6
287715,24,4
288141,908,6
288399,45,6
288452,8666,2
288479,30,5
290368,4,7
290405,2,5
291911,13,3
292914,450,7
293478,251,7
294245,177,8
294976,200,4
295588,20,6
296581,29,4
296629,1102,5
297123,281,6
297211,43,8
297331,24,1
297408,103,8
297588,24,5
297648,24,5
297859,25,4
299481,179,7
299684,24,6
299687,4,2
299745,4354,7
299753,11,2
299780,14,6
299858,18,6
299958,5,8
300099,8,2
300330,116,3
300458,4464,7
300919,110,8
301147,89,1
301261,10,2
301298,10,7
301324,6,7
301384,11,6
301742,40,2
301838,24,5
301877,7,6
301989,24,8
302244,213,8
302686,1599,2
304107,22,6
304161,212,5
305127,29,5
305146,227,1
305375,24,6
305416,110,8
305439,2487,4
306073,21,7
306123,341,7
306807,3,4
306911,65,7
306992,5,7
307072,58,6
307092,7,3
307123,160,4
307273,3,5
307319,10,1
307335,32,2
307372,21,3
307403,194,3
307406,78,5
307432,28,7
