start,length,group_id
566129,28826,5
566290,26171,1
567314,8071,2
571164,64832,4
574294,64384,1
576100,19000,2
577685,118561,2
578846,24861,6
581034,10979,1
581434,16674,1
582841,8385,1
583532,16793,4
584165,3634,4
584785,1229,1
584801,2207,5
584826,40,2
584832,311,7
584838,1228,6
584875,47,1
584919,213,7
584928,40,2
585786,51164,1
586496,1970,2
588559,58046,1
588873,14805,3
589428,28,2
589449,275,1
589503,3708,1
589535,3625,2
590405,54,3
590414,45,1
590419,292,1
590427,42,1
590434,155,1
590439,66,1
590470,64,4
590531,34,1
590978,252,1
591120,11298,3
591442,16440,1
591612,293,1
593508,257,1
595008,216,2
595228,32,3
595239,24866,3
595276,34,1
595584,26228,1
595641,213,1
596042,214,2
596561,212,1
597048,276,3
597139,144,2
597147,106,2
597497,314,1
597928,925,2
597955,689,1
598080,203,1
598354,274,4
598608,412,1
598823,691,1
599263,1716,3
600209,16792,1
606843,24257,1
608347,57648,2
613917,95,6
614987,336,1
615362,277,3
617472,257,1
617477,343,3
617482,387,1
617486,523,1
617729,182,1
617737,216,3
617748,263,1
617752,334,1
617914,165,3
617917,180,4
617923,199,3
617928,301,2
618202,353,3
618628,174,1
618949,161,1
619684,19199,1
619766,37,1
619804,24,1
620527,35969,1
621578,35968,7
621582,35969,1
638224,8027,1
639157,18855,3
639316,58,3
639459,60,5
639523,62,5
639759,61,1
639994,41,1
639995,45,1
644835,179,1
645249,155,2
645444,313,1
645540,35621,5
645808,48803,1
645978,23055,5
646088,332,5
646393,54148,3
646521,110,1
647272,359,1
647739,303,9
648093,370,5
648486,344,2
649148,336,1
649620,328,3
650241,332,1
650849,373,2
651272,337,7
651683,326,5
652035,331,4
652231,14769,1
652517,315,3
653274,302,2
653562,14390,3
653617,307,1
658633,2548,5
658981,287,1
661229,3806,1
662796,64827,3
664468,143,3
664898,58075,3
665386,302,1
667115,309,1
667886,277,2
668596,715,2
668645,416,3
669401,336,1
669446,182,3
669599,842,1
670019,167,1
670042,301,1
670636,330,2
671461,855,1
672327,319,2
672431,340,1
672948,797,1
673296,379,1
673864,331,1
673907,38,1
674883,396,9
675761,37,2
675846,38,4
675975,14696,2
676149,5883,8
676178,47,2
676289,3911,2
676578,48,1
678396,11121,1
680929,18334,5
688262,14154,2
688508,15439,3
688521,60794,6
690642,9665,2
694333,465,1
694413,1987,3
700318,10210,4
700639,911,6
702943,129,2
703160,59,1
703445,223,3
704670,341,3
705671,266,1
710503,1661,4
712143,1662,4
713788,1668,1
715427,1740,2
724251,160,1
724630,173,2
724939,323,1
725561,359,2
726021,335,1
726531,380,2
727021,176,2
727528,687,3
728987,651,2
729694,59,1
729746,163,1
730567,497,2
731943,9503,1
735775,11576,1
735827,284,8
736042,12358,1
736252,11294,1
736570,57621,1
737565,16057,3
742701,46,3
743081,50,2
743261,49,1
743392,49,1
743486,50,5
743663,56,1
743706,667,1
743790,57,2
744023,97,1
744252,100,5
744749,31,4
745118,673,1
749690,9532,4
750402,58084,7
750719,423,3
767070,289,3
767401,798,1
768967,427,1
769671,788,2
769963,64,1
770574,426,4
771302,64835,1
776280,29058,2
781770,375,1
783245,32,7
783624,304,1
784168,21629,4
784765,1226,4
789290,167,2
789404,186,1
789496,200,6
789914,188,1
790054,163,1
790101,197,4
807488,8023,1
808329,43,1
816636,343,4
817954,51,5
818634,113,1
818881,113,1
819048,359,3
821433,57498,3
821568,205,1
821574,205,1
822311,23,1
822371,112,1
822557,87,1
822685,55,3
822821,2179,1
822831,46,2
823038,74,1
823115,381,1
823571,358,3
824528,95061,4
825285,20332,4
825643,1336,2
825930,113,4
825952,1492,1
825971,130,2
827065,3383,1
827246,111,5
827378,37309,1
827522,125,1
827775,5975,3
827833,4572,1
828709,314,4
829129,2091,4
829971,112,4
830638,1839,1
831299,104,1
831662,15878,1
832355,100,1
832384,54,2
832471,37,2
832474,40,1
832503,1479,3
832535,32,1
832558,4073,1
832565,2068,2
832711,43,2
832737,211,1
832759,38,6
832808,47,2
832835,2070,1
832863,46,2
832884,32,6
832925,47,1
832947,312,3
832983,1473,6
833122,50,3
833290,91,1
833341,50,4
833366,331,2
833504,959,1
836740,65,3
836814,12402,4
837305,124,3
837319,104,6
837359,106,1
837373,64,9
837384,105,4
837389,106,1
839360,103,2
839368,62,4
839463,55,3
839468,497,2
839473,107,1
839498,47,2
839503,165,5
839509,112,4
839546,54,1
839554,122,1
839562,2136,2
839576,90,2
839582,114,6
839587,269,5
840194,47,2
840240,38,1
840270,44,3
840299,212,2
840332,60,1
840381,47,2
840617,88,2
841203,62,2
841621,2541,2
842026,72,3
842056,154,5
842086,70,2
843552,2337,1
843673,62,7
845024,37996,4
845045,16542,2
845627,10132,2
846197,46,6
846218,166,1
848867,47,2
849016,3635,2
849450,452,8
850353,43248,1
852708,95,5
852801,1449,1
854322,59,1
854453,65143,4
857145,256,1
857230,182,1
857593,181,1
857696,38541,2
857877,24,1
858162,13584,7
860654,105,2
861020,199,1
861521,110,3
862186,115,2
872655,1091,1
872900,39487,8
880898,1603,3
886751,57958,1
911465,202,8
911555,232,3
911937,34440,1
912128,16070,4
912141,49143,2
912284,64828,1
912390,146,1
915785,24,4
916285,9171,1
919629,72,3
919650,112,2
919680,70,1
919695,101,2
919715,244,1
919764,607,2
920266,628,1
920556,36,2
920614,59,1
920669,127,4
920727,32,3
920778,105,1
920954,746,6
921088,105,4
921151,51,1
921191,103,2
921235,104,2
921301,70,5
921340,105,1
921391,104,4
921705,31,2
921724,51,1
921747,69,1
921939,43,1
922156,48,5
922213,44,4
922221,49867,1
922247,96,7
922339,36,3
923540,61,3
923597,77,4
923901,38,4
924076,38648,5
924664,105,2
925236,87,6
926297,44927,7
926370,106,5
926593,24887,1
927444,24,4
927848,108,2
931074,10871,2
932665,225,5
933923,14132,1
934641,43,2
934669,37,1
934693,59,4
934709,127,8
939356,3647,3
942517,224,3
942670,161,2
943681,64848,2
944051,62,2
944262,67,3
944613,6075,5
945431,4115,1
945664,45728,2
946498,550,1
946546,75,1
946585,66,4
946620,65,3
946643,50,1
946672,43,3
947039,92,1
950786,1557,1
951728,49584,4
952787,1597,3
971478,2787,2
971722,64830,7
978080,30,2
978324,30,2
978410,30,2
978593,30,2
981872,30,6
982104,33,3
990314,29,3
990429,30,8
990508,30,6
990698,29,1
990856,30,4
990929,31,9
991026,29,3
991228,31,1
991258,29,5
992559,15421,1
993299,14436,4
993319,25922,1
996045,43197,2
996238,53694,5
996620,33534,2
998538,57305,1
999237,13453,3
1000998,14731,3
1001018,16712,4
1001024,16774,1
1001077,541,6
1001582,1014,3
1002974,44754,1
1006344,2963,1
1006600,68,1
1006884,74,3
1007209,51,1
1007513,38342,2
1007626,1638,3
1008336,67,1
1008438,72,1
1009720,12979,1
1010326,82,2
1011364,94,3
1011421,30109,2
1011456,57340,1
1011757,68,6
1013279,1596,2
1016083,227,1
1018145,2892,3
1021510,2657,1
1021557,69,3
1021683,65,8
1021699,314,1
1022379,65,4
1022750,187,2
1022947,39,2
1023046,2745,1
1023132,1623,4
1023155,216,2
1023831,45617,5
1023982,216,4
1024020,50428,1
1025196,4936,3
1025397,757,2
1025795,127,2
1025810,130,1
1025824,134,1
1025854,24983,1
1026315,363,1
1026344,149,3
1026387,11889,1
1026761,227,1
1027017,3634,4
1027423,3655,1
1027706,130,7
1027716,194,1
1027720,321,1
1029051,144,3
1029268,294,2
1029276,1228,2
1029285,1228,1
1029320,527,6
1029353,1228,2
1029383,106,1
1029422,187,3
1029461,643,4
1029545,1227,7
1029767,700,6
1029875,9120,5
1029921,131,4
1029953,370,1
1030024,1230,3
1030452,43101,1
1031510,8945,1
1037903,1021,1
1038881,14831,2
1039011,64681,1
1040863,16844,1
1042339,37354,4
1042620,16880,2
1049771,14912,3
1051747,49,1
1052979,32,2
1053155,32,3
1053370,45,1
1053645,46,1
1053723,14911,1
1055143,106,2
1055389,72,1
1057064,38,1
1057253,81,3
1057333,73,3
1057969,2969,2
1059825,360,1
1061231,336,1
1061247,13005,1
1061885,386,1
1068797,14867,2
1069383,337,2
1070476,44837,5
1070725,16746,3
1070763,16654,1
1077428,388,4
1077698,734,1
1078041,376,2
1078979,45411,1
1079751,2157,3
1080326,25227,6
1081651,5179,3
1081809,325,1
1081821,40553,1
1081871,109,4
1082044,83,1
1082114,34281,1
1082147,61,1
1082294,358,1
1082315,93,2
1082365,58227,1
1082669,378,1
1082851,56,3
1083035,4225,2
1083041,36626,5
1083185,7671,1
1084110,349,1
1084673,14847,2
1085603,71,1
1086674,110,1
1087318,872,2
1087473,17091,1
1087809,17499,1
1087926,1110,1
1088050,23100,1
1088289,67,1
1089288,1444,5
1090686,13523,2
1091323,755,3
1092118,528,1
1092145,1828,8
1092177,298,3
1092200,1290,1
1092227,2428,1
1092248,186,1
1092270,644,1
1092292,2430,3
1092316,130,1
1092334,369,1
1092371,1499,1
1092617,39802,2
1092709,14972,4
1093742,34,2
1094694,959,2
1094887,62956,6
1098228,2306,2
1098228,24,1
1098329,30,2
1098383,5288,1
1098455,2798,1
1098498,106,4
1098510,61020,5
1098542,244,4
1098935,5111,2
1098949,5105,1
1098957,5104,1
1098973,5102,3
1098983,5111,1
1098995,5108,1
1099008,5114,1
1099019,5120,2
1099028,5124,3
1099046,5128,1
1099071,5115,1
1099080,5111,4
1099089,5118,3
1099098,5127,1
1099107,5118,2
1099116,5114,3
1099126,5122,1
1099132,5114,1
1099147,5121,1
1099541,5121,1
1099868,7231,1
1100795,120,3
1100835,195,8
1100905,830,3
1100937,514,3
1101366,1269,2
1102277,14716,1
1103064,1427,4
1103490,5118,3
1103502,5120,8
1103513,5125,3
1103521,5123,1
1104260,5021,1
1104555,17074,3
1105075,107,2
1106173,5120,2
1106181,1304,3
1106202,5115,1
1106212,5119,2
1106221,5117,3
1106231,5113,3
1106798,39099,2
1108440,33,1
1109426,5118,1
1109434,5128,2
1109447,5125,1
1109454,5115,2
1109462,5126,2
1109469,5136,2
1109478,5134,2
1109487,5144,4
1109494,5124,2
1109504,5120,2
1109729,35,4
1110822,5315,3
1110839,2796,3
1110872,1498,2
1111960,65,1
1113407,35,4
1115016,106,1
1115045,48,1
1115078,107,6
1115454,39,2
1116449,267,4
1116616,35205,2
1117443,39,1
1118202,38,3
1119812,941,2
1119919,74,3
1123041,62,1
1123760,68,3
1123940,67,4
1124295,36,1
1124656,35,1
1124719,35,3
1125120,22439,2
1125470,944,1
1126892,947,1
1128678,953,1
1129572,58228,1
1130669,35,1
1131469,236,7
1131473,267,4
1131477,318,2
1131484,419,4
1131596,165,2
1131601,186,3
1131603,226,1
1131605,287,1
1131672,157,4
1131677,172,2
1131679,220,1
1131681,244,3
1138102,46,1
1138281,721,4
1139566,712,1
1143733,381,1
1146078,64835,1
1150460,38818,1
1160351,323,3
1162115,59,1
1162275,24025,2
1164039,36,6
1165370,14825,1
1165714,57867,2
1165786,36,1
1165853,37,1
1165981,37,3
1166117,33,4
1166149,37,1
1166426,36,1
1166504,32,1
1166555,31,3
1166608,35,2
1166700,36,2
1167488,16789,5
1167500,16969,6
1169142,3282,3
1169718,1220,1
1171819,57,2
1171853,43828,6
1172126,4704,2
1172784,35,3
1173562,37434,1
1174112,43830,5
1174945,33,2
1175640,4399,1
1175753,30,6
1175755,45398,4
1176135,66,1
1176271,33,1
1176492,42,2
1176510,3693,1
1177227,36,6
1177414,1728,1
1177423,186,5
1177776,3951,1
1177985,29,8
1179439,28,1
1179510,50427,2
1179790,127,2
1181146,263,2
1181202,36,5
1181253,1166,1
1181527,84,1
1182022,11491,1
1184471,35969,2
1185179,51,2
1185270,117,2
1185311,51,1
1185396,69,1
1185442,90,9
1185595,184,5
1185624,36,2
1185649,49,1
1185656,324,1
1185669,46,2
1185703,61,1
1185724,120,1
1185752,66,7
1185807,65,3
1185907,111,2
1185915,35,1
1185942,317,1
1186005,106,1
1186331,98,3
1186331,90,2
1186496,1237,1
1186515,159,1
1186587,97,2
1186676,157,1
1186835,14888,1
1186845,132,2
1186863,191,1
1186890,830,1
1186907,12328,2
1186910,245,2
1186932,106,1
1187244,1285,1
1187474,181,1
1187676,64838,8
1188120,264,3
1188330,37,3
1188345,643,1
1188536,734,4
1188633,1371,1
1188820,384,1
1188930,5747,1
1189261,201,3
1189491,61229,7
1189678,30,2
1189816,31,3
1190004,106,1
1190223,1748,4
1191082,32,3
1191981,196,4
1192027,1317,1
1192823,4391,1
1193306,32,1
1193857,47,1
1194390,47,1
1194457,249,1
1194732,615,3
1194826,242,2
1194883,64,2
1194902,104,3
1194922,307,1
1195007,382,2
1195166,383,2
1195519,604,3
1195574,37,1
1195605,106,3
1195628,107,1
1195647,588,2
1195663,1114,2
1195776,583,1
1195963,58399,1
1198783,60364,1
1199058,4242,1
1199079,107,4
1199111,597,1
1199153,1082,7
1199180,592,5
1199212,854,2
1199236,108,3
1199475,617,3
1201360,13696,8
1203069,17028,1
1206743,64834,3
1214335,108,1
1214516,31,5
1214542,105,1
1214627,106,1
1214896,105,2
1215091,104,2
1215306,104,5
1215560,104,4
1215652,105,1
1216062,34315,2
1217705,35,2
1218193,33,7
1218233,32,5
1218280,41,6
1218395,32,2
1223518,16934,8
