start,length,group_id
566129,28826,3
566290,26171,3
567314,8071,3
571164,64832,3
574294,64384,3
576100,19000,3
577685,118561,3
578846,24861,3
581034,10979,3
581434,16674,3
582841,8385,3
583532,16793,3
584165,3634,2
584785,1229,2
584801,2207,2
584826,40,1
584832,311,2
584838,1228,2
584875,47,1
584919,213,2
584928,40,1
585786,51164,3
586496,1970,2
588559,58046,3
588873,14805,3
589428,28,1
589449,275,2
589503,3708,2
589535,3625,2
590405,54,1
590414,45,1
590419,292,2
590427,42,1
590434,155,2
590439,66,1
590470,64,1
590531,34,1
590978,252,2
591120,11298,3
591442,16440,3
591612,293,2
593508,257,2
595008,216,2
595228,32,1
595239,24866,3
595276,34,1
595584,26228,3
595641,213,2
596042,214,2
596561,212,2
597048,276,2
597139,144,2
597147,106,2
597497,314,2
597928,925,2
597955,689,2
598080,203,2
598354,274,2
598608,412,2
598823,691,2
599263,1716,2
600209,16792,3
606843,24257,3
608347,57648,3
613917,95,2
614987,336,2
615362,277,2
617472,257,2
617477,343,2
617482,387,2
617486,523,2
617729,182,2
617737,216,2
617748,263,2
617752,334,2
617914,165,2
617917,180,2
617923,199,2
617928,301,2
618202,353,2
618628,174,2
618949,161,2
619684,19199,3
619766,37,1
619804,24,1
620527,35969,3
621578,35968,3
621582,35969,3
638224,8027,3
639157,18855,3
639316,58,1
639459,60,1
639523,62,1
639759,61,1
639994,41,1
639995,45,1
644835,179,2
645249,155,2
645444,313,2
645540,35621,3
645808,48803,3
645978,23055,3
646088,332,2
646393,54148,3
646521,110,2
647272,359,2
647739,303,2
648093,370,2
648486,344,2
649148,336,2
649620,328,2
650241,332,2
650849,373,2
651272,337,2
651683,326,2
652035,331,2
652231,14769,3
652517,315,2
653274,302,2
653562,14390,3
653617,307,2
658633,2548,2
658981,287,2
661229,3806,2
662796,64827,3
664468,143,2
664898,58075,3
665386,302,2
667115,309,2
667886,277,2
668596,715,2
668645,416,2
669401,336,2
669446,182,2
669599,842,2
670019,167,2
670042,301,2
670636,330,2
671461,855,2
672327,319,2
672431,340,2
672948,797,2
673296,379,2
673864,331,2
673907,38,1
674883,396,2
675761,37,1
675846,38,1
675975,14696,3
676149,5883,2
676178,47,1
676289,3911,2
676578,48,1
678396,11121,3
680929,18334,3
688262,14154,3
688508,15439,3
688521,60794,3
690642,9665,3
694333,465,2
694413,1987,2
700318,10210,3
700639,911,2
702943,129,2
703160,59,1
703445,223,2
704670,341,2
705671,266,2
710503,1661,2
712143,1662,2
713788,1668,2
715427,1740,2
724251,160,2
724630,173,2
724939,323,2
725561,359,2
726021,335,2
726531,380,2
727021,176,2
727528,687,2
728987,651,2
729694,59,1
729746,163,2
730567,497,2
731943,9503,3
735775,11576,3
735827,284,2
736042,12358,3
736252,11294,3
736570,57621,3
737565,16057,3
742701,46,1
743081,50,1
743261,49,1
743392,49,1
743486,50,1
743663,56,1
743706,667,2
743790,57,1
744023,97,2
744252,100,2
744749,31,1
745118,673,2
749690,9532,3
750402,58084,3
750719,423,2
767070,289,2
767401,798,2
768967,427,2
769671,788,2
769963,64,1
770574,426,2
771302,64835,3
776280,29058,3
781770,375,2
783245,32,1
783624,304,2
784168,21629,3
784765,1226,2
789290,167,2
789404,186,2
789496,200,2
789914,188,2
790054,163,2
790101,197,2
807488,8023,3
808329,43,1
816636,343,2
817954,51,1
818634,113,2
818881,113,2
819048,359,2
821433,57498,3
821568,205,2
821574,205,2
822311,23,1
822371,112,2
822557,87,2
822685,55,1
822821,2179,2
822831,46,1
823038,74,1
823115,381,2
823571,358,2
824528,95061,3
825285,20332,3
825643,1336,2
825930,113,2
825952,1492,2
825971,130,2
827065,3383,2
827246,111,2
827378,37309,3
827522,125,2
827775,5975,2
827833,4572,2
828709,314,2
829129,2091,2
829971,112,2
830638,1839,2
831299,104,2
831662,15878,3
832355,100,2
832384,54,1
832471,37,1
832474,40,1
832503,1479,2
832535,32,1
832558,4073,2
832565,2068,2
832711,43,1
832737,211,2
832759,38,1
832808,47,1
832835,2070,2
832863,46,1
832884,32,1
832925,47,1
832947,312,2
832983,1473,2
833122,50,1
833290,91,2
833341,50,1
833366,331,2
833504,959,2
836740,65,1
836814,12402,3
837305,124,2
837319,104,2
837359,106,2
837373,64,1
837384,105,2
837389,106,2
839360,103,2
839368,62,1
839463,55,1
839468,497,2
839473,107,2
839498,47,1
839503,165,2
839509,112,2
839546,54,1
839554,122,2
839562,2136,2
839576,90,2
839582,114,2
839587,269,2
840194,47,1
840240,38,1
840270,44,1
840299,212,2
840332,60,1
840381,47,1
840617,88,2
841203,62,1
841621,2541,2
842026,72,1
842056,154,2
842086,70,1
843552,2337,2
843673,62,1
845024,37996,3
845045,16542,3
845627,10132,3
846197,46,1
846218,166,2
848867,47,1
849016,3635,2
849450,452,2
850353,43248,3
852708,95,2
852801,1449,2
854322,59,1
854453,65143,3
857145,256,2
857230,182,2
857593,181,2
857696,38541,3
857877,24,1
858162,13584,3
860654,105,2
861020,199,2
861521,110,2
862186,115,2
872655,1091,2
872900,39487,3
880898,1603,2
