start,length,group_id
566129,28826,4
566290,26171,4
567314,8071,4
571164,64832,4
574294,64384,4
576100,19000,4
577685,118561,4
578846,24861,4
581034,10979,4
581434,16674,4
582841,8385,4
583532,16793,4
584165,3634,3
584785,1229,3
584801,2207,3
584826,40,1
584832,311,2
584838,1228,3
584875,47,1
584919,213,2
584928,40,1
585786,51164,4
586496,1970,3
588559,58046,4
588873,14805,4
589428,28,1
589449,275,2
589503,3708,3
589535,3625,3
590405,54,1
590414,45,1
590419,292,2
590427,42,1
590434,155,2
590439,66,2
590470,64,1
590531,34,1
590978,252,2
591120,11298,4
591442,16440,4
591612,293,2
593508,257,2
595008,216,2
595228,32,1
595239,24866,4
595276,34,1
595584,26228,4
595641,213,2
596042,214,2
596561,212,2
597048,276,2
597139,144,2
597147,106,2
597497,314,2
597928,925,3
597955,689,3
598080,203,2
598354,274,2
598608,412,3
598823,691,3
599263,1716,3
600209,16792,4
606843,24257,4
608347,57648,4
613917,95,2
614987,336,2
615362,277,2
617472,257,2
617477,343,2
617482,387,3
617486,523,3
617729,182,2
617737,216,2
617748,263,2
617752,334,2
617914,165,2
617917,180,2
617923,199,2
617928,301,2
618202,353,2
618628,174,2
618949,161,2
619684,19199,4
619766,37,1
619804,24,1
620527,35969,4
621578,35968,4
621582,35969,4
638224,8027,4
639157,18855,4
639316,58,1
639459,60,1
639523,62,1
639759,61,1
639994,41,1
639995,45,1
644835,179,2
645249,155,2
645444,313,2
645540,35621,4
645808,48803,4
645978,23055,4
646088,332,2
646393,54148,4
646521,110,2
647272,359,2
647739,303,2
648093,370,3
648486,344,2
649148,336,2
649620,328,2
650241,332,2
650849,373,3
651272,337,2
651683,326,2
652035,331,2
652231,14769,4
652517,315,2
653274,302,2
653562,14390,4
653617,307,2
658633,2548,3
658981,287,2
661229,3806,3
662796,64827,4
664468,143,2
664898,58075,4
665386,302,2
667115,309,2
667886,277,2
668596,715,3
668645,416,3
669401,336,2
669446,182,2
669599,842,3
670019,167,2
670042,301,2
670636,330,2
671461,855,3
672327,319,2
672431,340,2
672948,797,3
673296,379,3
673864,331,2
673907,38,1
674883,396,3
675761,37,1
675846,38,1
675975,14696,4
676149,5883,4
676178,47,1
676289,3911,3
676578,48,1
678396,11121,4
680929,18334,4
688262,14154,4
688508,15439,4
688521,60794,4
690642,9665,4
694333,465,3
694413,1987,3
700318,10210,4
700639,911,3
702943,129,2
703160,59,1
703445,223,2
704670,341,2
705671,266,2
710503,1661,3
712143,1662,3
713788,1668,3
715427,1740,3
724251,160,2
724630,173,2
724939,323,2
