start,length,group_id
566129,28826,5
566290,26171,5
567314,8071,4
571164,64832,5
574294,64384,5
576100,19000,5
577685,118561,5
578846,24861,5
581034,10979,5
581434,16674,5
582841,8385,4
583532,16793,5
584165,3634,4
584785,1229,4
584801,2207,4
584826,40,1
584832,311,3
584838,1228,4
584875,47,1
584919,213,3
584928,40,1
585786,51164,5
586496,1970,4
588559,58046,5
588873,14805,5
589428,28,1
589449,275,3
589503,3708,4
589535,3625,4
590405,54,2
590414,45,1
590419,292,3
590427,42,1
590434,155,2
590439,66,2
590470,64,2
590531,34,1
590978,252,3
591120,11298,5
591442,16440,5
591612,293,3
593508,257,3
595008,216,3
595228,32,1
595239,24866,5
595276,34,1
595584,26228,5
595641,213,3
596042,214,3
596561,212,3
597048,276,3
597139,144,2
597147,106,2
597497,314,3
597928,925,3
597955,689,3
598080,203,3
598354,274,3
598608,412,3
598823,691,3
599263,1716,4
600209,16792,5
606843,24257,5
608347,57648,5
613917,95,2
614987,336,3
615362,277,3
617472,257,3
617477,343,3
617482,387,3
617486,523,3
617729,182,3
617737,216,3
617748,263,3
617752,334,3
617914,165,3
617917,180,3
617923,199,3
617928,301,3
618202,353,3
618628,174,3
618949,161,3
619684,19199,5
619766,37,1
619804,24,1
620527,35969,5
621578,35968,5
621582,35969,5
638224,8027,4
639157,18855,5
639316,58,2
639459,60,2
639523,62,2
639759,61,2
639994,41,1
639995,45,1
644835,179,3
645249,155,2
645444,313,3
645540,35621,5
645808,48803,5
645978,23055,5
646088,332,3
646393,54148,5
646521,110,2
647272,359,3
647739,303,3
648093,370,3
648486,344,3
649148,336,3
649620,328,3
650241,332,3
650849,373,3
651272,337,3
651683,326,3
652035,331,3
652231,14769,5
652517,315,3
653274,302,3
653562,14390,5
653617,307,3
658633,2548,4
658981,287,3
661229,3806,4
662796,64827,5
664468,143,2
664898,58075,5
665386,302,3
667115,309,3
667886,277,3
668596,715,3
668645,416,3
669401,336,3
669446,182,3
669599,842,3
670019,167,3
670042,301,3
670636,330,3
671461,855,3
672327,319,3
672431,340,3
672948,797,3
673296,379,3
673864,331,3
673907,38,1
674883,396,3
675761,37,1
675846,38,1
675975,14696,5
676149,5883,4
676178,47,1
676289,3911,4
676578,48,1
678396,11121,5
680929,18334,5
688262,14154,5
688508,15439,5
688521,60794,5
690642,9665,5
694333,465,3
694413,1987,4
700318,10210,5
700639,911,3
702943,129,2
703160,59,2
703445,223,3
704670,341,3
705671,266,3
710503,1661,4
712143,1662,4
713788,1668,4
715427,1740,4
724251,160,3
724630,173,3
724939,323,3
725561,359,3
726021,335,3
726531,380,3
727021,176,3
727528,687,3
728987,651,3
729694,59,2
729746,163,3
730567,497,3
731943,9503,5
735775,11576,5
735827,284,3
736042,12358,5
736252,11294,5
736570,57621,5
737565,16057,5
742701,46,1
743081,50,2
743261,49,2
743392,49,2
743486,50,2
743663,56,2
743706,667,3
743790,57,2
744023,97,2
744252,100,2
744749,31,1
745118,673,3
749690,9532,5
750402,58084,5
750719,423,3
767070,289,3
767401,798,3
768967,427,3
769671,788,3
769963,64,2
770574,426,3
771302,64835,5
776280,29058,5
781770,375,3
783245,32,1
783624,304,3
784168,21629,5
784765,1226,4
789290,167,3
789404,186,3
789496,200,3
789914,188,3
790054,163,3
790101,197,3
807488,8023,4
808329,43,1
816636,343,3
817954,51,2
818634,113,2
818881,113,2
819048,359,3
821433,57498,5
821568,205,3
821574,205,3
822311,23,1
822371,112,2
822557,87,2
822685,55,2
822821,2179,4
822831,46,1
823038,74,2
823115,381,3
823571,358,3
824528,95061,5
825285,20332,5
825643,1336,4
825930,113,2
825952,1492,4
825971,130,2
827065,3383,4
827246,111,2
827378,37309,5
827522,125,2
827775,5975,4
827833,4572,4
828709,314,3
829129,2091,4
829971,112,2
830638,1839,4
831299,104,2
831662,15878,5
832355,100,2
832384,54,2
832471,37,1
832474,40,1
832503,1479,4
