start,length,group_id
566129,28826,1
566290,26171,4
567314,8071,1
571164,64832,5
574294,64384,5
576100,19000,2
577685,118561,5
578846,24861,2
581034,10979,5
581434,16674,5
582841,8385,1
583532,16793,1
584165,3634,1
584785,1229,3
584801,2207,1
584826,40,1
584832,311,2
584838,1228,5
584875,47,3
584919,213,5
584928,40,3
585786,51164,1
586496,1970,4
588559,58046,4
588873,14805,3
589428,28,2
589449,275,4
589503,3708,4
589535,3625,1
590405,54,4
590414,45,5
590419,292,5
590427,42,1
590434,155,4
590439,66,2
590470,64,3
590531,34,5
590978,252,4
591120,11298,3
591442,16440,2
591612,293,1
593508,257,5
595008,216,3
595228,32,1
595239,24866,5
595276,34,3
595584,26228,4
595641,213,4
596042,214,2
596561,212,4
597048,276,3
597139,144,3
597147,106,2
597497,314,1
597928,925,5
597955,689,2
598080,203,5
598354,274,3
598608,412,1
598823,691,3
599263,1716,1
600209,16792,3
606843,24257,5
608347,57648,2
613917,95,3
614987,336,5
615362,277,5
617472,257,5
617477,343,2
617482,387,5
617486,523,2
617729,182,1
617737,216,4
617748,263,1
617752,334,3
617914,165,2
617917,180,5
617923,199,1
617928,301,2
618202,353,3
618628,174,4
618949,161,5
619684,19199,1
619766,37,5
619804,24,1
620527,35969,2
621578,35968,2
621582,35969,3
638224,8027,1
639157,18855,1
639316,58,4
639459,60,4
639523,62,2
639759,61,2
639994,41,4
639995,45,5
644835,179,3
645249,155,4
645444,313,4
645540,35621,2
645808,48803,4
645978,23055,3
646088,332,4
646393,54148,2
646521,110,4
647272,359,1
647739,303,1
648093,370,1
648486,344,2
649148,336,1
649620,328,4
650241,332,3
650849,373,3
651272,337,5
651683,326,5
652035,331,3
652231,14769,1
652517,315,4
653274,302,2
653562,14390,3
653617,307,4
658633,2548,4
658981,287,3
661229,3806,3
662796,64827,5
664468,143,1
664898,58075,2
665386,302,1
667115,309,5
667886,277,3
668596,715,4
668645,416,3
669401,336,1
669446,182,5
669599,842,5
670019,167,4
670042,301,1
670636,330,3
671461,855,3
672327,319,4
672431,340,5
672948,797,1
673296,379,1
673864,331,2
673907,38,5
674883,396,5
675761,37,2
675846,38,1
675975,14696,3
676149,5883,3
676178,47,2
676289,3911,1
676578,48,1
678396,11121,5
680929,18334,4
688262,14154,1
688508,15439,5
688521,60794,2
690642,9665,5
694333,465,1
694413,1987,5
700318,10210,3
700639,911,1
702943,129,4
703160,59,2
703445,223,2
704670,341,1
705671,266,3
710503,1661,5
712143,1662,2
713788,1668,4
715427,1740,3
724251,160,4
724630,173,2
724939,323,3
725561,359,1
726021,335,2
726531,380,3
727021,176,2
727528,687,3
728987,651,3
729694,59,3
729746,163,3
730567,497,5
731943,9503,5
735775,11576,1
735827,284,4
736042,12358,5
736252,11294,4
736570,57621,5
737565,16057,3
742701,46,5
743081,50,2
743261,49,5
743392,49,4
743486,50,4
743663,56,4
743706,667,5
743790,57,4
744023,97,2
744252,100,5
744749,31,1
745118,673,2
749690,9532,4
750402,58084,2
750719,423,2
767070,289,1
767401,798,4
768967,427,1
769671,788,3
769963,64,5
770574,426,1
771302,64835,2
776280,29058,5
781770,375,3
783245,32,1
783624,304,5
784168,21629,1
784765,1226,2
789290,167,5
789404,186,2
789496,200,3
789914,188,3
790054,163,4
790101,197,3
807488,8023,5
808329,43,4
816636,343,4
817954,51,2
818634,113,2
818881,113,3
819048,359,3
821433,57498,4
821568,205,3
821574,205,3
822311,23,3
822371,112,2
822557,87,2
822685,55,3
822821,2179,1
822831,46,2
823038,74,4
823115,381,1
823571,358,2
824528,95061,3
825285,20332,1
825643,1336,2
825930,113,3
825952,1492,1
825971,130,5
827065,3383,4
827246,111,2
827378,37309,1
827522,125,2
827775,5975,2
827833,4572,2
828709,314,2
829129,2091,2
829971,112,3
830638,1839,1
831299,104,1
831662,15878,2
832355,100,3
832384,54,4
832471,37,3
832474,40,2
832503,1479,5
832535,32,4
832558,4073,5
832565,2068,3
832711,43,4
832737,211,5
832759,38,3
832808,47,3
832835,2070,1
832863,46,3
832884,32,3
832925,47,1
832947,312,2
832983,1473,4
833122,50,2
833290,91,1
