start,length,user_id
566129,28826,153
566290,26171,153
567314,8071,150
571164,64832,6
574294,64384,151
576100,19000,152
577685,118561,199
578846,24861,153
581034,10979,154
581434,16674,160
582841,8385,150
583532,16793,160
584165,3634,133
584785,1229,34
584801,2207,7
584826,40,34
584832,311,34
584838,1228,34
584875,47,34
584919,213,34
584928,40,34
585786,51164,155
586496,1970,161
588559,58046,156
588873,14805,160
589428,28,157
589449,275,158
589503,3708,157
589535,3625,157
590405,54,34
590414,45,34
590419,292,34
590427,42,34
590434,155,34
590439,66,34
590470,64,157
590531,34,157
590978,252,159
591120,11298,173
591442,16440,153
591612,293,159
593508,257,159
595008,216,159
595228,32,159
595239,24866,153
595276,34,159
595584,26228,153
595641,213,159
596042,214,159
596561,212,159
597048,276,158
597139,144,159
597147,106,159
597497,314,159
597928,925,159
597955,689,159
598080,203,159
598354,274,159
598608,412,159
598823,691,159
599263,1716,159
600209,16792,160
606843,24257,24
608347,57648,24
613917,95,3
614987,336,147
615362,277,147
617472,257,147
617477,343,147
617482,387,147
617486,523,147
617729,182,147
617737,216,147
617748,263,147
617752,334,147
617914,165,147
617917,180,147
617923,199,147
617928,301,147
618202,353,147
618628,174,147
618949,161,147
619684,19199,162
619766,37,162
619804,24,147
620527,35969,160
621578,35968,160
621582,35969,160
638224,8027,150
639157,18855,162
639316,58,162
639459,60,162
639523,62,162
639759,61,162
639994,41,162
639995,45,162
644835,179,147
645249,155,147
645444,313,147
645540,35621,153
645808,48803,153
645978,23055,153
646088,332,147
646393,54148,153
646521,110,147
647272,359,147
647739,303,147
648093,370,147
648486,344,147
649148,336,147
649620,328,147
650241,332,147
650849,373,147
651272,337,147
651683,326,147
652035,331,147
652231,14769,160
652517,315,147
653274,302,147
653562,14390,154
653617,307,147
658633,2548,189
658981,287,163
661229,3806,189
662796,64827,156
664468,143,92
664898,58075,155
665386,302,147
667115,309,147
667886,277,158
668596,715,158
668645,416,147
669401,336,147
669446,182,147
669599,842,158
670019,167,147
670042,301,147
670636,330,158
671461,855,158
672327,319,147
672431,340,158
672948,797,158
673296,379,147
673864,331,158
673907,38,147
674883,396,161
675761,37,3
675846,38,3
675975,14696,160
676149,5883,92
676178,47,3
676289,3911,133
676578,48,3
678396,11121,133
680929,18334,133
688262,14154,162
688508,15439,154
688521,60794,162
690642,9665,160
694333,465,119
694413,1987,119
700318,10210,160
700639,911,119
702943,129,161
703160,59,161
703445,223,3
704670,341,158
705671,266,158
710503,1661,160
712143,1662,160
713788,1668,160
715427,1740,160
724251,160,147
724630,173,147
724939,323,147
725561,359,147
726021,335,147
726531,380,147
727021,176,147
727528,687,150
728987,651,150
729694,59,150
729746,163,150
730567,497,150
731943,9503,150
735775,11576,153
735827,284,147
736042,12358,153
736252,11294,153
736570,57621,153
737565,16057,154
742701,46,3
743081,50,3
743261,49,3
743392,49,3
743486,50,3
743663,56,3
743706,667,3
743790,57,3
744023,97,3
744252,100,3
744749,31,161
745118,673,3
749690,9532,150
750402,58084,156
750719,423,161
767070,289,163
767401,798,163
768967,427,163
769671,788,163
769963,64,197
770574,426,163
771302,64835,163
776280,29058,24
781770,375,161
783245,32,161
783624,304,161
784168,21629,161
784765,1226,154
789290,167,153
789404,186,153
789496,200,153
789914,188,153
790054,163,153
790101,197,153
807488,8023,150
808329,43,147
816636,343,147
817954,51,4
818634,113,147
818881,113,147
819048,359,147
821433,57498,156
821568,205,164
821574,205,164
822311,23,147
822371,112,147
822557,87,147
822685,55,133
822821,2179,133
822831,46,147
823038,74,147
823115,381,147
823571,358,147
824528,95061,150
825285,20332,153
825643,1336,133
825930,113,153
825952,1492,153
825971,130,153
827065,3383,133
827246,111,153
827378,37309,153
827522,125,153
827775,5975,153
827833,4572,153
828709,314,161
829129,2091,161
829971,112,133
830638,1839,133
831299,104,161
831662,15878,161
832355,100,34
832384,54,34
832471,37,133
832474,40,34
832503,1479,34
832535,32,34
832558,4073,133
832565,2068,34
832711,43,34
832737,211,34
832759,38,34
832808,47,34
832835,2070,34
832863,46,34
832884,32,34
832925,47,34
832947,312,34
832983,1473,34
833122,50,34
833290,91,34
833341,50,34
833366,331,34
833504,959,161
836740,65,133
836814,12402,133
837305,124,34
837319,104,34
837359,106,34
837373,64,34
837384,105,34
837389,106,34
839360,103,34
839368,62,34
839463,55,34
839468,497,34
839473,107,34
839498,47,34
839503,165,34
839509,112,34
839546,54,34
839554,122,34
839562,2136,34
839576,90,34
